country,year,iso_code,population,primary_energy_consumption,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,co2,co2_including_luc,gdp
China,1990,CHN,1153704192.0,7938.249,84.513,1976.684,0.0,29.301,1368.074,330.291,2484.855,3852.928,3385121670000.0
China,1991,CHN,1170626176.0,8337.61,101.305,2049.92,0.0,30.778,1013.113,356.027,2606.096,3619.209,3508947858611.704
China,1992,CHN,1183813376.0,8773.708,122.445,2114.715,0.0,30.239,1054.941,385.793,2730.788,3785.728,3755037526742.155
China,1993,CHN,1195855616.0,9457.634,142.774,2228.745,0.0,35.728,1087.234,428.549,2921.651,4008.885,4126169557030.082
China,1994,CHN,1207286656.0,10048.812,164.377,2380.586,3.737,41.568,1199.356,423.712,3103.739,4303.095,4438753414215.048
China,1995,CHN,1218144384.0,10352.658,184.637,2569.754,3.728,42.436,1092.233,468.23,3361.637,4453.87,4810000038087.688
China,1996,CHN,1228298880.0,10907.449,192.853,2660.401,5.584,44.47,1143.726,510.622,3508.818,4652.544,5127589650603.525
China,1997,CHN,1237801472.0,10981.134,202.874,2609.556,5.425,44.159,1144.301,557.961,3515.594,4659.896,5291338875305.675
China,1998,CHN,1246836096.0,11000.566,211.369,2444.771,4.132,50.501,1066.255,559.262,3364.587,4430.843,5338703030195.93
China,1999,CHN,1255433216.0,11386.067,228.322,2580.992,4.433,54.572,904.531,596.751,3557.275,4461.806,5578502882830.346
China,2000,CHN,1264099072.0,11800.283,244.388,2601.737,4.737,59.796,671.712,648.686,3649.201,4320.913,5952682267478.983
China,2001,CHN,1272739584.0,12470.062,270.828,2637.655,4.783,67.157,580.39,659.3,3728.513,4308.903,6329737252351.483
China,2002,CHN,1280926080.0,13580.49,282.688,3018.634,4.486,53.993,493.33,653.086,4103.042,4596.373,6814493702583.538
China,2003,CHN,1288873344.0,15818.756,353.679,3601.712,5.18,60.745,520.981,727.099,4841.119,5362.1,7248622675468.963
China,2004,CHN,1296816768.0,18509.135,368.396,3835.288,5.192,71.521,608.344,839.093,5217.351,5825.695,7830952987789.932
China,2005,CHN,1304887552.0,21027.164,411.649,4424.39,5.588,84.957,386.445,850.173,5882.143,6268.588,8602939963887.271
China,2006,CHN,1313086592.0,23048.367,470.087,4905.374,5.534,103.753,404.611,898.534,6494.338,6898.949,9489543075488.268
China,2007,CHN,1321513216.0,25049.293,514.981,5289.904,4.965,129.515,359.417,927.351,6983.577,7342.994,10358205958547.176
China,2008,CHN,1330167168.0,26019.0,525.924,5729.474,4.666,149.674,352.643,970.117,7501.498,7854.141,10799148306451.049
China,2009,CHN,1339125632.0,27158.898,583.56,6028.5,4.557,164.404,357.847,982.348,7891.089,8248.937,11572543736341.38
China,2010,CHN,1348191360.0,29055.609,639.592,6568.793,3.974,199.585,11.268,1092.572,8620.627,8631.894,12858807557375.758
China,2011,CHN,1357095424.0,31336.535,708.564,7309.786,3.853,245.99,60.772,1123.859,9532.409,9593.182,13691527058279.998
China,2012,CHN,1366560768.0,32624.225,714.782,7464.806,3.733,277.599,57.883,1176.712,9779.354,9837.238,14773157696320.137
China,2013,CHN,1376100352.0,33852.562,748.323,7493.454,3.632,320.127,46.434,1234.622,9956.376,10002.81,15925463991845.867
China,2014,CHN,1385189632.0,34729.508,778.627,7425.067,3.93,370.222,443.237,1255.605,9998.674,10441.911,17103948327082.293
China,2015,CHN,1393715456.0,35134.855,721.995,7266.979,3.901,380.052,376.002,1328.805,9866.951,10242.954,18301224717452.55
China,2016,CHN,1401889664.0,35278.277,743.044,7071.404,3.09,421.726,213.326,1357.838,9765.029,9978.354,19545707998702.027
China,2017,CHN,1410275968.0,36649.703,758.185,7163.318,2.969,486.359,461.403,1430.587,10011.151,10472.555,20894361849340.027
China,2018,CHN,1417069440.0,38415.93,786.745,7316.4,3.408,575.369,696.514,1500.474,10353.935,11050.448,22294284089099.24
China,2019,CHN,1421864064.0,40206.684,826.876,7523.17,3.839,630.171,749.99,1559.728,10721.042,11471.032,23631941133377.406
China,2020,CHN,1424929792.0,41513.812,858.233,7679.546,5.17,676.473,829.416,1523.052,10914.012,11743.429,24151843838525.27
China,2021,CHN,1425893504.0,43873.07,851.974,7979.436,4.812,764.102,904.296,1564.37,11336.233,12240.529,26180598719751.23
China,2022,CHN,1425887360.0,44275.914,763.365,8250.736,4.678,755.172,981.504,1451.287,11396.777,12378.281,26966016684814.074
Germany,1990,DEU,79370192.0,4192.642,15.297,569.117,3.841,122.282,-39.965,333.267,1054.741,1014.775,2015547584054.0
Germany,1991,DEU,79801984.0,4090.643,13.741,504.043,3.619,130.146,-40.577,355.252,1016.87,976.293,2141316275284.2344
Germany,1992,DEU,80205024.0,4009.338,14.444,454.311,3.54,129.37,-19.371,357.921,969.474,950.103,2204952386036.203
Germany,1993,DEU,80573496.0,3991.526,14.531,430.776,3.318,136.288,-15.356,364.574,959.367,944.012,2206290839038.913
Germany,1994,DEU,80882120.0,3954.172,15.341,418.185,3.22,142.15,-15.478,353.769,943.185,927.707,2283952741453.933
Germany,1995,DEU,81123264.0,3974.795,15.562,406.046,3.06,152.97,-18.85,351.664,939.897,921.047,2347761273167.4883
Germany,1996,DEU,81300864.0,4105.846,14.811,400.612,3.213,169.956,-19.221,361.019,959.653,940.433,2391519661884.361
Germany,1997,DEU,81436096.0,4053.187,15.275,386.864,3.239,162.878,-14.956,353.047,931.487,916.53,2461046189510.3667
Germany,1998,DEU,81524384.0,4019.631,15.545,377.48,3.168,165.378,-19.544,351.882,923.467,903.923,2535903730461.1104
Germany,1999,DEU,81556968.0,3963.56,15.771,360.052,3.113,165.627,-21.002,340.806,895.402,874.4,2613176603036.141
Germany,2000,DEU,81551680.0,3988.179,15.253,373.46,2.992,166.421,-20.247,330.737,898.938,878.691,2718560408621.5728
Germany,2001,DEU,81514568.0,4062.799,13.504,376.52,2.97,173.8,-21.19,338.856,915.242,894.052,2793372810204.8223
Germany,2002,DEU,81443424.0,4011.723,12.823,375.786,2.966,173.61,-16.598,324.412,898.835,882.237,2822441757886.9287
Germany,2003,DEU,81346808.0,4010.471,13.507,379.524,3.003,174.859,-13.72,319.712,899.858,886.139,2831675982126.5684
Germany,2004,DEU,81266672.0,4009.893,14.068,375.978,2.928,173.344,-13.734,310.181,885.633,871.898,2894624832853.845
Germany,2005,DEU,81212168.0,3962.631,13.05,363.226,2.954,173.416,-16.163,304.012,865.471,849.308,2945461106151.811
Germany,2006,DEU,81177816.0,4062.384,13.34,369.583,3.069,178.383,-14.307,304.138,877.498,863.19,3086359027851.9297
Germany,2007,DEU,81183832.0,3893.425,14.449,379.374,2.989,174.428,-13.165,269.802,850.23,837.065,3220275782477.8364
Germany,2008,DEU,81217488.0,3934.661,13.579,356.208,2.945,179.821,-13.516,291.228,852.858,839.342,3289020458985.8726
Germany,2009,DEU,81260624.0,3692.18,12.559,317.893,2.575,167.4,-16.763,280.159,788.286,771.523,3136502149277.069
Germany,2010,DEU,81325088.0,3847.15,12.431,343.352,2.582,183.991,-12.653,280.447,831.13,818.476,3301123263613.155
Germany,2011,DEU,81423384.0,3710.586,13.393,344.685,2.673,168.397,-14.451,269.85,807.614,793.163,3467713048620.0
Germany,2012,DEU,81545568.0,3761.915,13.289,349.791,2.657,168.05,-9.781,270.706,812.816,803.035,3482225436872.4907
Germany,2013,DEU,81680592.0,3868.519,12.503,356.89,2.689,170.536,-8.329,282.552,833.804,825.475,3497463285895.838
Germany,2014,DEU,81858824.0,3710.461,12.905,344.857,2.478,152.279,-6.192,273.335,794.738,788.546,3574741339921.3643
Germany,2015,DEU,82073232.0,3780.858,12.626,341.028,2.374,157.466,-7.144,275.835,798.085,790.941,3628073968682.709
Germany,2016,DEU,82331432.0,3842.884,12.663,329.449,2.34,169.476,-4.832,279.118,801.745,796.912,3708979999145.128
Germany,2017,DEU,82624368.0,3892.673,13.408,310.775,2.26,171.428,-4.333,279.439,785.986,781.653,3808389311104.715
Germany,2018,DEU,82896696.0,3795.127,13.228,295.686,1.998,169.574,-9.062,265.495,754.811,745.749,3845758410751.44
Germany,2019,DEU,83148144.0,3697.411,13.287,240.115,2.019,172.524,-8.792,271.031,707.491,698.699,3886392818590.415
Germany,2020,DEU,83328992.0,3447.96,13.357,198.559,1.806,171.058,-8.653,254.431,647.252,638.599,3742721122354.9614
Germany,2021,DEU,83408560.0,3549.456,13.64,232.334,1.831,179.755,-8.358,242.793,678.799,670.441,3841041954386.381
Germany,2022,DEU,83369840.0,3416.287,12.832,242.395,1.837,151.885,-8.089,248.184,665.605,657.516,3909612549141.962
India,1990,IND,870452160.0,2300.701,22.348,366.514,9.871,21.097,173.899,158.167,577.996,751.895,1750993000000.0
India,1991,IND,888941760.0,2427.663,24.503,393.043,7.834,23.563,135.573,166.423,615.365,750.938,1768493541134.4194
India,1992,IND,907574080.0,2552.772,25.156,411.414,3.565,27.256,166.806,188.055,655.447,822.253,1851711553053.168
India,1993,IND,926351296.0,2616.248,26.602,433.121,3.701,26.996,129.925,186.879,677.299,807.224,1944353935577.2017
India,1994,IND,945261952.0,2757.121,28.54,455.72,1.852,28.997,118.346,198.955,714.064,832.41,2055026561101.048
India,1995,IND,964279104.0,2963.118,31.104,471.723,2.303,39.051,84.262,216.281,760.462,844.724,2189535899268.4392
India,1996,IND,983281216.0,3081.631,34.079,504.498,2.136,39.747,162.783,243.16,823.621,986.403,2345228633235.7017
India,1997,IND,1002335232.0,3252.01,37.418,527.722,2.645,46.024,101.582,244.202,858.011,959.593,2426804741564.027
India,1998,IND,1021434560.0,3449.497,39.026,524.125,2.133,47.595,94.791,262.892,875.772,970.564,2567853072025.03
India,1999,IND,1040500032.0,3549.489,44.592,560.528,2.048,42.316,85.114,300.976,950.46,1035.574,2710352899642.8384
India,2000,IND,1059633664.0,3728.514,45.957,572.876,1.973,43.873,191.169,312.847,977.526,1168.695,2804478482984.145
India,2001,IND,1078970880.0,3743.853,46.74,582.083,1.857,43.569,141.383,316.721,990.97,1132.352,2940745559129.762
India,2002,IND,1098313088.0,3865.751,49.111,598.597,1.602,47.134,86.428,325.22,1021.664,1108.092,3024984745054.45
India,2003,IND,1117415168.0,4004.078,50.88,625.89,1.787,49.988,113.07,330.615,1059.16,1172.229,3251114229338.8423
India,2004,IND,1136264576.0,4347.582,55.545,669.968,1.765,49.585,71.903,348.234,1125.096,1196.999,3495022980444.752
India,2005,IND,1154638720.0,4603.61,59.687,721.469,1.704,50.439,43.071,352.376,1185.674,1228.745,3752627778148.986
India,2006,IND,1172373760.0,4849.72,64.905,773.564,1.741,82.58,38.939,369.694,1292.485,1331.424,4069855789009.416
India,2007,IND,1189691776.0,5263.111,68.333,842.477,1.842,87.956,94.336,391.897,1392.506,1486.842,4403215152816.854
India,2008,IND,1206734848.0,5570.697,73.245,910.795,1.888,90.277,148.334,413.233,1489.437,1637.771,4649548338809.07
