year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1929,Argentina,11139114.0,6927.739276929925,3.590949872673895e-10,1.0413754630754295e-08,7.436857186307637e-07,0.0,2.666280280460367e-08,2.055441752369174e-05,3.6277571088688026e-07,2.122473348487074e-05
1930,Argentina,11443159.0,7051.541685648168,3.4955382512818355e-10,1.5205591393075985e-08,7.271593447229039e-07,0.0,4.002391297717702e-08,2.007732305388748e-05,3.6502158189010567e-07,1.6601043775341942e-05
1931,Argentina,11726853.0,6596.798444731933,3.410974794345934e-10,1.611685590328454e-08,6.92342608882366e-07,0.0,3.871456391582635e-08,1.5512260620986723e-05,3.4152385128388664e-07,1.3613650901500359e-05
1932,Argentina,11989069.0,6004.814867276183,3.3363724906412667e-10,2.2103467750498392e-08,5.79444492312122e-07,0.0,4.7042852118041855e-08,1.2542341694755448e-05,4.2263498525198245e-07,1.1934282776918046e-05
1933,Argentina,12228636.0,5693.589374971992,3.2710107652235294e-10,2.0198491475255295e-08,5.177192288657542e-07,0.0,6.288518196142236e-08,1.0863026751307342e-05,4.703713480391435e-07,1.0779519908610655e-05
1934,Argentina,12444339.0,5854.867767263492,3.2143129498481196e-10,2.041088723153556e-08,4.788522717036236e-07,0.0,8.30899897535739e-08,9.716225184800897e-06,4.80941575121025e-07,9.997436008189296e-06
1935,Argentina,12663847.0,6211.349837059781,3.1585978573493504e-10,2.2110185001445455e-08,5.19668312480402e-07,0.0,9.862721809573347e-08,8.872975170972927e-06,4.84055121638788e-07,9.273290522468488e-06
1936,Argentina,12887227.0,6372.590564595471,3.103848485015434e-10,2.7624251516637364e-08,4.917271962385702e-07,0.0,8.194160000440747e-08,8.187176341349463e-06,4.848987295715362e-07,8.77979172442695e-06
1937,Argentina,13114548.0,6305.162775873023,3.0500479315032436e-10,3.133924249619582e-08,5.32767122435329e-07,0.0,6.954109283827395e-08,7.628703635077625e-06,5.174406315795252e-07,8.411585959350146e-06
1938,Argentina,13345878.0,6646.00336373523,2.9971801030999984e-10,3.836390531967998e-08,6.112748820272446e-07,0.0,6.481401972953746e-08,7.159439041777544e-06,5.376941104961397e-07,8.014261975741918e-06
1939,Argentina,13581288.0,6559.207549681591,3.6815359485786623e-10,4.520926144854597e-08,5.445727975137557e-07,0.0,6.177617321714995e-08,6.810546981994638e-06,5.520831308488562e-07,7.703972901018005e-06
1940,Argentina,13825464.0,6687.819741312118,3.6165151491479783e-10,4.021564845852552e-08,5.615724723596981e-07,0.0,6.415697874588513e-08,6.447016895780134e-06,5.910109056737625e-07,5.577452779737601e-06
1941,Argentina,14078649.0,6675.567659368452,3.551477133921018e-10,3.792977579027647e-08,3.8135761464043885e-07,0.0,6.506306109343304e-08,4.450640114687141e-06,6.424622135263121e-07,4.213904756074032e-06
1942,Argentina,14341093.0,6890.139069874242,3.486484607553971e-10,4.0303762063323904e-08,1.872939531177993e-07,0.0,7.07756375333456e-08,3.2418031177958334e-06,6.737282855637294e-07,3.297873934745044e-06
1943,Argentina,14613051.0,6840.659392484157,3.421598952881229e-10,3.6337380879598656e-08,9.477829099481006e-08,0.0,7.897050383249877e-08,2.3754792890273224e-06,7.123084700108143e-07,2.65227039851395e-06
1944,Argentina,14894786.0,6658.040123302208,3.356879380475826e-10,3.168894135169179e-08,1.0399612320714107e-07,0.0,7.774532645182011e-08,1.707174577734786e-06,7.31665429768511e-07,2.0893887689804315e-06
