year,country,population,gdp,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,cumulative_co2_including_luc,co2_including_luc
1950,Australia,8177169.0,97678589952.0,0.632,44.071,0.0,0.0,124.505,11.035,4718.525,180.243
1951,Australia,8419836.0,101837840384.0,0.611,46.097,0.0,0.0,181.224,14.414,4960.872,242.346
1952,Australia,8632790.0,102764888064.0,0.672,47.027,0.0,0.0,220.445,14.747,5243.763,282.892
1953,Australia,8819163.0,105967345664.0,0.789,48.232,0.0,0.0,255.023,14.015,5561.822,318.059
1954,Australia,9003364.0,112566026240.0,0.945,51.135,0.0,0.0,280.334,15.863,5910.099,348.276
1955,Australia,9209844.0,118700326912.0,0.985,51.248,0.0,0.0,301.392,19.735,6283.458,373.36
1956,Australia,9429808.0,122785832960.0,1.058,51.245,0.0,0.0,320.848,23.18,6679.789,396.331
1957,Australia,9644190.0,125243580416.0,1.148,51.626,0.0,0.0,345.719,22.705,7100.987,421.198
1958,Australia,9853146.0,131258302464.0,1.214,52.655,0.0,0.0,352.286,24.067,7531.209,430.222
1959,Australia,10065683.0,139341676544.0,1.294,56.689,0.0,0.0,365.261,25.089,7979.542,448.333
1960,Australia,10286648.0,145192517632.0,1.381,58.928,0.0,0.0,340.67,27.135,8407.656,428.114
1961,Australia,10505940.0,146189434880.0,1.414,56.48,0.0,0.0,331.604,29.115,8826.27,418.613
1962,Australia,10711943.0,155328790528.0,1.45,57.571,0.0,0.004,228.506,31.884,9145.684,319.415
1963,Australia,10917377.0,164835213312.0,1.541,58.789,0.0,0.007,257.783,35.658,9499.464,353.779
1964,Australia,11131608.0,176116154368.0,1.792,61.802,0.0,0.007,279.85,39.944,9882.857,383.394
1965,Australia,11359442.0,185112117248.0,1.879,63.812,0.0,0.007,315.773,47.907,10312.236,429.378
1966,Australia,11592675.0,190257577984.0,1.817,66.917,0.0,0.007,257.275,46.994,10685.247,373.011
1967,Australia,11809114.0,203110694912.0,1.89,68.541,0.0,0.007,449.318,51.842,11256.846,571.598
1968,Australia,12027268.0,215046504448.0,1.941,70.856,0.0,0.011,239.206,55.96,11624.819,367.974
1969,Australia,12268351.0,228127293440.0,2.13,72.267,0.0,0.487,144.323,61.53,11905.556,280.737
1970,Australia,12595038.0,242644631552.0,2.228,74.674,0.0,2.755,85.266,68.204,12138.683,233.127
1971,Australia,12993837.0,253439754240.0,2.314,72.748,0.0,4.1,82.749,71.954,12372.548,233.865
1972,Australia,13300319.0,260535648256.0,2.436,74.0,0.0,5.844,16.969,71.318,12543.114,170.567
1973,Australia,13513318.0,274659475456.0,2.591,79.03,0.0,6.485,14.246,82.037,12727.504,184.39
1974,Australia,13713392.0,281474170880.0,2.568,79.196,0.0,7.709,-15.786,76.71,12877.901,150.397
1975,Australia,13886865.0,289102987264.0,2.473,84.33,0.0,8.369,57.46,77.93,13108.464,230.562
1976,Australia,14038078.0,300755714048.0,2.494,84.598,0.0,9.259,44.239,73.452,13322.505,214.042
1977,Australia,14193365.0,303887974400.0,2.474,90.491,0.0,11.051,168.78,77.898,13673.2,350.695
