year,country_index,PC1,PC2,PC3,PC4,PC5
1929,Argentina,-0.07608767200758998,0.03421834173987447,-0.03735498408677019,-0.030952532729238688,-0.0014308226389097357
1930,Argentina,-0.07595566785262967,0.03448856717910324,-0.037504359696746474,-0.030896436434870837,-0.001657786116278968
1931,Argentina,-0.08147433580361571,0.021794363495099615,-0.024731284951473444,-0.02969024761107576,-0.0017187141647458208
1932,Argentina,-0.08487832405538503,0.013279254290587555,-0.01625942256879631,-0.02897015592781557,-0.0018304605905781436
1933,Argentina,-0.08653441595730586,0.008487087714872403,-0.011454602758706705,-0.02860475384589579,-0.0018783620440144823
1934,Argentina,-0.0874955557543709,0.00521758774707762,-0.008083790993155537,-0.02835334626254923,-0.0018521861434684513
1935,Argentina,-0.0881321032591335,0.0029133792697857023,-0.005623451091374608,-0.028154827431701175,-0.0017831117546995652
1936,Argentina,-0.08885134890589626,0.001207091710747927,-0.0036442630548654967,-0.027907480724059887,-0.0016793574603657178
1937,Argentina,-0.08909003726679772,-0.00019847057991640338,-0.0019039465812702068,-0.027764582994458956,-0.00134722659166259
1938,Argentina,-0.0860630832460158,-0.002242046220564567,-0.001651441037382853,-0.029015915936462116,-0.0010088452797971839
1939,Argentina,-0.0861860791080383,-0.003017986495199536,-0.0006390786783432498,-0.02889778088394723,-0.0009371408819007497
1940,Argentina,-0.08631618235013622,-0.003923292653420301,0.00038813267114814256,-0.028820424963084266,-0.0009811196905063547
1941,Argentina,-0.08902790243489764,-0.011098189227825348,0.007597851975488162,-0.028226422286305914,-0.001050807012337411
1942,Argentina,-0.09073345911974474,-0.015479865405092825,0.01199144429195884,-0.027825822214004862,-0.0013000847345243196
1943,Argentina,-0.09193349195376582,-0.018683834552349496,0.01517844417448601,-0.02754462166232851,-0.0015922661244129619
1944,Argentina,-0.09240919505906875,-0.02118926386108639,0.01800046830851423,-0.02735485310373709,-0.001297176029570505
1945,Argentina,-0.09334372751663654,-0.023078665622304456,0.02012149352813734,-0.027047578617981627,-0.001406836896877097
1946,Argentina,-0.09372914214177554,-0.024671763240634605,0.022195233784205567,-0.02681059282519067,-0.0010755171739437693
