country,cumulative_co2_including_luc,co2_cumulative_percentage
United States,549594.312,21.03751443806238
China,310281.781,11.877046951052158
Russia,224101.656,8.578221645957807
Brazil,131187.0,5.021610206522824
India,96556.617,3.6960193726094444
Germany,92966.852,3.5586094115384665
Indonesia,92152.258,3.527428169917176
United Kingdom,78147.078,2.9913342365839237
Canada,74523.414,2.8526266807482896
Japan,71995.75,2.7558720988075462
Ukraine,44234.664,1.6932260073369139
Mexico,35352.578,1.3532352025101133
France,34385.199,1.3162056168043967
Australia,32646.391,1.2496470706071092
South Africa,28402.09,1.0871826097904504
Poland,27321.729,1.0458282696170398
Italy,24664.91,0.944129858895827
Democratic Republic of Congo,23589.953,0.9029823744440661
Thailand,23386.412,0.8951911789517852
Argentina,21486.461,0.8224643589658625
Iran,20620.93,0.7893333375715024
Colombia,20052.658,0.767580873720045
Malaysia,19710.627,0.7544885218822318
South Korea,18920.24,0.7242338821214098
Kazakhstan,18067.738,0.6916015881877036
Turkey,17288.559,0.6617759711745221
Spain,17224.188,0.6593119612451533
Saudi Arabia,17131.57,0.65576670528147
Nigeria,14988.923,0.5737499044995671
Philippines,14372.093,0.5501387248576096
Vietnam,13895.467,0.5318943105002865
Netherlands,12923.275,0.49468049152508436
Cote d'Ivoire,12914.504,0.4943447528991427
Belgium,12881.913,0.49309722609968254
Venezuela,12480.31,0.47772456170633415
Czechia,11804.864,0.4518696635262171
Romania,11722.749,0.4487264441362728
Belarus,9999.278,0.38275497162568795
Sweden,8440.214,0.32307671314716263
Tanzania,7623.678,0.2918211351432955
Pakistan,7395.942,0.28310379712967615
Peru,7098.368,0.2717131819346048
Egypt,7028.602,0.26904266078793426
Chile,6879.753,0.2633449799382257
Uzbekistan,6767.386,0.2590437666009564
North Korea,6527.357,0.24985587392667108
Finland,6511.183,0.24923676133563463
Myanmar,6446.047,0.24674346853671342
Angola,6310.552,0.2415569555824359
Ethiopia,6262.727,0.23972629775714105
Bolivia,5876.734,0.22495115701570814
Algeria,5817.525,0.2226847394688627
Madagascar,5772.352,0.22095559559135
Austria,5754.395,0.22026823286121266
Hungary,5687.542,0.2177092162884069
Greece,5534.706,0.21185892001267742
Denmark,5518.671,0.21124512809989954
New Zealand,5278.23,0.20204146478214274
Ecuador,5261.753,0.20141075387806784
United Arab Emirates,5227.529,0.20010071867863471
Iraq,5189.146,0.1986314841923139
Zambia,4988.898,0.1909663390130219
Bulgaria,4932.467,0.1888062584748261
Mozambique,4757.01,0.18209006966034086
Cuba,4699.71,0.17989672531346382
Guinea,4628.405,0.17716729392334046
Slovakia,4377.964,0.16758084799705372
Paraguay,4214.081,0.16130769177368115
Norway,4096.965,0.1568246949756209
Serbia,3567.008,0.13653886268874632
Guatemala,3556.502,0.13613671128022467
Kuwait,3547.295,0.1357842833325511
Azerbaijan,3350.683,0.1282583179097206
Lithuania,3335.513,0.12767763669258053
Switzerland,3310.835,0.12673300577125016
Bangladesh,3142.22,0.12027871681752114
Morocco,3101.173,0.11870750904428794
Nicaragua,3091.443,0.11833506156618825
Kenya,3080.251,0.11790665127072145
Cambodia,3076.145,0.11774948073165901
Portugal,3029.851,0.11597742692373011
Zimbabwe,3027.13,0.11587327177594911
Ghana,2957.291,0.11319995631623628
Sierra Leone,2837.954,0.10863194350082153
Sudan,2795.898,0.10702211296238766
Cameroon,2660.534,0.10184061446028185
Turkmenistan,2619.443,0.10026772244357113
Laos,2553.001,0.09772443823597594
Ireland,2527.695,0.09675576856682987
Israel,2474.421,0.094716532498147
Uganda,2454.122,0.09393952208109191
Syria,2381.195,0.09114800335186501
Libya,2347.232,0.08984795877851448
Qatar,2209.592,0.08457933895470725
Singapore,2158.155,0.08261042005121137
Honduras,2114.867,0.0809534306954066
Sri Lanka,2099.691,0.08037251980870141
Congo,2003.402,0.07668674434942668
Moldova,1958.622,0.07497264382842923
Papua New Guinea,1854.425,0.07098416388232894
Latvia,1843.658,0.07057202184772467
Croatia,1826.69,0.06992251631757092
Bosnia and Herzegovina,1798.527,0.06884448565716782
Estonia,1785.293,0.06833791115303918
Mongolia,1777.233,0.06802938837056398
Panama,1711.47,0.065512095102088
Dominican Republic,1621.391,0.062064027642710386
Costa Rica,1599.615,0.06123048023437541
Trinidad and Tobago,1589.54,0.0608448267562814
Nepal,1572.655,0.06019849832177846
South Sudan,1458.067,0.05581226896715463
Tunisia,1434.03,0.05489217441103101
Oman,1407.042,0.05385912070713018
Niger,1357.678,0.05196955263838258
Mali,1336.511,0.051159316690907064
Benin,1286.803,0.049256580900426034
Gabon,1247.061,0.047735326257606
Kyrgyzstan,1227.986,0.04700516843183499
Malawi,1208.308,0.046251928814769604
Slovenia,1156.421,0.04426578469388987
Bhutan,1123.136,0.04299169278139768
Burkina Faso,1022.195,0.03912784685263477
Bahrain,973.552,0.03726587740996218
Somalia,968.606,0.03707655313178322
Liberia,932.563,0.03569688977585846
North Macedonia,875.359,0.033507220142023314
Guyana,802.161,0.03070532800410524
Jordan,774.637,0.029651757152387204
Chad,763.946,0.02924252426560776
Lebanon,760.076,0.02909438739610664
Luxembourg,753.402,0.0288389182831737
Yemen,698.503,0.026737480040604722
Senegal,649.321,0.024854878615332362
Jamaica,642.965,0.02461158198935068
Armenia,613.758,0.023493588824617037
Tajikistan,599.877,0.022962248285716507
Uruguay,578.669,0.022150442929546033
Albania,532.779,0.020393853539001756
Afghanistan,523.616,0.020043109834805697
Togo,510.006,0.019522142704596332
Brunei,499.102,0.019104756548255195
Central African Republic,497.031,0.019025482270028628
El Salvador,430.646,0.016484379923302067
Rwanda,425.26,0.016278213210347794
Haiti,377.69,0.01445731634157047
Belize,342.944,0.01312729988997205
Burundi,325.368,0.012454521177219681
Equatorial Guinea,274.129,0.010493181369372691
Iceland,263.358,0.010080886221725002
Georgia,261.481,0.010009037926103916
Botswana,253.669,0.009710008152320261
Cyprus,253.514,0.009704075021888046
Suriname,252.153,0.00965197830886711
Montenegro,238.798,0.009140772135175263
Guinea-Bissau,201.73,0.007721873561876171
Namibia,184.494,0.007062109457813822
Eswatini,181.529,0.0069486144143846695
Bahamas,173.612,0.00664556542321145
Solomon Islands,173.293,0.006633354657999343
Lesotho,140.517,0.005378746380281336
Mauritania,136.544,0.005226666849912358
Fiji,135.895,0.005201824258618759
Mauritius,122.965,0.004706886345789438
East Timor,116.416,0.004456202015463125
Malta,100.861,0.003860783667894674
Eritrea,95.532,0.003656798815809024
Vanuatu,92.01,0.0035219827810847493
Gambia,75.996,0.002908994711784769
Barbados,68.824,0.002634463024947036
Palestine,62.541,0.002393960712007622
Maldives,26.603,0.0010183165734724223
Djibouti,24.87,0.0009519803474141693
Antigua and Barbuda,23.477,0.000898658730045937
Cape Verde,18.884,0.000722846677948097
Andorra,16.268,0.0006227107475566428
Saint Lucia,15.059,0.0005764323301853629
Seychelles,14.267,0.000546115947589785
Comoros,14.062,0.0005382689041149195
Palau,10.778,0.0004125630954736597
Saint Vincent and the Grenadines,9.941,0.0003805241911396967
Sao Tome and Principe,9.83,0.0003762753041850134
Samoa,9.441,0.0003613850607131955
Liechtenstein,9.034,0.00034580580854602356
Tonga,7.092,0.0002714694259694929
Grenada,5.184,0.00019843450426196434
Nauru,4.905,0.0001877548694839767
Micronesia (country),4.432,0.00016964925210050658
Marshall Islands,3.56,0.0001362706086366885
Dominica,3.535,0.00013531365211536341
Saint Kitts and Nevis,3.035,0.00011617452168886224
Cook Islands,2.491,9.535114778482895e-05
Kiribati,2.08,7.961878257424496e-05
Tuvalu,0.29,1.110069564737069e-05
Niue,0.29,1.110069564737069e-05
Anguilla,,
Antarctica,,
Aruba,,
Bermuda,,
Bonaire Sint Eustatius and Saba,,
British Virgin Islands,,
Christmas Island,,
Curacao,,
Faroe Islands,,
French Polynesia,,
Greenland,,
Hong Kong,,
Kosovo,,
Macao,,
Monaco,,
Montserrat,,
New Caledonia,,
Saint Helena,,
Saint Pierre and Miquelon,,
San Marino,,
Sint Maarten (Dutch part),,
Taiwan,,
Turks and Caicos Islands,,
Vatican,,
Wallis and Futuna,,
