year,country_index,population,gdp,temperature_change_from_co2,cement_co2_lag_1,cement_co2_lag_2,cement_co2_lag_3,coal_co2_lag_1,coal_co2_lag_2,coal_co2_lag_3,flaring_co2_lag_1,flaring_co2_lag_2,flaring_co2_lag_3,gas_co2_lag_1,gas_co2_lag_2,gas_co2_lag_3,land_use_change_co2_lag_1,land_use_change_co2_lag_2,land_use_change_co2_lag_3,oil_co2_lag_1,oil_co2_lag_2,oil_co2_lag_3,co2_including_luc
1931,Argentina,0.007077437582291162,0.004340016108596867,0.01851851851851852,0.0002644162835661782,0.00024556709062272425,0.00018136562058312174,0.0010876371067111456,0.0011383370183477325,0.0012611144848071786,0.0,0.0,0.0,0.00033088642578523575,0.0003494297352497545,0.00023014424697499799,0.1308524381195479,0.14574727474431898,0.14550130039477327,0.0015155001036821544,0.001580585251705458,0.0015291225765242415,0.03444939811044567
1932,Argentina,0.0072518159357841325,0.004193164826889841,0.01851851851851852,0.00037074240817480013,0.00026673666740054537,0.0002720484308746826,0.0009306336963077138,0.0011107028304248577,0.0012667471786673747,0.0,0.0,0.0,0.0004110571456891475,0.0003463779471689706,0.0003549025761432629,0.1210324570938224,0.1308524381195479,0.14574727474431898,0.0019173630525237146,0.0015155001036821544,0.001580585251705458,0.03275421790763834
1933,Argentina,0.007408823929303665,0.004393849585635374,0.01851851851851852,0.00034555990497802123,0.00037399585640817204,0.0002955008818121553,0.0008481131324779238,0.0009503698193079797,0.0012359957148900872,0.0,0.0,0.0,0.0005604662146009831,0.00043030211939052733,0.0003518029903254178,0.11557400605345988,0.1210324570938224,0.1308524381195479,0.0021765684385467547,0.0019173630525237146,0.0015155001036821544,0.03159668704382848
1934,Argentina,0.007568601543159225,0.004753617897063475,0.01851851851851852,0.0003553531006656575,0.00034859236427478677,0.0004143266332286833,0.0007982792854898037,0.0008660992264342622,0.0010575763309941416,0.0,0.0,0.0,0.0007536047670967705,0.0005867062585307013,0.0004370416003161578,0.11186010473525532,0.11557400605345988,0.1210324570938224,0.0022647361099969276,0.0021765684385467547,0.0019173630525237146,0.03085698988789437
1935,Argentina,0.007731197545961197,0.0049685894767224036,0.01851851851851852,0.0003917278275054492,0.0003584715001044366,0.0003861836921037161,0.0008816036210452086,0.0008152085437248093,0.0009637995899703341,0.0,0.0,0.0,0.000910302083272598,0.0007888872188826335,0.0005958953734807187,0.10919922272105542,0.11186010473525532,0.11557400605345988,0.0023196044033886656,0.0022647361099969276,0.0021765684385467547,0.03016037140686808
1936,Argentina,0.007896662162099376,0.005003597117253916,0.01851851851851852,0.0004980539521140711,0.00039516543318599315,0.00039712816920787,0.0008489169042035386,0.0009002999540615826,0.0009071681814299827,0.0,0.0,0.0,0.0007696389110775528,0.0009529208282247672,0.000801242933912956,0.10706453899892177,0.10919922272105542,0.11186010473525532,0.00236463424417223,0.0023196044033886656,0.0022647361099969276,0.02973213601439044
1937,Argentina,0.00806504488807386,0.005376253753075754,0.01851851851851852,0.0005750004896597843,0.0005024246221936198,0.000437779084166156,0.0009359921744784794,0.0008669200438973178,0.0010018583322689574,0.0,0.0,0.0,0.0006646881504760683,0.0008056720533269449,0.0009678456716221297,0.10536357966782253,0.10706453899892177,0.10919922272105542,0.002567836130733358,0.00236463424417223,0.0023196044033886656,0.02944922981903915
1938,Argentina,0.008236397404053858,0.005400182170815992,0.02314814814814815,0.0007163023131528213,0.000580046403712297,0.0005566048355826839,0.0010928616229276419,0.000955841935728351,0.000964712999785501,0.0,0.0,0.0,0.000630433388335306,0.0006958076824187252,0.000818290655911104,0.10396308267509248,0.10536357966782253,0.10706453899892177,0.002715412919855965,0.002567836130733358,0.00236463424417223,0.029114020813378372
1939,Argentina,0.00841413060120747,0.005609836719557341,0.02314814814814815,0.000859003164601235,0.0007225882206829588,0.0006425971556867502,0.0009907826137745576,0.0011160381439347196,0.0010636657297619213,0.0,0.0,0.0,0.0006114839454489268,0.0006599491724695144,0.0007067055664686807,0.10301250079007583,0.10396308267509248,0.10536357966782253,0.002837258371387964,0.002715412919855965,0.002567836130733358,0.028885085623036866
1940,Argentina,0.008598421356733554,0.005704174253681365,0.02314814814814815,0.000777859543189392,0.000866541342772142,0.0008005103253323994,0.001040080612945601,0.001011794326126647,0.0012419328786886722,0.0,0.0,0.0,0.0006464675323160884,0.0006401125499444192,0.0006702854331090009,0.1019653973248577,0.10301250079007583,0.10396308267509248,0.003091922933130308,0.002837258371387964,0.002715412919855965,0.02613864837173894
1941,Argentina,0.008789451643058922,0.006003741152065203,0.02314814814814815,0.0007470809281711067,0.0007846856458979006,0.0009599869917072133,0.0007192417324710113,0.0010621377971940628,0.0011259298321624688,0.0,0.0,0.0,0.0006676034493816651,0.0006767340069138259,0.0006501381252930078,0.09372245437565016,0.1019653973248577,0.10301250079007583,0.003422646301574304,0.003091922933130308,0.002837258371387964,0.024363394823317085
1942,Argentina,0.008987407072058914,0.0060751274882190846,0.02314814814814815,0.0008086381582076772,0.0007536369332904298,0.0008693041814156526,0.00035982180916690934,0.0007344948265243332,0.0011819523008260422,0.0,0.0,0.0,0.0007397570972951856,0.000698859470499509,0.000687333155107149,0.08868838692823806,0.09372245437565016,0.1019653973248577,0.003656120350006736,0.003422646301574304,0.003091922933130308,0.023162294639099325
1943,Argentina,0.009192479078726536,0.006025946349711634,0.02314814814814815,0.0007428838443049768,0.0008157343585053714,0.000834907253374026,0.00018553730666275855,0.0003674526176279305,0.0008173495496052319,0.0,0.0,0.0,0.0008410637342646741,0.0007743912254989099,0.0007098051522865258,0.08502118960045359,0.08868838692823806,0.09372245437565016,0.003938786661480037,0.003656120350006736,0.003422646301574304,0.022309847147244776
1944,Argentina,0.009401504254394144,0.006724673222393417,0.02314814814814815,0.0006603411949377572,0.0007494030179348656,0.000903701109457279,0.00020750706716289745,0.00018947203105535508,0.0004089031272564077,0.0,0.0,0.0,0.0008439790331702709,0.0008804408613061499,0.0007865199012781917,0.08213021259345078,0.08502118960045359,0.08868838692823806,0.004123825250918382,0.003938786661480037,0.003656120350006736,0.021546010232706293
1945,Argentina,0.00961455975537071,0.006502526725452129,0.02314814814814815,0.0007470809281711067,0.0006661360159421026,0.0008302167631865315,0.00022090326258981144,0.00021190770837887726,0.00021084543233437254,0.0,0.0,0.0,0.0008250295902838918,0.0008834926493869337,0.0008942305084483086,0.07974550684260164,0.08213021259345078,0.08502118960045359,0.004025062322813253,0.004123825250918382,0.003938786661480037,0.020880891192785706
1946,Argentina,0.009831722737965199,0.007094965321766865,0.02314814814814815,0.000752677039992613,0.0007536369332904298,0.0007379704561658057,0.00027395219648039076,0.00022558799942980546,0.00023581196728226936,0.0,0.0,0.0,0.0007587065401815648,0.0008636560268618385,0.0008973300942661537,0.07772415813722068,0.07974550684260164,0.08213021259345078,0.0038002915209188206,0.004025062322813253,0.004123825250918382,0.020330681328985953
1947,Argentina,0.01005307181426599,0.007896330252610495,0.02314814814814815,0.000787652738877028,0.0007592821537645153,0.000834907253374026,0.00040737830293245393,0.000279761951991481,0.00025103546420171866,0.0,0.0,0.0,0.0007047735104280242,0.0007942278480240052,0.0008771827864501606,0.07596715401761736,0.07772415813722068,0.07974550684260164,0.003455188875585956,0.0038002915209188206,0.004025062322813253,0.01992658569511269
1948,Argentina,0.010278689235810004,0.008343011667148011,0.02314814814814815,0.0009415458139684547,0.0007945647817275503,0.0008411612402906853,0.00043591219919178074,0.0004160176508587255,0.0003113205120027378,0.0,0.0,0.0,0.0007266382522200001,0.0007377697685295035,0.0008066672090941848,0.07443183817254136,0.07596715401761736,0.07772415813722068,0.003629253806345953,0.003455188875585956,0.0038002915209188206,0.019779293915985985
1949,Argentina,0.010506911774616207,0.008226821608555115,0.02314814814814815,0.0008645992764227413,0.0009498083447649049,0.0008802486585198063,0.0007789887640750477,0.0004451566707972025,0.00046294654132045265,0.0,0.0,0.0,0.0005582797404217855,0.0007606581791353825,0.0007493248714640507,0.07306870437214735,0.07443183817254136,0.07596715401761736,0.0038570518244275156,0.003629253806345953,0.003455188875585956,0.019170206592175557
1950,Argentina,0.01073776126737582,0.008330965896253399,0.02314814814814815,0.0010017040160496486,0.0008721865632462276,0.0010522332987279392,0.0004819951114603648,0.0007955089246114729,0.0004953725897588796,0.0,0.0,0.0,0.0008279448891894886,0.0005844174174701134,0.0007725717650978889,0.07176721983910786,0.07306870437214735,0.07443183817254136,0.003751856061924734,0.0038570518244275156,0.003629253806345953,0.02256743603479148
1951,Argentina,0.010982962561492969,0.008660808821398932,0.02314814814814815,0.001088443749282998,0.0010104944648613252,0.0009662409786238727,0.0004770385191524066,0.0004922168720123954,0.0008852463458659757,0.0,0.0,0.0,0.0,0.0008667078149426224,0.0005935706841173349,0.07801434559769743,0.07176721983910786,0.07306870437214735,0.009680280562396225,0.003751856061924734,0.0038570518244275156,0.024076857851265135
1952,Argentina,0.011229893321554505,0.008212409268513682,0.02314814814814815,0.0010772515256399853,0.0010979953822096522,0.0011194636580820273,0.0007327718898521943,0.00048715516432355197,0.0005477414191617852,0.0,0.0,0.0,0.0010334734620340623,0.0,0.0008802823722680057,0.08123380733732144,0.07801434559769743,0.07176721983910786,0.010331888846676041,0.009680280562396225,0.003751856061924734,0.024928422181219524
1953,Argentina,0.01147656932021851,0.008660186815679432,0.02314814814814815,0.0010730544417738555,0.001086704941261481,0.0012164004552902476,0.0006037665278910127,0.0007483119204857706,0.0005421087253015889,0.0,0.0,0.0,0.0011187459550227685,0.001081858874637886,0.0,0.08358301805545133,0.08123380733732144,0.07801434559769743,0.011081881657037598,0.010331888846676041,0.009680280562396225,0.02535145673139622
1954,Argentina,0.011721504206702812,0.009023530643645437,0.02314814814814815,0.0011444048674980622,0.0010824710259059167,0.0012038924814569288,0.00041715752559410115,0.0006165707176653324,0.0008327252814938757,0.0,0.0,0.0,0.000870216723320642,0.0011711236760008146,0.0010988031724260847,0.08522450763874899,0.08358301805545133,0.08123380733732144,0.011355087917926115,0.011081881657037598,0.010331888846676041,0.02588400335719277
