country,year,iso_code,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,cumulative_co2_including_luc,co2_including_luc
Argentina,1850,ARG,1088372.0,2193400064.0,,,,,,,11.576,,,,,
Argentina,1851,ARG,1115018.0,,,,,,,,12.035,,,,,
Argentina,1852,ARG,1138141.0,,,,,,,,12.062,,,,,
Argentina,1853,ARG,1157536.0,,,,,,,,12.15,,,,,
Argentina,1854,ARG,1177263.0,,,,,,,,12.177,,,,,
Argentina,1855,ARG,1197325.0,,,,,,,,12.287,,,,,
Argentina,1856,ARG,1217730.0,,,,,,,,12.448,,,,,
Argentina,1857,ARG,1238482.0,,,,,,,,12.528,,,,,
Argentina,1858,ARG,1259588.0,,,,,,,,12.732,,,,,
Argentina,1859,ARG,1285058.0,,,,,,,,12.815,,,,,
Argentina,1860,ARG,1315097.0,,,,,,,,13.717,,,,,
Argentina,1861,ARG,1349915.0,,,,,,,,14.21,,,,,
Argentina,1862,ARG,1389733.0,,,,,,,,14.583,,,,,
Argentina,1863,ARG,1434777.0,,,,,,,,14.964,,,,,
Argentina,1864,ARG,1481281.0,,,,,,,,15.146,,,,,
Argentina,1865,ARG,1529293.0,,,,,,,,15.242,,,,,
Argentina,1866,ARG,1578860.0,,,,,,,,15.495,,,,,
Argentina,1867,ARG,1630034.0,,,,,,,,15.673,,,,,
Argentina,1868,ARG,1682867.0,,,,,,,,15.765,,,,,
Argentina,1869,ARG,1737244.0,,,,,,,,15.831,,,,,
Argentina,1870,ARG,1793208.0,4202639872.0,,,,,,,16.855,,,,,
Argentina,1871,ARG,1850807.0,,,,,,,,17.469,,,,,
Argentina,1872,ARG,1910088.0,,,,,,,,18.083,,,,,
Argentina,1873,ARG,1971098.0,,,,,,,,18.198,,,,,
Argentina,1874,ARG,2034058.0,,,,,,,,18.494,,,,,
Argentina,1875,ARG,2099028.0,,,,,,,,18.748,,,,,
Argentina,1876,ARG,2166073.0,,,,,,,,18.953,,,,,
Argentina,1877,ARG,2235260.0,,,,,,,,19.104,,,,,
Argentina,1878,ARG,2306657.0,,,,,,,,19.395,,,,,
Argentina,1879,ARG,2380335.0,,,,,,,,19.392,,,,,
Argentina,1880,ARG,2456365.0,,,,,,,,19.611,,,,,
Argentina,1881,ARG,2534824.0,,,,,,,,20.031,,,,,
Argentina,1882,ARG,2615789.0,,,,,,,,20.29,,,,,
Argentina,1883,ARG,2699340.0,,,,,,,,20.566,,,,,
Argentina,1884,ARG,2785560.0,,,,,,,,20.659,,,,,
Argentina,1885,ARG,2874534.0,,,,,,,,20.631,,,,,
Argentina,1886,ARG,2966350.0,,,,,,,,20.91,,,,,
Argentina,1887,ARG,3061098.0,,,,1.085,,0.0,0.0,21.115,0.0,,,22.199,22.199
Argentina,1888,ARG,3158873.0,,,,0.89,,0.0,0.0,21.114,0.0,,,44.204,22.005
Argentina,1889,ARG,3260729.0,,,,1.755,,0.0,0.0,21.345,0.0,,,67.304,23.1
Argentina,1890,ARG,3366831.0,13000976384.0,,,1.37,,0.0,0.0,23.145,0.0,,,91.819,24.516
Argentina,1891,ARG,3477345.0,,,,0.938,,0.0,0.0,24.614,0.0,,,117.371,25.552
Argentina,1892,ARG,3592446.0,,,,1.385,,0.0,0.0,25.583,0.0,,,144.339,26.968
Argentina,1893,ARG,3712318.0,,,,1.554,,0.0,0.0,26.494,0.0,,,172.387,28.048
Argentina,1894,ARG,3836189.0,,,,1.993,,0.0,0.0,27.493,0.0,,,201.874,29.486
Argentina,1895,ARG,3964194.0,,,,2.264,,0.0,0.0,27.869,0.0,,,232.007,30.133
Argentina,1896,ARG,4096469.0,,,,2.305,,0.0,0.0,28.455,0.0,,,262.767,30.76
Argentina,1897,ARG,4233159.0,,,,2.081,,0.0,0.0,28.708,0.0,,,293.556,30.789
Argentina,1898,ARG,4374409.0,,,,2.349,,0.0,0.0,29.418,0.0,,,325.322,31.766
Argentina,1899,ARG,4524892.0,,,,2.92,,0.0,0.0,29.628,0.0,,,357.871,32.549
Argentina,1900,ARG,4685089.0,21508018176.0,,,2.07,,0.0,0.0,61.588,0.0,,,421.529,63.658
Argentina,1901,ARG,4855502.0,22371942400.0,,,2.492,,0.0,0.0,81.392,0.0,,,505.412,83.883
Argentina,1902,ARG,5036658.0,21914859520.0,,,2.814,,0.0,0.0,93.438,0.0,,,601.664,96.252
Argentina,1903,ARG,5229108.0,25056325632.0,,,2.862,,0.0,0.0,102.165,0.0,,,706.69,105.026
