country_index,year,country,population,gdp,primary_energy_consumption,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,co2_including_luc
China,1990,China,1153704192.0,3385121670000.0,7938.249,84.513,1976.684,0.0,29.301,1368.074,330.291,3852.928
China,1991,China,1170626176.0,3508947858611.704,8337.61,101.305,2049.92,0.0,30.778,1013.113,356.027,3619.209
China,1992,China,1183813376.0,3755037526742.155,8773.708,122.445,2114.715,0.0,30.239,1054.941,385.793,3785.728
China,1993,China,1195855616.0,4126169557030.082,9457.634,142.774,2228.745,0.0,35.728,1087.234,428.549,4008.885
China,1994,China,1207286656.0,4438753414215.048,10048.812,164.377,2380.586,3.737,41.568,1199.356,423.712,4303.095
China,1995,China,1218144384.0,4810000038087.688,10352.658,184.637,2569.754,3.728,42.436,1092.233,468.23,4453.87
China,1996,China,1228298880.0,5127589650603.525,10907.449,192.853,2660.401,5.584,44.47,1143.726,510.622,4652.544
China,1997,China,1237801472.0,5291338875305.675,10981.134,202.874,2609.556,5.425,44.159,1144.301,557.961,4659.896
China,1998,China,1246836096.0,5338703030195.93,11000.566,211.369,2444.771,4.132,50.501,1066.255,559.262,4430.843
China,1999,China,1255433216.0,5578502882830.346,11386.067,228.322,2580.992,4.433,54.572,904.531,596.751,4461.806
China,2000,China,1264099072.0,5952682267478.983,11800.283,244.388,2601.737,4.737,59.796,671.712,648.686,4320.913
China,2001,China,1272739584.0,6329737252351.483,12470.062,270.828,2637.655,4.783,67.157,580.39,659.3,4308.903
China,2002,China,1280926080.0,6814493702583.538,13580.49,282.688,3018.634,4.486,53.993,493.33,653.086,4596.373
China,2003,China,1288873344.0,7248622675468.963,15818.756,353.679,3601.712,5.18,60.745,520.981,727.099,5362.1
China,2004,China,1296816768.0,7830952987789.932,18509.135,368.396,3835.288,5.192,71.521,608.344,839.093,5825.695
China,2005,China,1304887552.0,8602939963887.271,21027.164,411.649,4424.39,5.588,84.957,386.445,850.173,6268.588
China,2006,China,1313086592.0,9489543075488.268,23048.367,470.087,4905.374,5.534,103.753,404.611,898.534,6898.949
China,2007,China,1321513216.0,10358205958547.176,25049.293,514.981,5289.904,4.965,129.515,359.417,927.351,7342.994
China,2008,China,1330167168.0,10799148306451.049,26019.0,525.924,5729.474,4.666,149.674,352.643,970.117,7854.141
China,2009,China,1339125632.0,11572543736341.38,27158.898,583.56,6028.5,4.557,164.404,357.847,982.348,8248.937
China,2010,China,1348191360.0,12858807557375.758,29055.609,639.592,6568.793,3.974,199.585,11.268,1092.572,8631.894
China,2011,China,1357095424.0,13691527058279.998,31336.535,708.564,7309.786,3.853,245.99,60.772,1123.859,9593.182
China,2012,China,1366560768.0,14773157696320.137,32624.225,714.782,7464.806,3.733,277.599,57.883,1176.712,9837.238
Germany,1990,Germany,79370192.0,2015547584054.0,4192.642,15.297,569.117,3.841,122.282,-39.965,333.267,1014.775
Germany,1991,Germany,79801984.0,2141316275284.2344,4090.643,13.741,504.043,3.619,130.146,-40.577,355.252,976.293
Germany,1992,Germany,80205024.0,2204952386036.203,4009.338,14.444,454.311,3.54,129.37,-19.371,357.921,950.103
Germany,1993,Germany,80573496.0,2206290839038.913,3991.526,14.531,430.776,3.318,136.288,-15.356,364.574,944.012
Germany,1994,Germany,80882120.0,2283952741453.933,3954.172,15.341,418.185,3.22,142.15,-15.478,353.769,927.707
Germany,1995,Germany,81123264.0,2347761273167.4883,3974.795,15.562,406.046,3.06,152.97,-18.85,351.664,921.047
Germany,1996,Germany,81300864.0,2391519661884.361,4105.846,14.811,400.612,3.213,169.956,-19.221,361.019,940.433
Germany,1997,Germany,81436096.0,2461046189510.3667,4053.187,15.275,386.864,3.239,162.878,-14.956,353.047,916.53
Germany,1998,Germany,81524384.0,2535903730461.1104,4019.631,15.545,377.48,3.168,165.378,-19.544,351.882,903.923
Germany,1999,Germany,81556968.0,2613176603036.141,3963.56,15.771,360.052,3.113,165.627,-21.002,340.806,874.4
Germany,2000,Germany,81551680.0,2718560408621.5728,3988.179,15.253,373.46,2.992,166.421,-20.247,330.737,878.691
Germany,2001,Germany,81514568.0,2793372810204.8223,4062.799,13.504,376.52,2.97,173.8,-21.19,338.856,894.052
Germany,2002,Germany,81443424.0,2822441757886.9287,4011.723,12.823,375.786,2.966,173.61,-16.598,324.412,882.237
Germany,2003,Germany,81346808.0,2831675982126.5684,4010.471,13.507,379.524,3.003,174.859,-13.72,319.712,886.139
Germany,2004,Germany,81266672.0,2894624832853.845,4009.893,14.068,375.978,2.928,173.344,-13.734,310.181,871.898
Germany,2005,Germany,81212168.0,2945461106151.811,3962.631,13.05,363.226,2.954,173.416,-16.163,304.012,849.308
Germany,2006,Germany,81177816.0,3086359027851.9297,4062.384,13.34,369.583,3.069,178.383,-14.307,304.138,863.19
Germany,2007,Germany,81183832.0,3220275782477.8364,3893.425,14.449,379.374,2.989,174.428,-13.165,269.802,837.065
Germany,2008,Germany,81217488.0,3289020458985.8726,3934.661,13.579,356.208,2.945,179.821,-13.516,291.228,839.342
