year_range,country_index,country,population_t-2,gdp_t-2,primary_energy_consumption_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,co2_including_luc_t-2,population_t-1,gdp_t-1,primary_energy_consumption_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t-1,co2_including_luc_t+1
1992-1992,China,China,1153704192.0,3385121670000.0,7938.249,84.513,1976.684,0.0,29.301,1368.074,330.291,3852.928,1170626176.0,3508947858611.704,8337.61,101.305,2049.92,0.0,30.778,1013.113,356.027,3619.209,3785.728
1993-1993,China,China,1170626176.0,3508947858611.704,8337.61,101.305,2049.92,0.0,30.778,1013.113,356.027,3619.209,1183813376.0,3755037526742.155,8773.708,122.445,2114.715,0.0,30.239,1054.941,385.793,3785.728,4008.885
1994-1994,China,China,1183813376.0,3755037526742.155,8773.708,122.445,2114.715,0.0,30.239,1054.941,385.793,3785.728,1195855616.0,4126169557030.082,9457.634,142.774,2228.745,0.0,35.728,1087.234,428.549,4008.885,4303.095
1995-1995,China,China,1195855616.0,4126169557030.082,9457.634,142.774,2228.745,0.0,35.728,1087.234,428.549,4008.885,1207286656.0,4438753414215.048,10048.812,164.377,2380.586,3.737,41.568,1199.356,423.712,4303.095,4453.87
1996-1996,China,China,1207286656.0,4438753414215.048,10048.812,164.377,2380.586,3.737,41.568,1199.356,423.712,4303.095,1218144384.0,4810000038087.688,10352.658,184.637,2569.754,3.728,42.436,1092.233,468.23,4453.87,4652.544
1997-1997,China,China,1218144384.0,4810000038087.688,10352.658,184.637,2569.754,3.728,42.436,1092.233,468.23,4453.87,1228298880.0,5127589650603.525,10907.449,192.853,2660.401,5.584,44.47,1143.726,510.622,4652.544,4659.896
1998-1998,China,China,1228298880.0,5127589650603.525,10907.449,192.853,2660.401,5.584,44.47,1143.726,510.622,4652.544,1237801472.0,5291338875305.675,10981.134,202.874,2609.556,5.425,44.159,1144.301,557.961,4659.896,4430.843
1999-1999,China,China,1237801472.0,5291338875305.675,10981.134,202.874,2609.556,5.425,44.159,1144.301,557.961,4659.896,1246836096.0,5338703030195.93,11000.566,211.369,2444.771,4.132,50.501,1066.255,559.262,4430.843,4461.806
2000-2000,China,China,1246836096.0,5338703030195.93,11000.566,211.369,2444.771,4.132,50.501,1066.255,559.262,4430.843,1255433216.0,5578502882830.346,11386.067,228.322,2580.992,4.433,54.572,904.531,596.751,4461.806,4320.913
2001-2001,China,China,1255433216.0,5578502882830.346,11386.067,228.322,2580.992,4.433,54.572,904.531,596.751,4461.806,1264099072.0,5952682267478.983,11800.283,244.388,2601.737,4.737,59.796,671.712,648.686,4320.913,4308.903
2002-2002,China,China,1264099072.0,5952682267478.983,11800.283,244.388,2601.737,4.737,59.796,671.712,648.686,4320.913,1272739584.0,6329737252351.483,12470.062,270.828,2637.655,4.783,67.157,580.39,659.3,4308.903,4596.373
2003-2003,China,China,1272739584.0,6329737252351.483,12470.062,270.828,2637.655,4.783,67.157,580.39,659.3,4308.903,1280926080.0,6814493702583.538,13580.49,282.688,3018.634,4.486,53.993,493.33,653.086,4596.373,5362.1
2004-2004,China,China,1280926080.0,6814493702583.538,13580.49,282.688,3018.634,4.486,53.993,493.33,653.086,4596.373,1288873344.0,7248622675468.963,15818.756,353.679,3601.712,5.18,60.745,520.981,727.099,5362.1,5825.695
2005-2005,China,China,1288873344.0,7248622675468.963,15818.756,353.679,3601.712,5.18,60.745,520.981,727.099,5362.1,1296816768.0,7830952987789.932,18509.135,368.396,3835.288,5.192,71.521,608.344,839.093,5825.695,6268.588
2006-2006,China,China,1296816768.0,7830952987789.932,18509.135,368.396,3835.288,5.192,71.521,608.344,839.093,5825.695,1304887552.0,8602939963887.271,21027.164,411.649,4424.39,5.588,84.957,386.445,850.173,6268.588,6898.949
2007-2007,China,China,1304887552.0,8602939963887.271,21027.164,411.649,4424.39,5.588,84.957,386.445,850.173,6268.588,1313086592.0,9489543075488.268,23048.367,470.087,4905.374,5.534,103.753,404.611,898.534,6898.949,7342.994
2008-2008,China,China,1313086592.0,9489543075488.268,23048.367,470.087,4905.374,5.534,103.753,404.611,898.534,6898.949,1321513216.0,10358205958547.176,25049.293,514.981,5289.904,4.965,129.515,359.417,927.351,7342.994,7854.141
2009-2009,China,China,1321513216.0,10358205958547.176,25049.293,514.981,5289.904,4.965,129.515,359.417,927.351,7342.994,1330167168.0,10799148306451.049,26019.0,525.924,5729.474,4.666,149.674,352.643,970.117,7854.141,8248.937
2010-2010,China,China,1330167168.0,10799148306451.049,26019.0,525.924,5729.474,4.666,149.674,352.643,970.117,7854.141,1339125632.0,11572543736341.38,27158.898,583.56,6028.5,4.557,164.404,357.847,982.348,8248.937,8631.894
2011-2011,China,China,1339125632.0,11572543736341.38,27158.898,583.56,6028.5,4.557,164.404,357.847,982.348,8248.937,1348191360.0,12858807557375.758,29055.609,639.592,6568.793,3.974,199.585,11.268,1092.572,8631.894,9593.182
2012-2012,China,China,1348191360.0,12858807557375.758,29055.609,639.592,6568.793,3.974,199.585,11.268,1092.572,8631.894,1357095424.0,13691527058279.998,31336.535,708.564,7309.786,3.853,245.99,60.772,1123.859,9593.182,9837.238
2013-2013,China,China,1357095424.0,13691527058279.998,31336.535,708.564,7309.786,3.853,245.99,60.772,1123.859,9593.182,1366560768.0,14773157696320.137,32624.225,714.782,7464.806,3.733,277.599,57.883,1176.712,9837.238,10002.81
2014-2014,China,China,1366560768.0,14773157696320.137,32624.225,714.782,7464.806,3.733,277.599,57.883,1176.712,9837.238,1376100352.0,15925463991845.867,33852.562,748.323,7493.454,3.632,320.127,46.434,1234.622,10002.81,10441.911
2015-2015,China,China,1376100352.0,15925463991845.867,33852.562,748.323,7493.454,3.632,320.127,46.434,1234.622,10002.81,1385189632.0,17103948327082.293,34729.508,778.627,7425.067,3.93,370.222,443.237,1255.605,10441.911,10242.954
2016-2016,China,China,1385189632.0,17103948327082.293,34729.508,778.627,7425.067,3.93,370.222,443.237,1255.605,10441.911,1393715456.0,18301224717452.55,35134.855,721.995,7266.979,3.901,380.052,376.002,1328.805,10242.954,9978.354
2017-2017,China,China,1393715456.0,18301224717452.55,35134.855,721.995,7266.979,3.901,380.052,376.002,1328.805,10242.954,1401889664.0,19545707998702.027,35278.277,743.044,7071.404,3.09,421.726,213.326,1357.838,9978.354,10472.555
2018-2018,China,China,1401889664.0,19545707998702.027,35278.277,743.044,7071.404,3.09,421.726,213.326,1357.838,9978.354,1410275968.0,20894361849340.027,36649.703,758.185,7163.318,2.969,486.359,461.403,1430.587,10472.555,11050.448
2019-2019,China,China,1410275968.0,20894361849340.027,36649.703,758.185,7163.318,2.969,486.359,461.403,1430.587,10472.555,1417069440.0,22294284089099.24,38415.93,786.745,7316.4,3.408,575.369,696.514,1500.474,11050.448,11471.032
2020-2020,China,China,1417069440.0,22294284089099.24,38415.93,786.745,7316.4,3.408,575.369,696.514,1500.474,11050.448,1421864064.0,23631941133377.406,40206.684,826.876,7523.17,3.839,630.171,749.99,1559.728,11471.032,11743.429
2021-2021,China,China,1421864064.0,23631941133377.406,40206.684,826.876,7523.17,3.839,630.171,749.99,1559.728,11471.032,1424929792.0,24151843838525.27,41513.812,858.233,7679.546,5.17,676.473,829.416,1523.052,11743.429,12240.529
