year_range,country_index,country_t-3,population_t-3,gdp_t-3,temperature_change_from_co2_t-3,cement_co2_t-3,coal_co2_t-3,flaring_co2_t-3,gas_co2_t-3,land_use_change_co2_t-3,oil_co2_t-3,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_including_luc_t+1,co2_including_luc_t+2
1931-1932,Argentina,0,0.006986121192291343,0.009623507822598193,0.027586206896551727,0.0003148785545988556,0.0021599420956131586,0.0,0.0002527962930019687,0.18971599173921108,0.001600584306352074,0,0.0071311032607273145,0.009145864022816622,0.0272108843537415,0.0004226902045188984,0.0018807112392894838,0.0,0.00038983401412424814,0.1900367123619125,0.0016544520286148508,0,0.007259498758922317,0.00793996471996097,0.026845637583892617,0.0004020532369540107,0.0016551235440967398,0.0,0.00038642935024543377,0.17061565774319046,0.0015863252034001621,0.046616573102526,0.04150553320895282
1932-1933,Argentina,0,0.007220955253412926,0.010073498563418647,0.027586206896551727,0.0004723178318982833,0.002169589350265221,0.0,0.00038983401412424814,0.1900367123619125,0.0016544520286148508,0,0.007348871376864297,0.008758436771865327,0.0272108843537415,0.00045912901525328617,0.0018350552279523277,0.0,0.00038642935024543377,0.17061565774319046,0.0015863252034001621,0,0.007459529876738719,0.00737421634709445,0.026845637583892617,0.0005637254380572108,0.0014162019042788584,0.0,0.00048005760691282955,0.15781159733891198,0.0020069687404815537,0.044322672593937386,0.04003873171658551
1933-1934,Argentina,0,0.00744007089134753,0.00964787938256264,0.027586206896551727,0.0005130348863722733,0.0021169205545972032,0.0,0.00038642935024543377,0.17061565774319046,0.0015863252034001621,0,0.007550152631811439,0.008134369596846259,0.0272108843537415,0.0006437523229741843,0.0015701599542535807,0.0,0.00048005760691282955,0.15781159733891198,0.0020069687404815537,0,0.007642283235808806,0.007124698120650394,0.026845637583892617,0.0005254346535854002,0.0012906253427363542,0.0,0.0006545466307020673,0.15069444134324292,0.002278287782760982,0.042756313670677684,0.03910140129530161
1934-1935,Argentina,0,0.00764259764946247,0.008962292710023361,0.027586206896551727,0.000719334629040489,0.001811337245077814,0.0,0.00048005760691282955,0.15781159733891198,0.0020069687404815537,0,0.007734048146974213,0.007859130387754536,0.0272108843537415,0.000600025750092919,0.0014309317216610652,0.0,0.0006545466307020673,0.15069444134324292,0.002278287782760982,0,0.007806831975040398,0.007465685986023195,0.026845637583892617,0.0005403255142133266,0.0012147901464801664,0.0,0.0008801056126735209,0.14585196591592328,0.002370575865755299,0.04175536304643798,0.038218659366315896
1935-1936,Argentina,0,0.007827631087015181,0.00865992088040779,0.027586206896551727,0.0006704741636717011,0.0016507234919515823,0.0,0.0006545466307020673,0.15069444134324292,0.002278287782760982,0,0.007899625268644376,0.008235268162187328,0.0272108843537415,0.0006170305284356333,0.0013468523344461042,0.0,0.0008801056126735209,0.14585196591592328,0.002370575865755299,0,0.007974283353330214,0.008076976197145794,0.026845637583892617,0.0005956344251170529,0.0013415898563493836,0.0,0.0010631062961597947,0.14238249953414314,0.0024280083637560537,0.04081270604438469,0.03767600747476868
1936-1937,Argentina,0,0.007994232779153218,0.00907313768704696,0.027586206896551727,0.0006894754557595631,0.0015537294722065198,0.0,0.0008801056126735209,0.14585196591592328,0.002370575865755299,0,0.008068123170034594,0.00890957174566771,0.0272108843537415,0.0006801911337085722,0.0014874366861872485,0.0,0.0010631062961597947,0.14238249953414314,0.0024280083637560537,0,0.008144688481536837,0.00844223911258555,0.026845637583892617,0.0007573066262202529,0.001291848491063067,0.0,0.0008988312640070001,0.13959913169966096,0.0024751426207359835,0.04023322229217162,0.03731751402762601
1937-1938,Argentina,0,0.008163773324429992,0.00981391298910559,0.027586206896551727,0.000760051683514479,0.0017159076450060594,0.0,0.0010631062961597947,0.14238249953414314,0.0024280083637560537,0,0.00823959328143166,0.00931248690496857,0.0272108843537415,0.0008648144414294702,0.0014322878408096933,0.0,0.0008988312640070001,0.13959913169966096,0.0024751426207359835,0,0.008318099996216119,0.00850172136072037,0.026845637583892617,0.0008743062454396739,0.0014243562264569431,0.0,0.0007762633643696819,0.13738128769735988,0.002687840906435331,0.0398503965227788,0.036892743436075764
1938-1939,Argentina,0,0.008336304471376461,0.01025654685039187,0.027586206896551727,0.0009663514261826946,0.0016522879116248894,0.0,0.0008988312640070001,0.13959913169966096,0.0024751426207359835,0,0.008414088568354804,0.009378100736731265,0.0272108843537415,0.0009984234141222255,0.0015792007485777699,0.0,0.0007762633643696819,0.13738128769735988,0.002687840906435331,0,0.008494569771075274,0.009134910405868654,0.026845637583892617,0.001089160091642611,0.0016630740082203721,0.0,0.0007362585637936128,0.13555521002532067,0.0028423145217477065,0.03939679512553777,0.03660264103850939
1939-1940,Argentina,0,0.008511879513255851,0.010328628783862192,0.027586206896551727,0.0011156472925873244,0.0018217667095665304,0.0,0.0007762633643696819,0.13738128769735988,0.002687840906435331,0,0.008591661228707042,0.010076560542557239,0.0272108843537415,0.0012437780730671034,0.0018438700024184123,0.0,0.0007362585637936128,0.13555521002532067,0.0028423145217477065,0,0.008674151968367426,0.009175567704100947,0.03355704697986577,0.0013061412036495374,0.0015077341707278589,0.0,0.0007141282485813191,0.1343157669099948,0.0029698542759286936,0.039087002367995824,0.03312240704661584
1940-1941,Argentina,0,0.008690550970965254,0.011095941588231415,0.027586206896551727,0.0013898087927121901,0.002127089282473702,0.0,0.0007362585637936128,0.13555521002532067,0.0028423145217477065,0,0.008772365763240048,0.010121408900004871,0.034013605442176874,0.0014915619860609403,0.0016716428705426058,0.0,0.0007141282485813191,0.1343157669099948,0.0029698542759286936,0,0.00886042129679871,0.009531796335950657,0.03355704697986577,0.001182759787018148,0.0015827539347662383,0.0,0.0007549842151270919,0.13295047139841903,0.003236420283890818,0.03537055157584658,0.030872838905007076
