country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,115.67,4.88%,178.05,0.98
Chiny,56,201.16,10.26%,306.45,0.96
Rosja,57,116.38,6.41%,171.68,0.88
Brazylia,75,110.89,16.86%,239.73,0.88
Indie,74,68.19,11.78%,179.48,0.13
Niemcy,75,37.9,10.4%,70.06,0.91
Indonezja,106,44.63,7.89%,93.34,0.75
Wielka Brytania,75,18.45,3.46%,42.65,0.44
Kanada,75,35.75,7.0%,137.42,-0.42
Japonia,74,31.23,10.42%,75.84,0.97
Ukraina,32,26.48,5.52%,50.91,0.92
Meksyk,75,22.06,10.22%,43.79,0.92
Francja,75,15.22,9.72%,19.76,0.98
Australia,75,39.4,13.97%,57.64,0.83
Republika Południowej Afryki,57,14.66,5.93%,36.11,0.89
Polska,58,20.18,16.93%,79.38,0.34
Włochy,75,11.72,10.49%,17.95,0.98
Kolumbia,80,35.74,23.96%,56.82,0.71
Tajlandia,56,52.17,19.38%,146.78,-2.42
Demokratyczna Republika Konga,57,63.96,28.45%,275.27,-3.98
Argentyna,74,18.34,14.33%,50.44,0.38
Iran,56,19.67,18.79%,34.62,0.92
Malezja,97,29.05,46.49%,92.66,-0.07
Kazachstan,32,36.75,22.06%,130.31,-2.3
Arabia Saudyjska,50,46.6,788.82%,226.37,-1.48
Turcja,74,15.65,12.01%,22.39,0.75
Hiszpania,75,14.24,16.22%,50.6,0.63
Korea Południowa,88,43.97,5921.11%,355.61,-7.75
Filipiny,75,35.48,35.3%,130.27,-2.34
Nigeria,57,22.75,13.98%,43.24,0.6
Wietnam,56,18.04,16.25%,27.11,0.82
Wenezuela,94,9.86,148.71%,28.63,0.8
Holandia,136,3.61,11.3%,7.89,0.97
Belgia,75,11.44,13.04%,49.31,-2.74
Czechy,41,9.32,6.37%,35.21,-0.58
Rumunia,74,15.46,22.31%,94.12,-1.7
Białoruś,32,8.87,8.9%,29.22,-0.14
Wybrzeże Kości Słoniowej,57,41.72,29.56%,178.35,-8.69
Mjanma (Birma),56,44.46,43.48%,101.63,-0.21
Peru,75,16.72,36.04%,62.9,-2.3
Pakistan,57,15.92,28.0%,28.94,0.36
Chile,75,7.79,16.34%,37.3,-6.42
Egipt,56,9.8,44.3%,46.01,0.12
Tanzania,57,297.07,276.17%,2083.55,-2562.69
Szwecja,91,12.29,27.51%,82.2,-61.69
Overall,3153,41.23,202.89,306.89,0.84
