country,MAE,MAPE,RMSE,R2
Stany Zjednoczone,106.48,4.45%,164.45,0.98
Chiny,232.06,12.82%,475.44,0.9
Rosja,137.87,8.66%,212.93,0.82
Brazylia,78.4,7.22%,149.32,0.95
Indie,89.89,16.04%,358.75,-2.46
Niemcy,46.37,11.61%,100.79,0.81
Indonezja,42.51,7.27%,96.38,0.73
Wielka Brytania,21.24,4.06%,61.66,-0.16
Kanada,30.87,5.83%,85.85,0.45
Japonia,24.01,6.24%,34.37,0.99
Ukraina,35.19,6.65%,99.57,0.7
Meksyk,18.72,6.84%,31.83,0.96
Francja,17.73,10.72%,30.61,0.94
Australia,42.09,15.18%,62.39,0.8
Republika Południowej Afryki,13.11,4.49%,21.94,0.96
Polska,11.53,5.17%,16.51,0.97
Włochy,11.86,10.88%,16.95,0.99
Kolumbia,38.06,23.38%,78.04,0.46
Tajlandia,39.49,13.99%,59.34,0.44
Demokratyczna Republika Konga,58.92,27.81%,220.48,-2.19
Argentyna,13.88,11.16%,23.42,0.87
Iran,17.98,14.0%,27.0,0.95
Malezja,20.17,25.87%,28.68,0.9
Kazachstan,16.63,13.9%,25.13,0.88
Arabia Saudyjska,16.41,20.85%,22.35,0.98
Turcja,19.33,14.93%,28.46,0.6
Hiszpania,9.53,8.52%,16.52,0.96
Korea Południowa,6.52,109.37%,16.12,0.98
Filipiny,22.39,18.84%,33.9,0.77
Nigeria,25.72,15.38%,53.28,0.39
Wietnam,25.01,28.73%,56.36,0.22
Wenezuela,8.46,36.51%,13.41,0.96
Holandia,3.11,6.57%,5.21,0.99
Belgia,7.22,8.56%,14.91,0.66
Czechy,8.3,5.67%,27.72,0.02
Rumunia,5.99,6.51%,11.99,0.96
Białoruś,8.29,8.41%,24.46,0.2
Wybrzeże Kości Słoniowej,20.26,19.55%,27.84,0.76
Mjanma (Birma),57.89,68.67%,159.79,-1.99
Peru,9.71,14.14%,16.9,0.76
Pakistan,19.67,34.41%,33.01,0.17
Chile,4.24,8.66%,7.89,0.67
Egipt,6.26,23.02%,20.81,0.82
Tanzania,34.45,33.2%,78.76,-2.66
Szwecja,4.15,10.5%,6.57,0.6
Overall,33.03,17.21,112.41,0.98
