country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,102.63,4.13%,153.43,0.98
Chiny,56,225.09,12.79%,486.06,0.89
Rosja,57,102.13,5.82%,132.05,0.93
Brazylia,75,82.0,8.9%,151.54,0.95
Indie,74,61.05,10.58%,157.43,0.33
Niemcy,75,38.3,7.95%,58.74,0.94
Indonezja,106,36.26,6.82%,87.75,0.77
Wielka Brytania,75,20.51,3.95%,63.55,-0.23
Kanada,75,30.11,5.8%,101.43,0.23
Japonia,74,22.19,6.13%,35.99,0.99
Ukraina,32,24.84,5.04%,71.66,0.85
Meksyk,75,19.47,7.4%,30.37,0.96
Francja,75,15.96,9.33%,25.15,0.96
Australia,75,35.77,13.41%,54.19,0.85
Republika Południowej Afryki,57,10.45,3.66%,16.96,0.98
Polska,58,11.0,5.05%,16.91,0.97
Włochy,75,9.9,9.29%,14.71,0.99
Kolumbia,80,37.79,24.65%,67.81,0.59
Tajlandia,56,37.75,13.84%,51.86,0.57
Demokratyczna Republika Konga,57,37.42,25.22%,77.53,0.61
Argentyna,74,13.09,9.82%,19.88,0.9
Iran,56,15.42,9.5%,21.31,0.97
Malezja,97,19.16,26.49%,26.46,0.91
Kazachstan,32,14.17,11.22%,27.42,0.85
Arabia Saudyjska,50,15.54,20.32%,22.78,0.97
Turcja,74,16.11,12.98%,24.38,0.71
Hiszpania,75,8.15,7.57%,12.76,0.98
Korea Południowa,88,5.64,41.91%,13.76,0.99
Filipiny,75,19.33,16.41%,29.14,0.83
Nigeria,57,20.85,12.26%,31.79,0.78
Wietnam,56,18.65,20.24%,30.09,0.78
Wenezuela,94,11.97,28.87%,16.15,0.94
Holandia,136,2.89,6.48%,4.88,0.99
Belgia,75,6.24,7.4%,12.23,0.77
Czechy,41,7.02,4.74%,25.81,0.15
Rumunia,74,4.32,4.52%,7.16,0.98
Białoruś,32,5.22,5.48%,12.09,0.81
Wybrzeże Kości Słoniowej,57,22.11,18.62%,40.29,0.51
Mjanma (Birma),56,64.85,76.37%,130.1,-0.98
Peru,75,8.56,11.98%,13.87,0.84
Pakistan,57,13.7,24.29%,17.5,0.77
Chile,75,3.84,7.97%,6.52,0.77
Egipt,56,3.04,5.96%,4.44,0.99
Tanzania,57,29.49,30.26%,45.17,-0.21
Szwecja,91,3.92,9.79%,7.21,0.52
Overall,3153,29.52,13.6,91.38,0.99
