country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,158.09,5.82%,222.8,0.96
Chiny,56,213.73,8.82%,294.09,0.96
Rosja,57,145.93,8.15%,200.54,0.84
Brazylia,75,75.88,7.44%,148.41,0.95
Indie,74,51.22,8.44%,75.75,0.85
Niemcy,75,52.82,12.07%,79.26,0.88
Indonezja,106,40.36,6.43%,101.13,0.7
Wielka Brytania,75,17.34,3.13%,21.47,0.86
Kanada,75,23.08,4.02%,28.68,0.94
Japonia,74,37.87,7.49%,48.57,0.99
Ukraina,32,27.94,6.11%,33.82,0.97
Meksyk,75,27.21,10.72%,37.66,0.94
Francja,75,18.72,10.7%,23.92,0.97
Australia,75,43.82,16.21%,61.07,0.8
Republika Południowej Afryki,57,25.0,8.53%,28.24,0.93
Polska,58,21.08,9.0%,23.24,0.94
Włochy,75,24.49,17.02%,28.32,0.96
Kolumbia,80,33.59,21.41%,57.65,0.7
Tajlandia,56,39.55,13.21%,58.83,0.45
Demokratyczna Republika Konga,57,30.13,13.12%,59.57,0.77
Argentyna,74,17.22,13.84%,27.92,0.81
Iran,56,23.15,14.15%,32.65,0.93
Malezja,97,22.47,24.31%,33.35,0.86
Kazachstan,32,22.27,16.92%,26.84,0.86
Arabia Saudyjska,50,21.9,62.58%,27.07,0.96
Turcja,74,23.62,17.88%,29.89,0.56
Hiszpania,75,9.72,8.8%,13.84,0.97
Korea Południowa,88,14.93,286.7%,20.42,0.97
Filipiny,75,27.0,21.1%,35.84,0.75
Nigeria,57,22.97,13.45%,35.28,0.73
Wietnam,56,26.06,23.95%,34.65,0.7
Wenezuela,94,21.36,98.21%,25.05,0.85
Holandia,136,9.77,29.78%,11.18,0.95
Belgia,75,8.79,10.0%,11.37,0.8
Czechy,41,5.8,4.08%,7.04,0.94
Rumunia,74,17.84,18.77%,19.47,0.88
Białoruś,32,6.5,8.19%,7.9,0.92
Wybrzeże Kości Słoniowej,57,25.8,20.8%,33.15,0.67
Mjanma (Birma),56,30.42,18.14%,88.41,0.08
Peru,75,14.81,24.78%,20.19,0.66
Pakistan,57,17.5,26.97%,21.87,0.64
Chile,75,7.46,14.79%,8.66,0.6
Egipt,56,6.82,18.04%,7.93,0.97
Tanzania,57,31.06,26.75%,51.56,-0.57
Szwecja,91,12.45,27.9%,13.37,-0.66
Overall,3153,36.19,25.53,80.72,0.99
