country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,155.48,5.92%,204.24,0.97
Chiny,56,328.44,12.33%,407.56,0.93
Rosja,57,185.57,10.18%,227.68,0.79
Brazylia,75,99.22,8.45%,175.03,0.93
Indie,74,163.17,24.62%,177.46,0.15
Niemcy,75,56.21,12.48%,79.01,0.88
Indonezja,106,67.13,12.57%,113.55,0.62
Wielka Brytania,75,49.16,8.71%,52.17,0.17
Kanada,75,26.56,4.53%,32.3,0.92
Japonia,74,53.95,11.96%,64.29,0.98
Ukraina,32,41.86,9.25%,49.33,0.93
Meksyk,75,37.14,13.83%,47.01,0.9
Francja,75,17.83,10.35%,22.84,0.97
Australia,75,39.18,13.19%,59.66,0.81
Republika Południowej Afryki,57,30.63,9.77%,34.96,0.9
Polska,58,25.65,9.67%,27.88,0.92
Włochy,75,33.76,20.29%,39.29,0.92
Kolumbia,80,28.89,15.92%,59.42,0.69
Tajlandia,56,48.62,16.27%,64.63,0.34
Demokratyczna Republika Konga,57,29.28,13.63%,57.41,0.78
Argentyna,74,15.63,12.39%,26.27,0.83
Iran,56,25.0,14.6%,34.9,0.92
Malezja,97,19.75,22.46%,29.82,0.89
Kazachstan,32,16.5,14.61%,21.3,0.91
Arabia Saudyjska,50,14.58,11.52%,20.73,0.98
Turcja,74,27.8,20.33%,34.1,0.42
Hiszpania,75,11.7,10.58%,16.66,0.96
Korea Południowa,88,11.94,78.74%,20.66,0.97
Filipiny,75,23.67,17.85%,32.83,0.79
Nigeria,57,36.44,22.14%,49.36,0.47
Wietnam,56,31.73,29.25%,41.55,0.57
Wenezuela,94,12.19,19.94%,16.16,0.94
Holandia,136,4.9,11.74%,7.21,0.98
Belgia,75,5.81,7.09%,8.06,0.9
Czechy,41,5.31,3.69%,6.42,0.95
Rumunia,74,15.52,15.33%,17.34,0.91
Białoruś,32,4.5,5.51%,5.74,0.96
Wybrzeże Kości Słoniowej,57,19.56,16.19%,27.15,0.78
Mjanma (Birma),56,34.12,22.54%,89.89,0.05
Peru,75,12.97,18.01%,19.57,0.68
Pakistan,57,28.58,39.2%,33.95,0.12
Chile,75,3.95,7.68%,5.31,0.85
Egipt,56,7.82,15.4%,9.35,0.96
Tanzania,57,24.2,20.97%,38.37,0.13
Szwecja,91,5.74,13.46%,6.79,0.57
Overall,3153,44.04,16.14,94.09,0.98
