country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,121.31,4.43%,175.49,0.98
Chiny,56,257.05,11.5%,306.62,0.96
Rosja,57,126.12,6.8%,171.91,0.88
Brazylia,75,70.21,6.35%,148.19,0.95
Indie,74,214.29,33.96%,247.93,-0.65
Niemcy,75,31.0,8.92%,64.89,0.92
Indonezja,106,43.59,7.81%,95.1,0.74
Wielka Brytania,75,14.93,2.69%,19.08,0.89
Kanada,75,38.09,6.4%,45.6,0.84
Japonia,74,29.53,7.87%,37.69,0.99
Ukraina,32,22.85,4.86%,30.38,0.97
Meksyk,75,20.09,7.56%,30.75,0.96
Francja,75,17.05,11.64%,22.57,0.97
Australia,75,39.45,13.12%,59.6,0.81
Republika Południowej Afryki,57,11.04,3.44%,15.41,0.98
Polska,58,10.6,3.6%,15.73,0.97
Włochy,75,18.25,21.32%,21.92,0.98
Kolumbia,80,31.9,21.77%,58.77,0.69
Tajlandia,56,35.06,12.38%,50.49,0.59
Demokratyczna Republika Konga,57,29.21,15.11%,51.5,0.83
Argentyna,74,16.4,14.71%,25.39,0.84
Iran,56,15.7,9.57%,23.94,0.96
Malezja,97,18.85,24.51%,27.55,0.91
Kazachstan,32,15.36,13.88%,21.0,0.91
Arabia Saudyjska,50,15.53,12.57%,22.11,0.98
Turcja,74,20.82,15.78%,27.7,0.62
Hiszpania,75,11.66,12.52%,14.38,0.97
Korea Południowa,88,12.93,195.8%,19.02,0.97
Filipiny,75,27.11,24.47%,35.84,0.75
Nigeria,57,42.52,29.21%,54.14,0.37
Wietnam,56,29.08,32.91%,35.55,0.69
Wenezuela,94,7.65,25.49%,11.46,0.97
Holandia,136,3.34,7.66%,6.04,0.98
Belgia,75,6.09,7.36%,8.19,0.9
Czechy,41,6.21,4.24%,7.85,0.92
Rumunia,74,6.65,7.57%,9.08,0.97
Białoruś,32,4.35,5.25%,5.72,0.96
Wybrzeże Kości Słoniowej,57,21.45,20.01%,26.47,0.79
Mjanma (Birma),56,37.09,29.91%,87.23,0.11
Peru,75,10.14,14.02%,15.16,0.81
Pakistan,57,56.42,98.62%,65.51,-2.27
Chile,75,4.07,8.83%,5.48,0.84
Egipt,56,15.69,32.72%,17.44,0.87
Tanzania,57,24.45,24.86%,34.76,0.29
Szwecja,91,3.92,10.48%,5.25,0.74
Overall,3153,36.52,20.38,82.42,0.99
