country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,128.27,5.28%,171.57,0.98
Chiny,56,219.34,9.63%,278.21,0.97
Rosja,57,123.23,7.81%,187.15,0.86
Brazylia,75,79.3,8.39%,134.6,0.96
Indie,74,59.56,10.03%,88.23,0.79
Niemcy,75,43.94,10.73%,71.68,0.9
Indonezja,106,41.06,7.12%,91.97,0.75
Wielka Brytania,75,20.07,3.64%,29.22,0.74
Kanada,75,24.17,4.32%,38.52,0.89
Japonia,74,32.3,6.08%,44.28,0.99
Ukraina,32,35.0,6.79%,64.75,0.87
Meksyk,75,20.47,7.38%,31.71,0.96
Francja,75,22.07,13.15%,30.98,0.94
Australia,75,38.47,13.85%,56.14,0.83
Republika Południowej Afryki,57,15.5,4.91%,19.14,0.97
Polska,58,13.97,6.32%,19.39,0.96
Włochy,75,18.15,13.05%,22.62,0.98
Kolumbia,80,35.18,25.04%,58.43,0.7
Tajlandia,56,33.58,11.26%,52.6,0.56
Demokratyczna Republika Konga,57,30.28,15.08%,51.79,0.82
Argentyna,74,19.67,19.47%,26.96,0.82
Iran,56,18.41,12.55%,25.31,0.96
Malezja,97,20.35,30.16%,29.0,0.9
Kazachstan,32,30.26,20.59%,87.33,-0.48
Arabia Saudyjska,50,17.34,20.6%,22.81,0.97
Turcja,74,16.4,12.93%,23.55,0.72
Hiszpania,75,13.99,14.66%,16.01,0.96
Korea Południowa,88,9.92,185.07%,17.26,0.98
Filipiny,75,27.33,25.69%,34.83,0.76
Nigeria,57,21.91,13.73%,32.03,0.78
Wietnam,56,18.36,16.43%,25.97,0.83
Wenezuela,94,10.69,76.44%,14.37,0.95
Holandia,136,7.69,30.24%,8.78,0.97
Belgia,75,8.6,9.97%,17.67,0.52
Czechy,41,9.69,7.22%,15.78,0.68
Rumunia,74,8.28,8.11%,10.95,0.96
Białoruś,32,7.55,9.18%,11.07,0.84
Wybrzeże Kości Słoniowej,57,23.13,20.81%,29.45,0.74
Mjanma (Birma),56,34.58,27.57%,85.42,0.14
Peru,75,10.38,17.22%,14.24,0.83
Pakistan,57,13.46,29.54%,18.01,0.75
Chile,75,5.97,13.55%,7.82,0.67
Egipt,56,11.48,26.94%,12.91,0.93
Tanzania,57,24.65,23.45%,35.28,0.26
Szwecja,91,6.13,16.27%,7.3,0.51
Overall,3153,32.57,21.12,72.17,0.99
