country,MAPE,MAE,RMSE,R2
Argentina,0.018508320271292632,4.909061468354005e-06,7.2557064829942255e-06,0.7017000108081763
Australia,0.09244461910731061,1.6414926766853536e-05,2.2614820292061443e-05,0.811976026442263
Belarus,0.011233674513431359,2.9066471087386547e-06,3.4929575275325635e-06,0.9088085119968313
Belgium,0.022669878357392672,5.854248902079364e-06,7.171767738538167e-06,0.4045929917945039
Brazil,0.032828450932241356,8.107652807028636e-06,9.487926485262098e-06,0.4767819316782781
Canada,0.10977045071192537,1.5226882631024964e-05,2.1580200973144847e-05,0.25673224758957136
Chile,0.010443386093218349,2.9267276435162343e-06,3.7616474756016217e-06,0.8461225687464096
China,0.010999203460859799,3.1974809663070334e-06,3.707286764394918e-06,0.49007996725457736
Colombia,0.11104962235152864,2.2145690667970795e-05,2.82937311835166e-05,0.6904820948888959
Cote d'Ivoire,0.321165839026062,2.2956842498729755e-05,3.676993579065105e-05,0.8599938116794665
Czechia,0.011745504208144459,2.8243913323234627e-06,3.4783891285713656e-06,0.895307539944335
Democratic Republic of Congo,0.04125964165101827,9.15156952886481e-06,1.7348662203362475e-05,0.8399928669235734
Egypt,0.020031824191656167,5.9386356022661415e-06,6.134189933742585e-06,0.0
France,0.008910265310327178,2.493614317913334e-06,3.406437099630925e-06,0.8645209476320073
Germany,0.010409842343395922,2.7235653670727613e-06,4.845243963924153e-06,0.8289148243148715
India,0.009357217818163408,2.772697896383642e-06,2.93312456514595e-06,0.0
Indonesia,0.018818531618006167,4.914575384685289e-06,5.835391675011735e-06,0.8908336714715643
Iran,0.009703051290634285,2.7447285187634054e-06,3.2287884713335875e-06,0.5989553239935661
Italy,0.011849716617026405,3.448260693177626e-06,4.205110748009318e-06,0.8373318921672358
Japan,0.009419848950133612,2.6233313910667292e-06,3.0927275344429357e-06,0.9451369773873879
Kazakhstan,0.03525381803296482,9.125437870169429e-06,1.1557578538927461e-05,0.6412811700281935
Malaysia,0.07179149736210377,1.6226863846004135e-05,2.065290938312558e-05,0.6279928764432783
Mexico,0.011290122983866833,3.121843691184795e-06,3.7692103073861734e-06,0.7948235282999585
Netherlands,0.010538410096538142,2.906231882404955e-06,3.800711548017756e-06,0.8817380306626086
Nigeria,0.02894434437503384,8.475920210299506e-06,1.043409914249743e-05,0.10557809623636893
Pakistan,0.026958917530576332,8.016435327080936e-06,8.148020980619725e-06,0.0
Peru,0.02118778125496287,5.959453753757496e-06,6.688354209977377e-06,0.0
Philippines,0.02740038251919196,7.795940864016771e-06,8.570373058690957e-06,0.4612897999646144
Poland,0.02050601524492689,5.4798392621392174e-06,6.076287958244496e-06,0.631751271433916
Romania,0.015162316537769428,4.260541654343896e-06,5.1960174621079145e-06,0.7241105777840338
Russia,0.022083843683222557,5.3665372133985624e-06,7.46179811988364e-06,0.7171842690312635
Saudi Arabia,0.028960929415268694,7.098258512541046e-06,8.826214202924622e-06,0.844155855497306
South Africa,0.031507689226649704,8.036509175268016e-06,8.538906297836466e-06,0.0
South Korea,0.029244911057040333,8.66510827387697e-06,9.464620369085354e-06,0.26403617227649256
Spain,0.019888722405788394,5.730271844827205e-06,6.36249257538822e-06,0.3235610011255712
Sweden,0.026159482822576446,6.9563257163815395e-06,7.854655730344885e-06,0.0
Tanzania,0.05884874941026234,1.573139904909005e-05,1.8314067286085145e-05,0.2340465495023758
Thailand,0.03517978596971788,9.419355772129422e-06,1.0881111253475695e-05,0.42546420027915044
Turkey,0.019814718327282196,5.613868143381662e-06,6.2273411914219085e-06,0.0
Ukraine,0.028914097595225403,7.6182982028935634e-06,8.187306525332716e-06,0.6943047647433493
United Kingdom,0.030817911689503163,7.874674050698505e-06,8.445223445449819e-06,0.0
United States,0.07260754524418005,1.2939760629219047e-05,1.5665362979884085e-05,0.6483311988313252
Uzbekistan,0.011982261638464093,3.364579971609841e-06,3.5653492251912864e-06,0.0
Venezuela,0.06440799842388169,1.5172288074336417e-05,1.8721813192516453e-05,0.7786340398478506
Vietnam,0.03820966048503037,1.1197304398410388e-05,1.1503621683520777e-05,0.0
Overall,0.037913951625635385,7.885830803043774e-06,1.2246416508303856e-05,0.9002805623115979
