country,record_count,MAE,MAPE,RMSE,R2
Arabia Saudyjska,50,14.27,13.56%,20.11,0.98
Argentyna,74,15.58,20.17%,23.12,0.87
Australia,75,34.46,12.04%,53.95,0.85
Belgia,75,6.03,7.44%,7.64,0.91
Białoruś,32,5.94,6.92%,7.24,0.93
Brazylia,75,70.46,6.24%,136.49,0.96
Chile,75,3.45,7.68%,4.87,0.87
Chiny,56,187.99,8.32%,263.72,0.97
Czechy,41,5.1,3.85%,7.3,0.93
Demokratyczna Republika Konga,57,24.56,10.61%,54.28,0.81
Egipt,56,5.66,8.22%,9.32,0.96
Filipiny,75,22.43,18.77%,29.46,0.83
Francja,75,15.65,11.67%,21.59,0.97
Hiszpania,75,6.8,5.51%,10.54,0.98
Holandia,136,2.7,6.1%,5.04,0.99
Indie,74,47.87,7.9%,74.57,0.85
Indonezja,106,35.83,5.86%,88.96,0.77
Iran,56,10.92,6.83%,16.23,0.98
Japonia,74,23.56,5.4%,34.92,0.99
Kanada,75,20.38,3.61%,25.37,0.95
Kazachstan,32,13.0,12.0%,17.95,0.94
Kolumbia,80,27.45,19.62%,53.94,0.74
Korea Południowa,88,11.04,113.65%,19.46,0.97
Malezja,97,17.35,22.12%,26.79,0.91
Meksyk,75,20.6,7.21%,28.34,0.97
Mjanma (Birma),56,30.75,21.44%,86.15,0.13
Niemcy,75,34.86,8.96%,63.5,0.92
Nigeria,57,33.29,23.26%,41.96,0.62
Pakistan,57,48.93,86.92%,56.02,-1.39
Peru,75,9.69,13.52%,14.61,0.82
Polska,58,16.49,5.77%,20.56,0.96
Republika Południowej Afryki,57,15.66,4.91%,20.03,0.97
Rosja,57,100.6,5.65%,145.13,0.91
Rumunia,74,9.8,10.57%,12.78,0.95
Stany Zjednoczone,136,97.88,4.18%,136.86,0.99
Szwecja,91,5.09,13.26%,6.34,0.63
Tajlandia,56,43.34,15.97%,56.19,0.5
Tanzania,57,24.48,25.52%,35.42,0.26
Turcja,74,25.77,19.37%,32.06,0.49
Ukraina,32,31.27,7.88%,35.18,0.96
Wenezuela,94,9.0,30.07%,13.43,0.96
Wielka Brytania,75,29.94,5.41%,33.61,0.65
Wietnam,56,36.32,42.38%,42.97,0.55
Wybrzeże Kości Słoniowej,57,26.97,23.05%,36.85,0.59
Włochy,75,39.06,37.74%,40.83,0.92
Overall,3153,29.5,16.95,64.88,0.99
