country,record_count,MAE,MAPE,RMSE,R2
Arabia Saudyjska,50,15.3,15.96%,20.64,0.98
Argentyna,74,11.16,16.1%,21.76,0.88
Australia,75,31.73,10.19%,56.27,0.83
Belgia,75,3.65,4.74%,5.69,0.95
Białoruś,32,3.14,3.27%,4.96,0.97
Brazylia,75,63.36,5.32%,135.17,0.96
Chile,75,3.11,6.72%,4.77,0.88
Chiny,56,172.35,7.53%,290.49,0.96
Czechy,41,4.29,3.15%,6.72,0.94
Demokratyczna Republika Konga,57,23.3,9.72%,57.2,0.79
Egipt,56,6.01,7.82%,10.37,0.96
Filipiny,75,20.75,18.09%,28.97,0.83
Francja,75,15.0,11.99%,22.61,0.97
Hiszpania,75,6.25,5.05%,10.02,0.99
Holandia,136,2.57,5.82%,4.88,0.99
Indie,74,37.19,6.39%,72.9,0.86
Indonezja,106,34.93,5.9%,85.82,0.78
Iran,56,8.63,5.75%,14.51,0.99
Japonia,74,21.88,5.03%,35.51,0.99
Kanada,75,16.16,2.82%,23.04,0.96
Kazachstan,32,9.64,9.35%,14.75,0.96
Kolumbia,80,24.16,15.57%,53.2,0.75
Korea Południowa,88,8.1,21.04%,18.94,0.98
Malezja,97,16.7,20.15%,25.24,0.92
Meksyk,75,15.69,4.85%,26.65,0.97
Mjanma (Birma),56,24.67,13.11%,86.13,0.13
Niemcy,75,21.87,6.57%,50.71,0.95
Nigeria,57,13.3,8.14%,22.97,0.89
Pakistan,57,9.63,22.67%,13.54,0.86
Peru,75,7.74,10.05%,14.04,0.84
Polska,58,7.81,3.13%,11.75,0.99
Republika Południowej Afryki,57,9.86,3.31%,13.8,0.98
Rosja,57,77.29,4.27%,134.91,0.93
Rumunia,74,4.79,4.41%,7.47,0.98
Stany Zjednoczone,136,85.69,3.71%,130.71,0.99
Szwecja,91,3.29,8.12%,4.66,0.8
Tajlandia,56,28.09,9.85%,44.9,0.68
Tanzania,57,18.58,16.01%,33.6,0.33
Turcja,74,12.05,9.18%,19.39,0.81
Ukraina,32,10.16,2.28%,15.47,0.99
Wenezuela,94,6.25,18.56%,11.08,0.97
Wielka Brytania,75,11.58,2.12%,18.73,0.89
Wietnam,56,14.04,11.66%,23.47,0.86
Wybrzeże Kości Słoniowej,57,24.52,17.69%,37.41,0.57
Włochy,75,9.23,8.32%,13.67,0.99
Overall,3153,22.41,9.24,63.78,0.99
