country,record_count,MAE,MAPE,RMSE,R2
Arabia Saudyjska,50,11.41,12.62%,16.98,0.99
Argentyna,74,15.56,22.71%,30.47,0.77
Australia,75,33.4,10.5%,58.26,0.82
Belgia,75,5.14,6.31%,7.83,0.91
Białoruś,32,3.27,4.29%,4.79,0.97
Brazylia,75,76.26,7.03%,148.89,0.95
Chile,75,2.59,5.31%,4.8,0.88
Chiny,56,262.85,7.66%,559.48,0.86
Czechy,41,2.78,2.1%,4.12,0.98
Demokratyczna Republika Konga,57,23.79,8.42%,57.55,0.78
Egipt,56,2.98,5.05%,5.16,0.99
Filipiny,75,16.17,13.34%,24.27,0.88
Francja,75,13.14,9.21%,21.38,0.97
Hiszpania,75,5.88,4.57%,10.54,0.98
Holandia,136,2.21,5.67%,4.05,0.99
Indie,74,54.83,8.64%,84.04,0.81
Indonezja,106,41.52,6.41%,105.23,0.68
Iran,56,12.83,6.5%,22.0,0.97
Japonia,74,36.25,6.1%,109.03,0.93
Kanada,75,29.65,5.26%,43.08,0.86
Kazachstan,32,12.05,11.54%,17.4,0.94
Kolumbia,80,22.25,13.6%,51.14,0.77
Korea Południowa,88,7.34,23.38%,17.22,0.98
Malezja,97,17.05,22.29%,27.3,0.91
Meksyk,75,16.11,4.61%,32.05,0.96
Mjanma (Birma),56,22.47,10.76%,83.97,0.17
Niemcy,75,35.85,8.94%,63.67,0.92
Nigeria,57,12.45,6.41%,22.95,0.89
Pakistan,57,11.65,25.49%,16.99,0.78
Peru,75,7.31,9.12%,14.25,0.83
Polska,58,11.94,4.09%,18.78,0.96
Republika Południowej Afryki,57,17.77,5.04%,26.84,0.94
Rosja,57,75.6,4.16%,129.45,0.93
Rumunia,74,3.6,3.49%,5.94,0.99
Stany Zjednoczone,136,123.16,5.14%,173.29,0.98
Szwecja,91,2.53,7.13%,4.1,0.84
Tajlandia,56,29.27,9.8%,46.66,0.65
Tanzania,57,15.48,12.78%,30.55,0.45
Turcja,74,12.57,8.42%,22.0,0.76
Ukraina,32,23.66,5.11%,36.88,0.96
Wenezuela,94,5.28,18.34%,9.13,0.98
Wielka Brytania,75,22.78,3.96%,38.58,0.55
Wietnam,56,12.93,10.48%,22.17,0.88
Wybrzeże Kości Słoniowej,57,13.63,12.55%,21.3,0.86
Włochy,75,8.72,8.48%,14.01,0.99
Overall,3153,27.71,9.34,96.33,0.98
