country,record_count,MAE,MAPE,RMSE,R2
Stany Zjednoczone,136,166.68,5.92%,233.63,0.96
Chiny,56,229.96,9.55%,310.44,0.96
Rosja,57,173.4,9.67%,207.75,0.82
Brazylia,75,87.71,8.2%,164.89,0.94
Indie,74,100.61,16.46%,130.2,0.54
Niemcy,75,59.06,12.95%,83.04,0.87
Indonezja,106,42.47,6.77%,102.97,0.69
Wielka Brytania,75,55.2,9.66%,60.17,-0.11
Kanada,75,28.87,4.72%,35.72,0.9
Japonia,74,40.4,7.19%,56.6,0.98
Ukraina,32,34.96,8.28%,39.93,0.95
Meksyk,75,24.04,8.52%,35.73,0.94
Francja,75,20.03,12.01%,24.94,0.96
Australia,75,44.02,15.66%,62.78,0.79
Republika Południowej Afryki,57,17.38,5.61%,22.03,0.96
Polska,58,18.54,7.13%,21.11,0.95
Włochy,75,37.62,21.3%,44.63,0.9
Kolumbia,80,30.42,20.38%,57.86,0.7
Tajlandia,56,42.23,13.96%,60.33,0.42
Demokratyczna Republika Konga,57,28.99,13.55%,62.79,0.74
Argentyna,74,17.13,16.87%,29.7,0.78
Iran,56,18.02,10.12%,27.28,0.95
Malezja,97,20.72,25.17%,32.3,0.87
Kazachstan,32,20.79,16.44%,26.12,0.87
Arabia Saudyjska,50,17.18,13.59%,23.59,0.97
Turcja,74,20.49,14.7%,27.7,0.62
Hiszpania,75,9.99,8.45%,14.23,0.97
Korea Południowa,88,10.83,80.19%,20.91,0.97
Filipiny,75,27.54,22.39%,37.03,0.73
Nigeria,57,22.78,13.76%,34.21,0.75
Wietnam,56,24.83,21.6%,35.58,0.69
Wenezuela,94,11.69,18.55%,16.66,0.93
Holandia,136,3.72,7.42%,6.74,0.98
Belgia,75,7.29,8.59%,9.73,0.85
Czechy,41,5.21,3.7%,6.23,0.95
Rumunia,74,9.02,8.15%,11.54,0.96
Białoruś,32,6.07,7.92%,7.39,0.93
Wybrzeże Kości Słoniowej,57,22.88,19.62%,28.58,0.75
Mjanma (Birma),56,30.73,18.35%,89.17,0.07
Peru,75,9.62,12.82%,16.49,0.77
Pakistan,57,19.4,38.91%,23.22,0.59
Chile,75,4.21,8.5%,5.54,0.84
Egipt,56,6.23,14.18%,8.04,0.97
Tanzania,57,25.09,21.92%,37.43,0.17
Szwecja,91,5.42,12.73%,6.66,0.59
Overall,3153,38.44,14.91,86.33,0.99
