country_order,year,country_index,population_lag_1,population_lag_2,gdp_lag_1,gdp_lag_2,temperature_change_from_co2_lag_1,temperature_change_from_co2_lag_2,cement_co2_lag_1,cement_co2_lag_2,coal_co2_lag_1,coal_co2_lag_2,flaring_co2_lag_1,flaring_co2_lag_2,gas_co2_lag_1,gas_co2_lag_2,land_use_change_co2_lag_1,land_use_change_co2_lag_2,oil_co2_lag_1,oil_co2_lag_2
0,1853,Stany Zjednoczone,25040692.0,24309683.0,100197810176.0,92211322880.0,0.001,0.0,0.0,0.0,26.791,24.633,0.0,0.0,0.0,0.0,914.353,861.796,0.0,0.0
0,1854,Stany Zjednoczone,25793143.0,25040692.0,110970552320.0,100197810176.0,0.001,0.001,0.0,0.0,30.162,26.791,0.0,0.0,0.0,0.0,925.059,914.353,0.0,0.0
0,1855,Stany Zjednoczone,26568199.0,25793143.0,114357379072.0,110970552320.0,0.002,0.001,0.0,0.0,33.159,30.162,0.0,0.0,0.0,0.0,962.976,925.059,0.0,0.0
0,1856,Stany Zjednoczone,27366540.0,26568199.0,115306487808.0,114357379072.0,0.002,0.002,0.0,0.0,38.161,33.159,0.0,0.0,0.0,0.0,974.394,962.976,0.0,0.0
0,1857,Stany Zjednoczone,28188865.0,27366540.0,121205907456.0,115306487808.0,0.002,0.002,0.0,0.0,40.037,38.161,0.0,0.0,0.0,0.0,1004.712,974.394,0.0,0.0
0,1858,Stany Zjednoczone,29035895.0,28188865.0,122030284800.0,121205907456.0,0.003,0.002,0.0,0.0,41.055,40.037,0.0,0.0,0.0,0.0,1017.924,1004.712,0.0,0.0
0,1859,Stany Zjednoczone,29908371.0,29035895.0,126084341760.0,122030284800.0,0.003,0.003,0.0,0.0,41.649,41.055,0.0,0.0,0.0,0.0,1048.829,1017.924,0.0,0.0
0,1860,Stany Zjednoczone,30763983.0,29908371.0,133003075584.0,126084341760.0,0.004,0.003,0.0,0.0,45.32,41.649,0.0,0.0,0.0,0.0,1088.401,1048.829,0.0,0.0
0,1861,Stany Zjednoczone,31601240.0,30763983.0,140151914496.0,133003075584.0,0.004,0.004,0.0,0.0,47.236,45.32,0.0,0.0,0.0,0.0,963.09,1088.401,0.202,0.0
0,1862,Stany Zjednoczone,32418583.0,31601240.0,140904349696.0,140151914496.0,0.005,0.004,0.0,0.0,44.818,47.236,0.0,0.0,0.0,0.0,885.525,963.09,0.861,0.202
0,1863,Stany Zjednoczone,33214384.0,32418583.0,149041987584.0,140904349696.0,0.005,0.005,0.0,0.0,46.199,44.818,0.0,0.0,0.0,0.0,872.666,885.525,1.249,0.861
