year,country_index,co2
1930,Argentina,1.6601043775341942e-05
1931,Argentina,1.3613650901500359e-05
1932,Argentina,1.1934282776918046e-05
1933,Argentina,1.0779519908610655e-05
1934,Argentina,9.997436008189296e-06
1935,Argentina,9.273290522468488e-06
1936,Argentina,8.77979172442695e-06
1937,Argentina,8.411585959350146e-06
1938,Argentina,8.014261975741918e-06
1939,Argentina,7.703972901018005e-06
1940,Argentina,5.577452779737601e-06
1941,Argentina,4.213904756074032e-06
1942,Argentina,3.297873934745044e-06
1943,Argentina,2.65227039851395e-06
1944,Argentina,2.0893887689804315e-06
1945,Argentina,1.611861459916231e-06
1946,Argentina,1.2258922699618163e-06
1947,Argentina,9.465638637022677e-07
1948,Argentina,8.3706295315102e-07
1949,Argentina,4.49684469401367e-07
1950,Argentina,2.475650714771426e-06
1951,Argentina,3.313931384472164e-06
1952,Argentina,3.740846540177562e-06
1953,Argentina,3.909609339630322e-06
1954,Argentina,4.133429958591663e-06
1955,Argentina,4.380641905932425e-06
1956,Argentina,4.699756189835638e-06
1957,Argentina,4.885251814314056e-06
1958,Argentina,4.724311180329903e-06
1959,Argentina,5.003763384585144e-06
1960,Argentina,4.052531756167202e-06
1961,Argentina,5.6466288451750425e-06
1962,Argentina,5.842572469249343e-06
1963,Argentina,5.660358458788042e-06
1964,Argentina,6.146674056709984e-06
1965,Argentina,8.650128037692787e-06
1966,Argentina,8.631520966722492e-06
1967,Argentina,1.1184947199136056e-05
1968,Argentina,1.448147568707725e-05
1969,Argentina,1.0675940683443231e-05
1970,Argentina,8.390749678603237e-06
1971,Argentina,7.326103954113753e-06
1972,Argentina,6.5793413654148546e-06
1973,Argentina,6.165401681942617e-06
1974,Argentina,5.836441942538379e-06
1975,Argentina,5.4777167738424385e-06
1976,Argentina,5.3681481558682306e-06
1977,Argentina,5.193986025189996e-06
1978,Argentina,5.0355991890407635e-06
1979,Argentina,5.150931306970695e-06
1980,Argentina,4.94222832855804e-06
1981,Argentina,7.040462242588005e-06
1982,Argentina,5.699558216557973e-06
1983,Argentina,5.191859358418231e-06
1984,Argentina,4.873760567440551e-06
1985,Argentina,4.444529555797976e-06
1986,Argentina,4.2015287203221295e-06
1987,Argentina,4.116547525423294e-06
1988,Argentina,4.474864779325476e-06
1989,Argentina,4.398122600516014e-06
1990,Argentina,4.265042546864116e-06
1991,Argentina,5.72462210963492e-06
1992,Argentina,4.964955011099764e-06
1993,Argentina,4.513325206511019e-06
1994,Argentina,4.4780469519636235e-06
1995,Argentina,4.693912193274926e-06
1996,Argentina,4.831706479009511e-06
1997,Argentina,5.0443701535583234e-06
1998,Argentina,5.253414575959571e-06
1999,Argentina,5.331864496230489e-06
2000,Argentina,5.122472226906955e-06
2001,Argentina,4.795828187100639e-06
2002,Argentina,5.9891211894177495e-06
2003,Argentina,9.391464021106133e-06
1930,Australia,1.2903987843552214e-05
1931,Australia,1.0271714688661163e-05
1932,Australia,9.021469040933465e-06
1933,Australia,8.261452044868122e-06
1934,Australia,7.5690121840600004e-06
1935,Australia,7.2658627950699065e-06
1936,Australia,7.050080090138882e-06
1937,Australia,6.857539559116126e-06
1938,Australia,6.441473439572306e-06
1939,Australia,6.594973940234509e-06
1940,Australia,6.282940265066342e-06
1941,Australia,6.863939958479516e-06
1942,Australia,7.16807200263901e-06
1943,Australia,6.91359713943994e-06
1944,Australia,6.738141264784847e-06
1945,Australia,6.345136975958778e-06
1946,Australia,6.608653346628234e-06
1947,Australia,6.714394345241546e-06
1948,Australia,6.844511806633887e-06
1949,Australia,6.816697051289767e-06
1950,Australia,2.204222512705803e-05
1951,Australia,2.8782745887212055e-05
1952,Australia,3.276947545347449e-05
1953,Australia,3.606453356174504e-05
1954,Australia,3.868287453445179e-05
1955,Australia,4.053923171771422e-05
1956,Australia,4.202959381569593e-05
1957,Australia,4.3673755908998055e-05
1958,Australia,4.366341471038793e-05
1959,Australia,4.4540743037506744e-05
1960,Australia,4.161841641708747e-05
1961,Australia,3.9845363670456903e-05
1962,Australia,2.981858660002205e-05
1963,Australia,3.2405128081589563e-05
1964,Australia,3.444192429341745e-05
1965,Australia,3.779921584176406e-05
1966,Australia,3.217643900135215e-05
1967,Australia,4.84031232148322e-05
1968,Australia,3.0594978011631566e-05
1969,Australia,2.2883026414878417e-05
1970,Australia,1.850943204776357e-05
1971,Australia,1.7998147891188722e-05
1972,Australia,1.2824278876318681e-05
1973,Australia,1.3645057416690704e-05
1974,Australia,1.0967162610096758e-05
1975,Australia,1.6602883372164993e-05
