year,country_index,PC1,PC2,PC3,PC4,PC5
1929,Argentina,-0.07672139842337855,0.03427065343178392,-0.035023725390472014,-0.03322295967700397,-0.0013816474759311187
1930,Argentina,-0.07631431316590105,0.03451209616573988,-0.03501269838101476,-0.033198196570362985,-0.0013708328400470525
1931,Argentina,-0.08164395003109953,0.02161039761192713,-0.02243489009507928,-0.03126913557400479,-0.0015306596334847015
1932,Argentina,-0.08509838355830358,0.012990190971380449,-0.014186207694539887,-0.03004554523683643,-0.001863114650507622
1933,Argentina,-0.0869222103220578,0.00816497763912039,-0.009582026215995229,-0.029375220679145393,-0.0021668516486386623
1934,Argentina,-0.08793144681092914,0.004855093651810847,-0.006318604056302189,-0.02892564397705797,-0.002247407284141548
1935,Argentina,-0.08843036698923863,0.002496638748032326,-0.003840111974285944,-0.028601686547215312,-0.0021032569865262617
1936,Argentina,-0.0890077610389651,0.0007395636784055787,-0.001830057131257274,-0.028257062102771256,-0.0019066710079175663
1937,Argentina,-0.08943314429471723,-0.0006613141333203248,-0.00023250139315542746,-0.027991868871287375,-0.001771469757787493
1938,Argentina,-0.08947193093812537,-0.0018341521142936495,0.0012650422916463714,-0.027787573320197934,-0.0013905753856218138
1939,Argentina,-0.08637033050359391,-0.0035124200556808905,0.0010876254122479721,-0.02907664199525257,-0.0013888770157874828
1940,Argentina,-0.08640812166305153,-0.004446843715562934,0.002140638450735613,-0.028952941780448105,-0.0013622985222612443
1941,Argentina,-0.08916699549521606,-0.011722658384470954,0.009149623561954522,-0.027943273523894172,-0.0016017570162158623
1942,Argentina,-0.0906705701786787,-0.01620193133735727,0.013546107485281964,-0.027317849959212694,-0.001742401049172571
1943,Argentina,-0.09176433578475142,-0.019470647760577067,0.016712506673617476,-0.0268689167079305,-0.001990503173625423
1944,Argentina,-0.09266914457100933,-0.021951435888085954,0.019230330113105057,-0.026468750094333953,-0.0021291310447332985
1945,Argentina,-0.09297656164961769,-0.023966921877423296,0.021646082830192453,-0.02611275504400469,-0.0017166802356086723
1946,Argentina,-0.09385357274940191,-0.025517739789081915,0.023396355792439132,-0.02570078862604078,-0.001865330052491122
1947,Argentina,-0.09408395066199794,-0.02687934838732023,0.025255696225178984,-0.025363035343082513,-0.001455277675988027
1948,Argentina,-0.09387306962889395,-0.02823585332580263,0.027028395439502785,-0.02516598800598154,-0.0009550551311511101
1949,Argentina,-0.09381917238695459,-0.029312275785031296,0.02855284326622997,-0.024961461608038374,-0.0004623608795959645
1950,Argentina,-0.09429091379900556,-0.030450117267375072,0.029670003598249884,-0.024708277475410087,-0.0009386640625103299
1951,Argentina,-0.08992516162446709,-0.02602780513155261,0.024893326981869017,-0.026315260986317323,-0.0002291239466661666
1952,Argentina,-0.08767200851484219,-0.02371704652901333,0.02239938128942048,-0.02696263518501422,-0.0006047984381027182
1953,Argentina,-0.08677975894095709,-0.02174468724265308,0.020374160540425883,-0.02725937925062732,-0.0011255169198699459
1954,Argentina,-0.08586608038873633,-0.020214242847460182,0.019315739498223627,-0.027376088676059368,-0.0008977269183673686
1955,Argentina,-0.08491924944809029,-0.019180248013591757,0.01862926286079069,-0.027510954722935143,-0.0007072611759434993
1956,Argentina,-0.08355152102164645,-0.018581310472604282,0.018231673313661125,-0.02779747950127185,-0.0003710752038426391
1957,Argentina,-0.08229459390833749,-0.01812028303861773,0.0178369340171525,-0.028099938790569382,-0.00016344283202602116
1958,Argentina,-0.08106366243330482,-0.017929866017927724,0.017760768721632063,-0.028351982381314665,9.589769625528627e-05
1959,Argentina,-0.08086994080285462,-0.01698673594061228,0.01763365130316189,-0.028086371572839063,0.0004004113191584569
1960,Argentina,-0.07697483601506838,-0.017524395677676344,0.015797534442609822,-0.029841960246306122,-0.00010287148722779123
1961,Argentina,-0.07812685041258897,-0.022409314184215906,0.020807139778014794,-0.02915472147443737,1.8139981283120844e-05
1962,Argentina,-0.07331130375761583,-0.014287655299662057,0.012784402270246114,-0.030612162790095473,-0.00032171047047078154
1963,Argentina,-0.07226655073973169,-0.013848866901636885,0.01182865269632543,-0.03098496553098794,-0.0011550978349117815
1964,Argentina,-0.07265825717341425,-0.013052256477254724,0.011224711694374698,-0.03073495706162051,-0.001968819026034632
1965,Argentina,-0.07004257640243089,-0.011802768248452415,0.010102494585040095,-0.031374516713244247,-0.0014122501343576187
1966,Argentina,-0.06260105339143529,0.0025367735953332154,-0.0034846800010179795,-0.03364307711686672,-0.001051575973909342
1967,Argentina,-0.05734703301981356,-0.008309755183817411,-0.015231647706865185,-0.007593151668724806,0.0022028888480643137
1968,Argentina,-0.04930644888217796,0.005603995566950787,-0.03272056384278019,-0.00485455810456368,0.0028164920698662754
1969,Argentina,-0.039476048479149484,0.025661544591564125,-0.052799025656951284,-0.007085356105065932,0.002892709712215411
1970,Argentina,-0.04746038906510506,-7.58401130922502e-05,-0.027570569473306564,-0.00463152561034799,0.003846923075727125
1971,Argentina,-0.05195666512767154,-0.015849203995386932,-0.012266971297086138,-0.003102902289241167,0.004043149911348566
1972,Argentina,-0.053229792211173986,-0.024512068720305265,-0.004270150936895564,-0.0020315527052624394,0.004542654754469359
1973,Argentina,-0.054338164706596706,-0.02903771300270844,0.0008765676433001091,-0.002636755591673762,0.003933410587400111
1974,Argentina,-0.05312414675520502,-0.03459760693368245,0.0023110139545308036,0.0017074150567198162,0.004217614010403248
1975,Argentina,-0.052734362132725,-0.03650166234777162,0.005213443657100473,0.00116923798537834,0.004573494686732722
1976,Argentina,-0.04845588818996999,-0.042568170576749206,0.0013243875985100555,0.009465787087570182,0.005263070504219694
1977,Argentina,-0.0454089619594443,-0.05043734184725964,-0.004365315991192242,0.02485816541613174,0.006929799180241515
1978,Argentina,-0.04427253511173905,-0.052093478011424436,-0.0034669255379600568,0.026295955731013367,0.0076288800422420555
1979,Argentina,-0.043508119253658654,-0.05640104824369639,-0.006941323409199039,0.036100417239107695,0.008615972555267842
1980,Argentina,-0.040460228607444595,-0.05973741008262325,-0.00731575713089967,0.039436337794783234,0.00939864667683459
1981,Argentina,-0.04109554195172103,-0.05836571464853263,-0.004348346326271409,0.03468299342058165,0.008166650842011897
1982,Argentina,-0.03721593643734894,-0.03466786878569287,-0.017578513566636134,0.02139057148331381,0.004905393678882317
1983,Argentina,-0.0401112198695238,-0.047342605464862755,-0.01078730861445655,0.027589616201918618,0.0033302001140307082
1984,Argentina,-0.04098924022094537,-0.05031530073619627,-0.004789125804417795,0.02335963508997296,0.001625266366883548
1985,Argentina,-0.037373976787307715,-0.061218392328982775,-0.012704156741699094,0.045402471111217764,0.004002752029678742
1986,Argentina,-0.041378556997617257,-0.057907687574187884,-0.007044130171719095,0.03539504251894662,0.0005615881419598907
1987,Argentina,-0.0429815158645524,-0.055140678324070685,0.0034240941566071603,0.020010795607419196,-0.0012363760495591725
1988,Argentina,-0.041202751658104254,-0.06023853405544205,0.006690778769093516,0.0191618422554603,-0.0032899439612772714
1989,Argentina,-0.03667688782246457,-0.06470400572296918,-0.0013247351402569721,0.030404493595813945,-0.004717409896071988
1990,Argentina,-0.036680036633792296,-0.06523545835660785,-0.005373424909392876,0.03486759880505729,-0.006970063117094198
1991,Argentina,-0.04001980741673675,-0.0574872479932697,0.001818873876909318,0.018697225730810937,-0.00914916904028024
1992,Argentina,-0.029826121346286302,-0.04473414284012689,-0.006582981330484508,0.007235835707427534,-0.010504737535572907
1993,Argentina,-0.030340920871454784,-0.05212880186449508,0.0021572302353006527,0.0067173871269145665,-0.009415577409848597
1994,Argentina,-0.03028120096680494,-0.05596560597260928,0.0023112760534742594,0.01637724640113846,-0.0036988808397988592
1995,Argentina,-0.033973142248988036,-0.044410763609458025,0.017735941467209446,-0.014686114315425476,-0.007417274660288053
1996,Argentina,-0.029601267383774076,-0.050380431604237004,0.011018175784034967,-0.005792493449262027,-0.011880780965078433
1997,Argentina,-0.027979233812085006,-0.048644067789544755,0.015029698638041438,-0.01489244217230973,-0.014249109761049943
1998,Argentina,-0.023925368420230016,-0.04911211090070519,0.014738916647418873,-0.015059427921623326,-0.013938084322529486
1999,Argentina,-0.022639325570378597,-0.04520148964646821,0.016338206569822007,-0.021204170773832364,-0.01389087664895584
2000,Argentina,-0.02089288709846019,-0.04900774329935592,0.015579426916585983,-0.01984932205248513,-0.017139200804873092
2001,Argentina,-0.022186408291212465,-0.04735372790031306,0.017632123966356314,-0.02427826656164718,-0.019349212833810924
2002,Argentina,-0.02511753747142775,-0.04599658839105058,0.017773727047973906,-0.02265368853114578,-0.018431943676796785
2003,Argentina,-0.01965688536252712,-0.02959271241955969,0.0003627015817383632,-0.025148802791061593,-0.020397421891230304
1929,Australia,-0.0980349807939417,-0.006787986694797851,0.003538495689950672,-0.02744005015045825,0.0016501611588949805
1930,Australia,-0.09786670279625853,-0.0061999841539513425,0.0028545353103210367,-0.027523863050475914,0.0013062992706099502
1931,Australia,-0.10082393817077355,-0.013122916782062585,0.009364950938275043,-0.02655402609919066,0.0009644252927228785
1932,Australia,-0.10260642859981145,-0.016457717119946896,0.012458922302716044,-0.02599420066176553,0.0004696127643058084
1933,Australia,-0.10336079323960769,-0.018569777873411974,0.014613519417407992,-0.02567843596893829,0.0005761799305379924
1934,Australia,-0.10373338921119186,-0.02028296420822804,0.01639512206437972,-0.02547661457648316,0.0008450078651143865
1935,Australia,-0.10408991886328917,-0.02179369059775496,0.01798608365322831,-0.02528181722301145,0.0010839355927939776
1936,Australia,-0.10422820658892384,-0.02294570963444352,0.01932369160335281,-0.025128260929594623,0.0014894507810038562
1937,Australia,-0.10427612067068286,-0.023954926302415844,0.020428736877781836,-0.025037990287912523,0.0017931666958953647
1938,Australia,-0.10430281835815867,-0.024816200436186805,0.021419912941569898,-0.02494644487703506,0.002102752174317375
1939,Australia,-0.1044293999170942,-0.025566748950138753,0.022036404970185833,-0.024927880822970348,0.001963646511811227
1940,Australia,-0.10442022828340444,-0.026231514671380653,0.02298095167850359,-0.024802295960437412,0.0024673207061575394
1941,Australia,-0.10420761226608527,-0.026059016410380584,0.02277134559978444,-0.024858409626715077,0.002315330566953923
1942,Australia,-0.10370752237603953,-0.02564411550138652,0.02295093049659607,-0.024801553670826974,0.0030836399811278756
1943,Australia,-0.1030780098417326,-0.025653509584152013,0.02319473094575885,-0.02488714783104056,0.0035392992978278554
1944,Australia,-0.10293808034069442,-0.025785387536927072,0.02329605923465464,-0.024914763799012665,0.00341801180170043
1945,Australia,-0.10301649040177753,-0.025882537681978752,0.02334726627702764,-0.024888234731713206,0.0032116255366178193
1946,Australia,-0.10330411177686685,-0.025869189637871076,0.02336642294176181,-0.02476916220395025,0.002953542355429501
1947,Australia,-0.10320018010211682,-0.026059108705041172,0.02365287909493529,-0.024752220188010824,0.0030887693707035715
1948,Australia,-0.10305244712414147,-0.02602851625828659,0.023951362812867395,-0.02466288692773462,0.0034227101460795983
1949,Australia,-0.10252744911255318,-0.026280904821268707,0.024279498039472658,-0.024756720767425702,0.00369012584929519
1950,Australia,-0.09871966053393881,-0.027447735801372074,0.023456889581777034,-0.02632883739039712,0.003860171659047708
1951,Australia,-0.08501907688994409,0.004761783316849351,-0.0069826868722640476,-0.03081026788073921,0.004643919257406068
1952,Australia,-0.07796084210961017,0.019983320652060727,-0.021563671747205256,-0.0331446572234698,0.004863411660522224
1953,Australia,-0.07345664430480484,0.030732061440150827,-0.03168349207848322,-0.034579367417015165,0.004916117634088643
1954,Australia,-0.06950073363584655,0.040306882520497175,-0.04052656751991199,-0.03577525294673658,0.005129200253368038
1955,Australia,-0.06592339649734182,0.04711889582305792,-0.04676296152814493,-0.0368222719097017,0.00571606767499896
1956,Australia,-0.06270534102931322,0.05252267135532475,-0.05198858709845929,-0.03785289339676907,0.00594604856150121
1957,Australia,-0.059807068862833525,0.05755084122294314,-0.056832791631742326,-0.0387728994081559,0.006106354645847643
1958,Australia,-0.05695060263592278,0.06445179115483092,-0.06316858000387339,-0.03960961466046989,0.006197379824928219
1959,Australia,-0.055641634752097296,0.06617054377323678,-0.06459078397606825,-0.03991126849889962,0.006518974644394376
1960,Australia,-0.05342579480322117,0.06971170592442243,-0.06755289244566452,-0.04044603466501454,0.007205857232507905
1961,Australia,-0.052024357776925205,0.062000029022786916,-0.06185801413999767,-0.04109133356014309,0.007739370814243247
1962,Australia,-0.052741521627488304,0.05936803163313271,-0.05940316500807999,-0.04081372536954202,0.007534783774602002
1963,Australia,-0.0630861700642085,0.031038705443873972,-0.031991833769009465,-0.03709735099849517,0.008131678815113145
1964,Australia,-0.0587659719071764,0.03869520966266429,-0.03924241835296479,-0.03844455837016856,0.008624351391156096
1965,Australia,-0.05493837568392075,0.044381568059450587,-0.044434930163293314,-0.03954357140380202,0.009505479235478368
1966,Australia,-0.04923579042751012,0.05346889666044222,-0.053356226898742885,-0.041433497776970855,0.01009260856992602
1967,Australia,-0.05533585678992665,0.03771056776412512,-0.03774634126710853,-0.039128417693155615,0.010530705795911765
1968,Australia,-0.0328928866183134,0.08961050117116488,-0.08757170838493107,-0.046713686134885773,0.010953349201247997
1969,Australia,-0.05121625835667116,0.031094092779800332,-0.033078000817285784,-0.04054031349413869,0.011988720944340355
1970,Australia,-0.05985760938370512,0.004592230519760322,-0.007649062429332945,-0.03739086887212238,0.012689782868032679
1971,Australia,-0.06373985769675405,-0.012802850090967563,0.008311545576186762,-0.035932435782269026,0.012577996135806551
1972,Australia,-0.06254647157949983,-0.014238178823335572,0.009297491449461034,-0.03621183110299202,0.012176289982870108
1973,Australia,-0.0688035000115437,-0.0325662369183799,0.026765664869392625,-0.03386303770622363,0.011849918368914183
1974,Australia,-0.06631478749057254,-0.03446016769709928,0.02818829523901425,-0.034614101618157575,0.012782382085139394
1975,Australia,-0.0696706424768365,-0.042496163719336386,0.03612980346825869,-0.03325386708779858,0.012380763869821818
1976,Australia,-0.060644539644767924,-0.022773874509605083,0.017249277985947876,-0.0362139723757679,0.012638024998675244
1977,Australia,-0.06192969536560078,-0.026243231679898213,0.020936011913360447,-0.03553355819635926,0.012623280764057151
1978,Australia,-0.046587494001261255,0.006826239819613455,-0.01151024882713828,-0.04080197198335759,0.012300651221648999
1979,Australia,-0.04568946564787578,-0.006224666153591362,-0.0019027576131717327,-0.041421605897424524,0.011718100114169246
1980,Australia,-0.04582926591365826,-0.00950179804848634,0.0013492069078593408,-0.04111699600728097,0.011839524293782547
1981,Australia,-0.045294405416912924,-0.013668334992515772,0.004830588006952814,-0.04117332029758655,0.011722596555009674
1982,Australia,-0.037604251762330745,-0.0011481665507151056,-0.007867960168472436,-0.0436626447978398,0.011417667672977635
1983,Australia,-0.04463628015112454,-0.021062456925326524,0.01071670081771062,-0.04120007816072221,0.01057844174552632
1984,Australia,-0.026282316596857515,0.024512479677874364,-0.03691546023822642,-0.04224024646926825,0.010085673168236272
1985,Australia,-0.038805120995462565,-0.01203486572570209,-0.0001495818117481629,-0.03955625095040557,0.010994591318762624
1986,Australia,-0.039111332032304706,-0.028474786804334903,0.01238912245594218,-0.03843871387012092,0.010089141848846656
1987,Australia,-0.04389184895632654,-0.03970257815727625,0.02444445030255456,-0.03696979990574567,0.01127434393621736
1988,Australia,-0.04615186910237414,-0.049988315034520746,0.03525074517032893,-0.03661179189249121,0.012216072816685738
1989,Australia,-0.04604866157057232,-0.05463764271603224,0.03935728450111244,-0.035182716195795466,0.013303802770415233
1990,Australia,-0.04439805887038103,-0.0586898363824171,0.04205025562509315,-0.03311942521809966,0.015235191968372757
1991,Australia,-0.02524950449549399,-0.0841736590482325,0.0010296132275963016,0.03983614346298407,0.023776281898681736
1992,Australia,-0.030035487718617727,-0.09149464167034439,0.011510746422119132,0.038426721101772955,0.024172895295056097
1993,Australia,-0.016580252946356847,-0.07352738192334426,-0.010557951309859922,0.03724655176157986,0.024764685369259062
1994,Australia,-0.013301358022656909,-0.06947035967640806,-0.013182235516867221,0.034335758151023826,0.024630979224774988
1995,Australia,-0.013623048651953127,-0.07348628235493568,-0.006654066100493328,0.031786540394310094,0.02513275864496082
1996,Australia,0.007673611693161082,-0.03009720147918623,-0.05090628538832761,0.026707205498177605,0.02497643175116981
1997,Australia,0.009950210722102467,-0.026151335523102368,-0.05128636554944133,0.022707596320243988,0.02584182079560449
1998,Australia,0.004546994215572374,-0.044107999647879946,-0.03288085551952236,0.024095088946513646,0.026824307026476858
1999,Australia,0.018390686629706,-0.029017399060580512,-0.051084543442527504,0.022053170779234018,0.028387524883639572
2000,Australia,0.0157873282442515,-0.04514477402760481,-0.038051131038044125,0.026418524294644315,0.02957075552397055
2001,Australia,0.02549471345896362,-0.03399897595967694,-0.055974378337687536,0.032729474755906325,0.03151427422818693
2002,Australia,0.017570949162203982,-0.06205702213160306,-0.03145365445716242,0.03829363701176319,0.03183774815243922
2003,Australia,0.014677038565319505,-0.07404500858579147,-0.018271039793570712,0.037665701504893054,0.0323481467591462
1981,Belarus,-0.08686895615543161,-0.032762663251740515,0.01756814711279942,-0.026408421173158985,-0.0021542633203312273
1982,Belarus,-0.08732844667027075,-0.03404612740338834,0.018916018635900853,-0.026350437620056188,-0.0023544977596932984
1983,Belarus,-0.08685445743559433,-0.034594097678299,0.019177021795264787,-0.02649256345960268,-0.002553178410228347
1984,Belarus,-0.08642097717255348,-0.0352857164706445,0.019630623643646254,-0.02665460355881344,-0.0027850860869699377
1985,Belarus,-0.08589252586271491,-0.03554456571726998,0.019533044445608425,-0.026803381282060095,-0.003240941024919936
1986,Belarus,-0.08443448038577644,-0.036838425644526655,0.0193492046778702,-0.02686578168592707,-0.0038746913287292244
