year,country,population,gdp,temperature_change_from_co2,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,co2,country_order
1851,Stany Zjednoczone,24309683.0,92211322880.0,0.0,0.0,24.633,0.0,0.0,861.796,0.0,886.43,0
1852,Stany Zjednoczone,25040692.0,100197810176.0,0.001,0.0,26.791,0.0,0.0,914.353,0.0,941.144,0
1853,Stany Zjednoczone,25793143.0,110970552320.0,0.001,0.0,30.162,0.0,0.0,925.059,0.0,955.221,0
1854,Stany Zjednoczone,26568199.0,114357379072.0,0.002,0.0,33.159,0.0,0.0,962.976,0.0,996.135,0
1855,Stany Zjednoczone,27366540.0,115306487808.0,0.002,0.0,38.161,0.0,0.0,974.394,0.0,1012.554,0
1856,Stany Zjednoczone,28188865.0,121205907456.0,0.002,0.0,40.037,0.0,0.0,1004.712,0.0,1044.748,0
1857,Stany Zjednoczone,29035895.0,122030284800.0,0.003,0.0,41.055,0.0,0.0,1017.924,0.0,1058.979,0
1858,Stany Zjednoczone,29908371.0,126084341760.0,0.003,0.0,41.649,0.0,0.0,1048.829,0.0,1090.478,0
1859,Stany Zjednoczone,30763983.0,133003075584.0,0.004,0.0,45.32,0.0,0.0,1088.401,0.0,1133.721,0
1860,Stany Zjednoczone,31601240.0,140151914496.0,0.004,0.0,47.236,0.0,0.0,963.09,0.202,1010.528,0
1861,Stany Zjednoczone,32418583.0,140904349696.0,0.005,0.0,44.818,0.0,0.0,885.525,0.861,931.205,0
1862,Stany Zjednoczone,33214384.0,149041987584.0,0.005,0.0,46.199,0.0,0.0,872.666,1.249,920.115,0
1863,Stany Zjednoczone,33986941.0,162622111744.0,0.005,0.0,53.744,0.0,0.0,857.816,1.066,912.625,0
1864,Stany Zjednoczone,34777462.0,172058492928.0,0.006,0.0,57.792,0.0,0.0,825.622,0.865,884.279,0
1865,Stany Zjednoczone,35586364.0,167081476096.0,0.006,0.0,57.8,0.0,0.0,789.454,1.022,848.276,0
1866,Stany Zjednoczone,36414073.0,169592864768.0,0.007,0.0,57.763,0.0,0.0,792.146,1.469,851.378,0
1867,Stany Zjednoczone,37261027.0,179172491264.0,0.007,0.0,71.499,0.0,0.0,777.035,1.367,849.901,0
1868,Stany Zjednoczone,38127674.0,185632047104.0,0.007,0.0,80.861,0.0,0.0,764.647,1.491,846.999,0
1869,Stany Zjednoczone,39007998.0,194685239296.0,0.008,0.0,91.97,0.0,0.0,746.75,1.726,840.446,0
1870,Stany Zjednoczone,39902173.0,193277575168.0,0.008,0.0,96.572,0.0,0.0,1089.823,2.048,1188.443,0
1871,Stany Zjednoczone,40810375.0,202148954112.0,0.009,0.0,101.002,0.0,0.0,1240.851,2.019,1343.872,0
1872,Stany Zjednoczone,41732783.0,210342281216.0,0.009,0.0,123.894,0.0,0.0,1315.983,2.411,1442.288,0
1873,Stany Zjednoczone,42669573.0,220907880448.0,0.01,0.0,135.656,0.0,0.0,1398.767,3.851,1538.274,0
1874,Stany Zjednoczone,43627383.0,219512012800.0,0.011,0.0,129.973,0.0,0.0,1461.449,4.324,1595.745,0
1875,Stany Zjednoczone,44606685.0,230981042176.0,0.011,0.0,132.318,0.0,0.0,1508.573,3.43,1644.32,0
1876,Stany Zjednoczone,45607961.0,233741795328.0,0.012,0.0,129.336,0.0,0.0,1554.187,3.484,1687.006,0
1877,Stany Zjednoczone,46631704.0,241295474688.0,0.013,0.0,141.998,0.0,0.0,1600.924,5.177,1748.099,0
1878,Stany Zjednoczone,47678418.0,251432402944.0,0.013,0.0,137.847,0.0,0.0,1663.513,6.057,1807.417,0
1879,Stany Zjednoczone,48749140.0,282359431168.0,0.014,0.0,167.606,0.0,0.0,1705.504,7.863,1880.973,0
1880,Stany Zjednoczone,49844419.0,315651588096.0,0.015,0.0,188.3,0.0,0.0,1545.801,10.384,1744.485,0
1881,Stany Zjednoczone,50964818.0,326883213312.0,0.015,0.0,199.278,0.0,0.0,1453.496,10.915,1663.689,0
1882,Stany Zjednoczone,52110912.0,347742896128.0,0.016,0.0,223.262,0.0,0.165,1452.417,11.967,1687.811,0
1883,Stany Zjednoczone,53283291.0,356232986624.0,0.017,0.0,244.495,0.0,0.381,1463.214,9.006,1717.097,0
1884,Stany Zjednoczone,54482036.0,362653646848.0,0.018,0.0,257.301,0.0,1.172,1439.027,9.116,1706.616,0
1885,Stany Zjednoczone,55707739.0,365398818816.0,0.018,0.0,260.313,0.0,3.715,1432.026,8.134,1704.188,0
1886,Stany Zjednoczone,56961007.0,376420564992.0,0.019,0.0,269.062,0.0,7.676,1407.986,10.725,1695.45,0
1887,Stany Zjednoczone,58242459.0,393366437888.0,0.02,0.001,284.825,0.0,11.787,1426.522,10.768,1733.903,0
1888,Stany Zjednoczone,59552729.0,391556464640.0,0.02,0.001,346.574,0.0,16.774,1413.782,10.527,1787.657,0
1889,Stany Zjednoczone,60843105.0,415860031488.0,0.021,0.001,309.777,0.0,12.227,1391.745,13.538,1727.287,0
1890,Stany Zjednoczone,62112247.0,421879349248.0,0.022,0.001,372.27,0.0,11.688,1487.406,17.789,1889.153,0
