year,country,population,gdp,cement_co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,cumulative_co2_including_luc,co2_including_luc
1950,Stany Zjednoczone,154202683.0,2320610099200.0,20.125,1257.232,43.122,319.219,475.02,896.801,,3016.505
1951,Stany Zjednoczone,156481322.0,2497407877120.0,22.041,1211.599,42.7,376.209,426.334,960.662,,3045.046
1952,Stany Zjednoczone,158794225.0,2590801395712.0,22.256,1074.173,45.683,402.787,369.454,1000.967,,2920.673
1953,Stany Zjednoczone,161168319.0,2709832597504.0,23.521,1065.955,43.62,423.342,339.162,1050.079,,2952.133
1954,Stany Zjednoczone,163636304.0,2691885432832.0,24.131,913.446,38.952,444.0,348.944,1063.212,,2838.407
1955,Stany Zjednoczone,166200030.0,2882221637632.0,26.584,1026.222,41.645,479.19,321.69,1147.903,,3050.202
1956,Stany Zjednoczone,168824963.0,2938405650432.0,28.39,1068.358,46.529,505.889,305.819,1203.787,,3165.813
1957,Stany Zjednoczone,171499235.0,2993553408000.0,27.006,1024.081,43.558,540.645,281.9,1193.662,,3117.672
1958,Stany Zjednoczone,174215305.0,2963550502912.0,27.758,888.344,34.097,570.701,271.272,1220.046,,3018.38
1959,Stany Zjednoczone,177145772.0,3183156920320.0,30.234,910.978,30.756,593.21,202.744,1258.457,,3034.667
1960,Stany Zjednoczone,180274554.0,3262376312832.0,28.798,917.964,30.316,630.025,199.055,1281.631,,3096.37
1961,Stany Zjednoczone,183489491.0,3338584195072.0,28.699,887.443,28.198,636.415,69.092,1297.316,,2955.965
1962,Stany Zjednoczone,186724277.0,3539745112064.0,29.878,920.818,22.922,676.367,217.076,1334.748,,3210.978
1963,Stany Zjednoczone,189825228.0,3692868403200.0,31.435,987.008,20.65,718.455,124.979,1359.256,,3251.467
1964,Stany Zjednoczone,192819456.0,3906859958272.0,33.026,1049.177,18.412,759.072,75.419,1393.919,,3339.732
1965,Stany Zjednoczone,195653775.0,4156141338624.0,33.295,1090.619,17.188,782.605,48.665,1464.691,,3448.212
1966,Stany Zjednoczone,198265397.0,4428300025856.0,34.573,1132.718,20.233,842.207,18.419,1529.661,,3589.84
1967,Stany Zjednoczone,200699913.0,4538979319808.0,33.594,1163.049,26.384,881.284,487.157,1589.194,,4192.618
1968,Stany Zjednoczone,203011021.0,4754925682688.0,35.32,1139.603,27.817,936.361,798.453,1689.423,,4639.372
1969,Stany Zjednoczone,205300032.0,4903769997312.0,35.697,1158.0,28.315,1018.083,425.775,1781.627,,4460.92
1970,Stany Zjednoczone,207796339.0,4912635707392.0,34.924,1168.091,26.249,1059.211,337.724,2038.082,,4677.41
1971,Stany Zjednoczone,210426424.0,5065682190336.0,35.51,1107.406,15.261,1096.927,271.072,2097.305,,4636.537
1972,Stany Zjednoczone,212842574.0,5334296952832.0,36.523,1124.841,13.308,1115.673,248.741,2269.174,,4821.756
1973,Stany Zjednoczone,215006548.0,5637202771968.0,36.917,1220.714,13.187,1175.252,198.78,2325.281,,4984.214
1974,Stany Zjednoczone,217076474.0,5621366128640.0,36.806,1199.352,8.9,1134.594,190.06,2227.39,,4811.479
1975,Stany Zjednoczone,219129300.0,5605794775040.0,30.463,1195.102,7.112,1042.853,184.521,2190.27,,4663.083
1976,Stany Zjednoczone,221168756.0,5899591090176.0,32.37,1281.249,7.339,1063.161,207.185,2350.496,,4955.296
1977,Stany Zjednoczone,223259417.0,6166912434176.0,33.979,1315.802,7.262,1041.406,332.595,2478.228,,5222.548
1978,Stany Zjednoczone,225396098.0,6518624223232.0,35.616,1314.266,8.123,1045.577,250.424,2524.557,,5192.131
1979,Stany Zjednoczone,227575083.0,6740172603392.0,35.94,1427.55,8.867,1080.846,233.98,2441.816,,5242.936
1980,Stany Zjednoczone,229858654.0,6743208230912.0,32.922,1453.891,6.69,1058.408,264.894,2244.35,,5073.771
1981,Stany Zjednoczone,232201613.0,6911865389056.0,31.962,1503.037,5.232,1032.434,259.265,2101.535,,4946.007
1982,Stany Zjednoczone,234583158.0,6782206345216.0,28.441,1449.193,4.99,961.223,253.021,1994.366,,4700.623
1983,Stany Zjednoczone,236986362.0,7066236747776.0,30.44,1504.91,5.089,901.395,275.368,1977.975,,4705.079
1984,Stany Zjednoczone,239353968.0,7581108011008.0,32.915,1616.224,5.789,962.574,280.447,2034.424,,4942.935
1985,Stany Zjednoczone,241690439.0,7874872344576.0,31.708,1655.15,5.1,926.826,286.783,2023.738,,4939.722
1986,Stany Zjednoczone,243953810.0,8146027806720.0,32.854,1635.859,5.243,868.157,216.804,2111.99,,4880.515
1987,Stany Zjednoczone,246161292.0,8432566927360.0,32.976,1709.615,6.632,923.281,257.921,2143.02,,5083.934
1988,Stany Zjednoczone,248393235.0,8787202670592.0,33.248,1792.863,7.643,964.695,272.751,2241.04,,5323.609
1989,Stany Zjednoczone,250675047.0,9091291283456.0,33.264,1813.282,7.595,1027.299,269.548,2239.66,,5402.091
1990,Stany Zjednoczone,253373385.0,9250377039872.0,33.484,1814.537,46.339,1023.425,287.005,2178.622,,5407.962
1991,Stany Zjednoczone,256471425.0,9224687976448.0,32.736,1797.157,45.348,1042.436,233.531,2120.971,,5296.487
1992,Stany Zjednoczone,259606020.0,9552658432000.0,32.993,1817.281,45.015,1080.4,183.852,2174.379,,5358.079
1993,Stany Zjednoczone,262633235.0,9814940844032.0,34.838,1879.596,44.013,1109.23,168.151,2181.652,,5441.001
1994,Stany Zjednoczone,265474811.0,10211205054464.0,36.31,1894.402,44.409,1137.428,215.143,2227.062,,5579.422
1995,Stany Zjednoczone,268205794.0,10488856444928.0,37.075,1913.401,42.757,1186.511,100.21,2217.904,,5525.469
1996,Stany Zjednoczone,270860696.0,10886951469056.0,37.309,1993.564,41.299,1206.587,79.752,2305.301,,5692.734
1997,Stany Zjednoczone,273468014.0,11375561670656.0,38.561,2038.751,41.419,1214.128,97.154,2326.338,,5785.296
1998,Stany Zjednoczone,276119323.0,11881793191936.0,39.461,2062.838,39.022,1191.097,114.832,2370.915,,5848.113
1999,Stany Zjednoczone,278785482.0,12438444441600.0,40.239,2063.366,38.8,1197.931,151.49,2433.46,,5955.408
2000,Stany Zjednoczone,281484127.0,12947416940544.0,41.445,2163.591,38.915,1251.388,140.489,2487.84,,6150.625
2001,Stany Zjednoczone,284279629.0,13073809145856.0,41.613,2099.728,38.696,1198.855,45.569,2502.249,,5953.309
2002,Stany Zjednoczone,287084336.0,13307342749696.0,43.164,2103.809,38.893,1237.821,2.571,2495.708,,5948.879
2003,Stany Zjednoczone,289908091.0,13680911581184.0,43.349,2144.086,38.567,1201.066,58.45,2557.332,,6068.596
2004,Stany Zjednoczone,292786247.0,14198910222336.0,45.886,2164.412,39.12,1204.871,-6.352,2630.811,,6106.302
2005,Stany Zjednoczone,295716665.0,14673826021376.0,46.194,2188.337,39.43,1186.902,45.779,2642.556,,6177.962
2006,Stany Zjednoczone,298730210.0,15065164021760.0,46.851,2152.56,40.037,1173.252,-39.555,2609.566,,6013.131
2007,Stany Zjednoczone,301844227.0,15333184241664.0,45.509,2175.033,40.463,1247.321,-58.275,2592.442,,6071.847
2008,Stany Zjednoczone,304970328.0,15288553701376.0,41.416,2135.89,42.054,1252.606,-9.6,2414.717,,5905.519
2009,Stany Zjednoczone,308023451.0,14864003104768.0,29.615,1872.386,41.082,1231.696,-69.884,2280.318,,5410.841
