country_order,year,country_index,population
0,1851,Stany Zjednoczone,24309683.0
0,1852,Stany Zjednoczone,25040692.0
0,1853,Stany Zjednoczone,25793143.0
0,1854,Stany Zjednoczone,26568199.0
0,1855,Stany Zjednoczone,27366540.0
0,1856,Stany Zjednoczone,28188865.0
0,1857,Stany Zjednoczone,29035895.0
0,1858,Stany Zjednoczone,29908371.0
0,1859,Stany Zjednoczone,30763983.0
0,1860,Stany Zjednoczone,31601240.0
0,1861,Stany Zjednoczone,32418583.0
0,1862,Stany Zjednoczone,33214384.0
0,1863,Stany Zjednoczone,33986941.0
0,1864,Stany Zjednoczone,34777462.0
0,1865,Stany Zjednoczone,35586364.0
0,1866,Stany Zjednoczone,36414073.0
0,1867,Stany Zjednoczone,37261027.0
0,1868,Stany Zjednoczone,38127674.0
0,1869,Stany Zjednoczone,39007998.0
0,1870,Stany Zjednoczone,39902173.0
0,1871,Stany Zjednoczone,40810375.0
0,1872,Stany Zjednoczone,41732783.0
0,1873,Stany Zjednoczone,42669573.0
0,1874,Stany Zjednoczone,43627383.0
0,1875,Stany Zjednoczone,44606685.0
0,1876,Stany Zjednoczone,45607961.0
0,1877,Stany Zjednoczone,46631704.0
0,1878,Stany Zjednoczone,47678418.0
0,1879,Stany Zjednoczone,48749140.0
0,1880,Stany Zjednoczone,49844419.0
0,1881,Stany Zjednoczone,50964818.0
0,1882,Stany Zjednoczone,52110912.0
0,1883,Stany Zjednoczone,53283291.0
0,1884,Stany Zjednoczone,54482036.0
0,1885,Stany Zjednoczone,55707739.0
0,1886,Stany Zjednoczone,56961007.0
0,1887,Stany Zjednoczone,58242459.0
0,1888,Stany Zjednoczone,59552729.0
0,1889,Stany Zjednoczone,60843105.0
0,1890,Stany Zjednoczone,62112247.0
0,1891,Stany Zjednoczone,63358765.0
0,1892,Stany Zjednoczone,64581224.0
0,1893,Stany Zjednoczone,65778137.0
0,1894,Stany Zjednoczone,66997221.0
0,1895,Stany Zjednoczone,68238885.0
0,1896,Stany Zjednoczone,69503549.0
0,1897,Stany Zjednoczone,70791637.0
0,1898,Stany Zjednoczone,72103583.0
0,1899,Stany Zjednoczone,73449404.0
0,1900,Stany Zjednoczone,74829905.0
0,1901,Stany Zjednoczone,76245912.0
