country,co2_including_luc,co2_2021_percentage
China,12240.529,29.555440434900138
United States,5159.809,12.45864680807191
India,2725.703,6.581362019544139
Russia,2009.503,4.8520571472240395
Brazil,1655.765,3.9979370035145068
Indonesia,1504.48,3.632650927545579
Japan,1065.054,2.5716323254454223
Mexico,807.686,1.9502029253068025
Iran,674.846,1.6294533312841804
Germany,670.441,1.6188172129337615
Canada,655.622,1.5830359103605813
Saudi Arabia,635.291,1.5339455761534606
South Korea,609.634,1.47199531769337
Vietnam,605.475,1.4619531800726226
Democratic Republic of Congo,560.522,1.353411652670493
Malaysia,452.977,1.0937382479041353
South Africa,425.926,1.028422098642573
Turkey,418.463,1.0104022686200584
Australia,380.45,0.9186177585509381
United Kingdom,362.887,0.8762109148305278
Thailand,306.55,0.7401820840683141
Italy,297.446,0.7181999679588444
Poland,293.902,0.7096427821622757
France,290.016,0.7002598182781151
Egypt,247.329,0.5971896743452358
Pakistan,245.663,0.5931670243629888
Ethiopia,245.498,0.5927686226540628
Kazakhstan,239.091,0.5772985635686748
United Arab Emirates,237.276,0.5729161447704886
Argentina,220.73,0.5329649043105495
Ukraine,214.329,0.5175093325600316
Spain,210.31,0.5078052327529183
Algeria,182.174,0.4398692904356909
Iraq,179.794,0.43412264760390956
Philippines,167.485,0.40440188011802836
Netherlands,140.17,0.33844828812218425
Nigeria,139.335,0.33643213401943745
Colombia,133.49,0.3223190553002096
Myanmar,131.254,0.31692010850530905
Chile,116.752,0.2819042201244293
Uzbekistan,115.257,0.2782944591859784
Bangladesh,107.403,0.25933053784109983
Qatar,107.207,0.2588572849020119
Kuwait,103.288,0.24939464067606593
Belgium,98.885,0.23876335143727037
Czechia,86.54,0.208955659942169
Venezuela,79.177,0.19117728550082175
Ireland,76.971,0.18585077538027142
Zambia,72.003,0.17385526210788066
Oman,71.372,0.1723316773907151
Laos,70.402,0.16998955825339243
Turkmenistan,69.743,0.1683983659735
Morocco,65.463,0.15806406709954018
Belarus,64.024,0.15458952128654296
Austria,63.929,0.15436013848443403
Libya,63.602,0.153570578734017
Finland,62.711,0.15141920950581647
North Korea,62.085,0.14990769756770927
Angola,59.276,0.14312521029272024
Romania,57.956,0.13993799662131207
Israel,56.793,0.13712986821233653
Singapore,56.024,0.1352730747931601
Tanzania,50.648,0.12229242274960682
Cambodia,49.614,0.11979577204033708
Norway,48.663,0.1174995294634362
Azerbaijan,46.238,0.11164423162012953
Sweden,44.074,0.10641913284366947
Guatemala,43.462,0.10494142468692569
Hungary,42.279,0.10208500516171669
Mongolia,40.066,0.09674159315048465
Ecuador,39.583,0.09557536269344666
Peru,38.756,0.09357852503719322
Bahrain,38.123,0.09205011120840428
Bulgaria,37.07,0.08950758393871278
New Zealand,36.893,0.08908020756004668
Switzerland,35.299,0.08523140559624015
Trinidad and Tobago,35.288,0.08520484548231175
Honduras,33.995,0.08208282481781874
Sudan,33.815,0.08164820477171762
Cameroon,33.641,0.08122807206048654
Tunisia,33.568,0.08105180948623443
Portugal,33.117,0.07996284481516996
Slovakia,32.904,0.07944854442728366
Kenya,32.775,0.07913706672757786
Paraguay,32.155,0.0776400421243407
Serbia,31.573,0.07623477064194709
Greece,31.499,0.07605609351188329
