country,cumulative_co2_including_luc,co2_cumulative_percentage
United States,559316.438,20.790300675222685
China,339872.0,12.633351339281193
Russia,227755.328,8.465872675646207
Brazil,138911.578,5.163469688494385
India,102163.703,3.7975177540985303
Germany,94188.969,3.501089638633558
Indonesia,86158.43,3.2025872005662857
United Kingdom,79416.492,2.9519832335973955
Canada,75698.234,2.8137722021382197
Japan,74089.953,2.753990934704331
Ukraine,44460.379,1.6526327222736776
Mexico,35750.02,1.3288607565387245
France,34894.152,1.297047364602796
Australia,33841.18,1.2579074377290742
South Africa,29198.389,1.0853306738360418
Poland,29134.639,1.0829610283580995
Italy,25291.227,0.9400979088966276
Colombia,24495.699,0.9105274096373899
Thailand,24316.234,0.9038565323715247
Democratic Republic of Congo,24102.129,0.8958980548020374
Argentina,22777.85,0.8466733999960164
Iran,22743.949,0.8454132689944835
Malaysia,19534.027,0.7260975489655075
Kazakhstan,18581.77,0.6907012902378398
Saudi Arabia,18497.438,0.6875665931014346
Turkey,18102.551,0.6728882841783261
Spain,17681.113,0.6572230504382006
South Korea,17606.391,0.654445565741686
Philippines,14787.934,0.5496809557836534
Nigeria,14477.343,0.5381360058442096
Vietnam,13967.225,0.5191744558533558
Venezuela,13283.731,0.49376836226432624
Netherlands,13174.683,0.4897149489297593
Belgium,13057.243,0.4853495973230215
Czechia,11907.708,0.4426203359193148
Romania,11813.524,0.4391194309829303
Belarus,10084.734,0.3748587344211779
Cote d'Ivoire,8859.612,0.32931983548427557
Myanmar,8473.974,0.3149853203027434
Peru,7941.952,0.2952095787111234
Pakistan,7803.563,0.29006553372215177
Chile,7724.604,0.28713055588226405
Egypt,7616.915,0.2831276578136504
Tanzania,7595.715,0.2823396345331426
Sweden,7515.332,0.27935172531818686
Uzbekistan,7018.891,0.26089856185598903
Bolivia,6979.229,0.2594242892450691
Ethiopia,6842.631,0.2543468173549366
Finland,6617.215,0.24596789962857074
Algeria,6187.045,0.22997808950705853
Cuba,5892.095,0.2190145297624459
Austria,5870.665,0.21821795717276274
Madagascar,5863.499,0.21795159043558732
Ecuador,5756.114,0.21395999232344887
Hungary,5741.565,0.21341919276174565
United Arab Emirates,5663.464,0.21051610756217284
Denmark,5555.202,0.20649191056243987
Iraq,5452.102,0.2026595897973286
Angola,5359.719,0.19922562966887786
Greece,5344.473,0.19865892198328242
Zambia,5236.648,0.19465096867098255
New Zealand,5157.584,0.19171208788560176
Bulgaria,5005.202,0.18604791036058546
Nicaragua,4467.137,0.1660475449631113
Mozambique,4462.663,0.16588124231419657
Slovakia,4435.242,0.16486197880595105
Guatemala,4378.964,0.16277007436347837
Paraguay,4199.647,0.15610469839221305
North Korea,3941.156,0.14649635283552662
Norway,3791.931,0.14094952387166895
Kuwait,3738.891,0.13897797883402102
Honduras,3514.323,0.1306305820388755
Bangladesh,3505.443,0.1303005043628892
Serbia,3488.406,0.12966722357845467
Switzerland,3375.906,0.125485496264439
Cambodia,3340.164,0.12415693361859413
Morocco,3273.653,0.1216846592596386
Azerbaijan,3202.357,0.11903452209892694
Portugal,3141.972,0.11678995673131062
Kenya,3045.137,0.11319051171395324
Zimbabwe,2998.924,0.1114727324751745
Cameroon,2915.759,0.10838141379010684
Lithuania,2876.947,0.10693873645222615
Sudan,2812.935,0.10455935219600597
Turkmenistan,2742.336,0.10193512315918647
Ghana,2615.716,0.09722854260362501
Israel,2601.255,0.09669101408195407
Costa Rica,2507.982,0.09322397184408578
Libya,2494.089,0.09270755639898694
Dominican Republic,2489.396,0.09253311332090094
Panama,2486.01,0.09240725262147644
Ireland,2469.083,0.09177806063708227
Qatar,2428.745,0.0902786604913688
Syria,2428.744,0.09027862332045934
Laos,2340.426,0.08699576293895503
Uganda,2330.878,0.08664085509545084
Singapore,2196.298,0.08163839410060435
Sri Lanka,2148.487,0.07986121574851188
Congo,2072.658,0.07704258285522748
Mongolia,2072.596,0.07704027825884109
Latvia,1841.653,0.06845591691590136
Croatia,1826.484,0.06789207139033421
Estonia,1788.9,0.06649503992926785
Papua New Guinea,1703.593,0.06332410115614133
Trinidad and Tobago,1660.638,0.06172742474037649
Mali,1617.147,0.060110824717142214
Nepal,1616.116,0.06007250150949111
Oman,1584.106,0.058882660697743186
