country,co2_including_luc,co2_2021_percentage,co2_2021_top_90
China,12240.529,29.555440434900138,29.555440434900138
United States,5159.809,12.45864680807191,42.014087242972046
India,2725.703,6.581362019544139,48.59544926251618
Russia,2009.503,4.8520571472240395,53.44750640974022
Brazil,1655.765,3.9979370035145068,57.44544341325473
Indonesia,1504.48,3.632650927545579,61.078094340800305
Japan,1065.054,2.5716323254454223,63.649726666245726
Mexico,807.686,1.9502029253068025,65.59992959155252
Iran,674.846,1.6294533312841804,67.2293829228367
Germany,670.441,1.6188172129337615,68.84820013577047
Canada,655.622,1.5830359103605813,70.43123604613105
Saudi Arabia,635.291,1.5339455761534606,71.9651816222845
South Korea,609.634,1.47199531769337,73.43717693997787
Vietnam,605.475,1.4619531800726226,74.8991301200505
Democratic Republic of Congo,560.522,1.353411652670493,76.25254177272099
Malaysia,452.977,1.0937382479041353,77.34628002062513
South Africa,425.926,1.028422098642573,78.37470211926771
Turkey,418.463,1.0104022686200584,79.38510438788776
Australia,380.45,0.9186177585509381,80.3037221464387
United Kingdom,362.887,0.8762109148305278,81.17993306126922
Thailand,306.55,0.7401820840683141,81.92011514533753
Italy,297.446,0.7181999679588444,82.63831511329637
Poland,293.902,0.7096427821622757,83.34795789545865
France,290.016,0.7002598182781151,84.04821771373676
Egypt,247.329,0.5971896743452358,84.64540738808199
Pakistan,245.663,0.5931670243629888,85.23857441244498
Ethiopia,245.498,0.5927686226540628,85.83134303509904
Kazakhstan,239.091,0.5772985635686748,86.40864159866771
United Arab Emirates,237.276,0.5729161447704886,86.9815577434382
Argentina,220.73,0.5329649043105495,87.51452264774875
Ukraine,214.329,0.5175093325600316,88.03203198030879
Spain,210.31,0.5078052327529183,88.5398372130617
Algeria,182.174,0.4398692904356909,88.9797065034974
Iraq,179.794,0.43412264760390956,89.41382915110131
Philippines,167.485,0.40440188011802836,89.81823103121934
Netherlands,140.17,0.33844828812218425,90.15667931934152
Nigeria,139.335,0.33643213401943745,90.49311145336095
