year,country,population,gdp,primary_energy_consumption,temperature_change_from_co2,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,co2_including_luc,country_order
1800,Stany Zjednoczone,6000000.0,,,,0.0,0.253,,0.0,0.0,,0.0,,,,0
1801,Stany Zjednoczone,6113782.0,,,,0.0,0.267,,0.0,0.0,,0.0,,,,0
1802,Stany Zjednoczone,6229723.0,,,,0.0,0.289,,0.0,0.0,,0.0,,,,0
1803,Stany Zjednoczone,6347862.0,,,,0.0,0.297,,0.0,0.0,,0.0,,,,0
1804,Stany Zjednoczone,6468241.0,,,,0.0,0.333,,0.0,0.0,,0.0,,,,0
1805,Stany Zjednoczone,6590903.0,,,,0.0,0.341,,0.0,0.0,,0.0,,,,0
1806,Stany Zjednoczone,6715891.0,,,,0.0,0.333,,0.0,0.0,,0.0,,,,0
1807,Stany Zjednoczone,6843249.0,,,,0.0,0.377,,0.0,0.0,,0.0,,,,0
1808,Stany Zjednoczone,6973023.0,,,,0.0,0.392,,0.0,0.0,,0.0,,,,0
1809,Stany Zjednoczone,7105258.0,,,,0.0,0.403,,0.0,0.0,,0.0,,,,0
1810,Stany Zjednoczone,7302908.0,,,,0.0,0.418,,0.0,0.0,,0.0,,,,0
1811,Stany Zjednoczone,7502686.0,,,,0.0,0.447,,0.0,0.0,,0.0,,,,0
1812,Stany Zjednoczone,7728031.0,,,,0.0,0.484,,0.0,0.0,,0.0,,,,0
1813,Stany Zjednoczone,7980135.0,,,,0.0,0.52,,0.0,0.0,,0.0,,,,0
1814,Stany Zjednoczone,8240464.0,,,,0.0,0.561,,0.0,0.0,,0.0,,,,0
1815,Stany Zjednoczone,8509285.0,,,,0.0,0.601,,0.0,0.0,,0.0,,,,0
1816,Stany Zjednoczone,8786876.0,,,,0.0,0.663,,0.0,0.0,,0.0,,,,0
1817,Stany Zjednoczone,9073523.0,,,,0.0,0.718,,0.0,0.0,,0.0,,,,0
1818,Stany Zjednoczone,9369520.0,,,,0.0,0.78,,0.0,0.0,,0.0,,,,0
1819,Stany Zjednoczone,9667277.0,,,,0.0,0.762,,0.0,0.0,,0.0,,,,0
1820,Stany Zjednoczone,9966626.0,26689673216.0,,,0.0,0.791,,0.0,0.0,,0.0,,,,0
1821,Stany Zjednoczone,10267384.0,27963713536.0,,,0.0,0.828,,0.0,0.0,,0.0,,,,0
1822,Stany Zjednoczone,10569360.0,29657565184.0,,,0.0,0.865,,0.0,0.0,,0.0,,,,0
1823,Stany Zjednoczone,10872345.0,30226765824.0,,,0.0,0.901,,0.0,0.0,,0.0,,,,0
1824,Stany Zjednoczone,11184015.0,31981950976.0,,,0.0,1.015,,0.0,0.0,,0.0,,,,0
1825,Stany Zjednoczone,11504621.0,33619607552.0,,,0.0,1.136,,0.0,0.0,,0.0,,,,0
1826,Stany Zjednoczone,11834416.0,34809626624.0,,,0.0,1.315,,0.0,0.0,,0.0,,,,0
1827,Stany Zjednoczone,12173666.0,35893989376.0,,,0.0,1.447,,0.0,0.0,,0.0,,,,0
1828,Stany Zjednoczone,12522641.0,36860850176.0,,,0.0,1.594,,0.0,0.0,,0.0,,,,0
1829,Stany Zjednoczone,12879737.0,36568666112.0,,,0.0,1.795,,0.0,0.0,,0.0,,,,0
1830,Stany Zjednoczone,13245133.0,40238456832.0,,,0.0,2.088,,0.0,0.0,,0.0,,,,0
1831,Stany Zjednoczone,13619015.0,44058066944.0,,,0.0,2.264,,0.0,0.0,,0.0,,,,0
1832,Stany Zjednoczone,14001568.0,47056560128.0,,,0.0,3.023,,0.0,0.0,,0.0,,,,0
1833,Stany Zjednoczone,14392986.0,50149629952.0,,,0.0,3.528,,0.0,0.0,,0.0,,,,0
1834,Stany Zjednoczone,14795346.0,49144819712.0,,,0.0,3.382,,0.0,0.0,,0.0,,,,0
1835,Stany Zjednoczone,15208954.0,52437618688.0,,,0.0,4.316,,0.0,0.0,,0.0,,,,0
1836,Stany Zjednoczone,15634125.0,54660300800.0,,,0.0,4.73,,0.0,0.0,,0.0,,,,0
1837,Stany Zjednoczone,16071181.0,54343589888.0,,,0.0,5.305,,0.0,0.0,,0.0,,,,0
1838,Stany Zjednoczone,16520455.0,55243120640.0,,,0.0,5.031,,0.0,0.0,,0.0,,,,0
1839,Stany Zjednoczone,16991513.0,59390148608.0,,,0.0,5.518,,0.0,0.0,,0.0,,,,0
1840,Stany Zjednoczone,17485246.0,57903947776.0,,,0.0,5.873,,0.0,0.0,,0.0,,,,0
1841,Stany Zjednoczone,18002579.0,58728370176.0,,,0.0,6.214,,0.0,0.0,,0.0,,,,0
1842,Stany Zjednoczone,18544472.0,60163727360.0,,,0.0,6.918,,0.0,0.0,,0.0,,,,0
1843,Stany Zjednoczone,19111919.0,63127601152.0,,,0.0,7.764,,0.0,0.0,,0.0,,,,0
1844,Stany Zjednoczone,19696730.0,68682588160.0,,,0.0,9.307,,0.0,0.0,,0.0,,,,0
