country,year,residual
Argentina,1930,549.3186237729217
Argentina,1931,-28.37585557062485
Argentina,1932,-6.74745980422486
Argentina,1933,-7.317290951178165
Argentina,1934,-4.8385143504964105
Argentina,1935,-5.304385447037163
Argentina,1936,-3.3476975328397174
Argentina,1937,-2.8860052199725175
Argentina,1938,-3.2630238851706537
Argentina,1939,9.303204866361924
Argentina,1940,-18.429546328200544
Argentina,1941,-13.228172026855319
Argentina,1942,-7.388664193950142
Argentina,1943,-6.467318550464384
Argentina,1944,-6.810964993045058
Argentina,1945,-6.1889464149320155
Argentina,1946,-6.201472071560982
Argentina,1947,-5.6527030716057
Argentina,1948,-1.4002455062413066
Argentina,1949,-6.03029605225521
Argentina,1950,33.73523858385699
Argentina,1951,13.328529445314636
Argentina,1952,10.620988103930287
Argentina,1953,-0.39097895452373166
Argentina,1954,0.9755183953732995
Argentina,1955,2.4319930089007187
Argentina,1956,6.134585510794253
Argentina,1957,5.191945980878614
Argentina,1958,-1.1853208547306906
Argentina,1959,4.017024402109911
Argentina,1960,-10.01767459940524
Argentina,1961,48.585922862978094
Argentina,1962,-4.417409894483853
Argentina,1963,-5.227067494144762
Argentina,1964,7.62709131722842
Argentina,1965,52.7166742221242
Argentina,1966,-9.783877707469742
Argentina,1967,45.84145453925797
Argentina,1968,50.20221677148504
Argentina,1969,-111.43373823832144
Argentina,1970,-25.89905410385728
Argentina,1971,5.849437282447724
Argentina,1972,-1.9962192226706748
Argentina,1973,-0.07895738252949513
Argentina,1974,-3.678277706404714
Argentina,1975,-5.236755646517111
Argentina,1976,6.017092359977937
Argentina,1977,-4.525220445889971
Argentina,1978,-8.734110060910126
Argentina,1979,-0.7296465269798773
Argentina,1980,-8.591390179539445
Argentina,1981,64.56026731562133
Argentina,1982,-58.11528655771852
Argentina,1983,-14.579034878169352
Argentina,1984,-3.075828077267005
Argentina,1985,-17.97696243706926
Argentina,1986,-16.775534675005133
Argentina,1987,7.804133939279652
Argentina,1988,26.397287519989575
Argentina,1989,-6.389024201314129
Argentina,1990,-18.308290174227608
Argentina,1991,45.455309668108754
Argentina,1992,-14.588365908668607
Argentina,1993,8.49755177745132
Argentina,1994,1.3477759864441055
Argentina,1995,18.146592762471244
Argentina,1996,12.82931109853871
Argentina,1997,7.4255538266055225
Argentina,1998,17.13319998615745
Argentina,1999,7.110625309468304
Argentina,2000,-3.0462482680179903
Argentina,2001,-12.772432197034902
Argentina,2002,38.04291815582022
Argentina,2003,111.829711972777
Australia,1930,1150.0385662310728
Australia,1931,-10.437312707483358
Australia,1932,-1.9564834369555797
Australia,1933,-2.6886840241672445
Australia,1934,-11.75658254492862
Australia,1935,-11.636388850986506
Australia,1936,-12.707870684134534
Australia,1937,-13.348025711969647
Australia,1938,-13.250153190485769
Australia,1939,-3.351057960758638
Australia,1940,-7.232479142813581
Australia,1941,-3.156898173927466
Australia,1942,-7.999802222379429
Australia,1943,-21.922298753302215
Australia,1944,-9.590977101667079
Australia,1945,-0.4363633607243358
Australia,1946,6.206444003729068
Australia,1947,1.5524719637754671
Australia,1948,-6.958017957737887
Australia,1949,-10.81899457754404
Australia,1950,135.34486305525152
Australia,1951,97.48592137863164
Australia,1952,45.49962816101808
Australia,1953,39.905241441653516
Australia,1954,31.046793966412054
Australia,1955,17.763852748148338
Australia,1956,16.148846884640534
Australia,1957,24.838736091081728
Australia,1958,8.934453952319473
Australia,1959,10.08154458104633
Australia,1960,-34.22057757955929
Australia,1961,-18.511297765036147
Australia,1962,-91.81828722778027
Australia,1963,4.152824288582451
Australia,1964,16.56687983096316
Australia,1965,33.90269809538853
Australia,1966,-63.6590615827003
Australia,1967,170.82755706439792
Australia,1968,-174.8202849297565
Australia,1969,-130.2995763669062
Australia,1970,-82.50047766638806
Australia,1971,-23.39209914672142
Australia,1972,-61.45476915396597
Australia,1973,2.2549344367178037
Australia,1974,-41.81105886808379
Australia,1975,62.9829842075776
Australia,1976,-6.12753263823214
Australia,1977,125.92738738777362
Australia,1978,-0.12030906085084325
Australia,1979,21.460490446054052
Australia,1980,22.689268085906406
Australia,1981,56.26162428938352
Australia,1982,-49.00027445660788
Australia,1983,159.5509503257323
Australia,1984,-71.18663107493063
Australia,1985,-73.57388986092292
Australia,1986,-55.36149688636934
Australia,1987,-37.37405912637345
Australia,1988,-50.81480144112621
Australia,1989,-34.10575884542635
Australia,1990,-1.0227758198456058
Australia,1991,-37.881982893686626
Australia,1992,79.71471997542665
Australia,1993,38.11672776010499
Australia,1994,8.59475762598862
Australia,1995,162.5019684195854
Australia,1996,49.26140761943077
Australia,1997,-57.42909087911653
Australia,1998,28.477583102222297
Australia,1999,-50.507478468707006
Australia,2000,37.20941292338466
Australia,2001,-103.43832101619643
Australia,2002,-77.04668576924882
Australia,2003,133.72705974946552
Belarus,1982,285.5718726187746
Belarus,1983,-0.9931566914733452
Belarus,1984,0.11464914705669571
Belarus,1985,6.8081384285484035
Belarus,1986,13.856897061451008
Belarus,1987,-13.809072489843487
Belarus,1988,0.8261373621602957
Belarus,1989,-6.549890274627188
Belarus,1990,-3.0343243149900445
Belarus,1991,-3.3672440016933365
Belarus,1992,-0.7788888523646165
Belarus,1993,-5.201336941813565
Belarus,1994,3.614974975595601
Belarus,1995,-7.921145345617575
Belarus,1996,2.3399765144486224
Belarus,1997,0.2913780137243549
Belarus,1998,2.817550999004453
Belarus,1999,-1.3053908515868073
Belarus,2000,-14.637127030172273
Belarus,2001,-4.250273475700233
Belarus,2002,-4.053381181220857
Belarus,2003,-1.0888096539394212
Belarus,2004,3.9532426626170434
Belarus,2005,1.50039009751206
Belarus,2006,-0.9722531374796333
Belarus,2007,-1.7064215564771956
Belarus,2008,1.903983577766411
Belarus,2009,-5.058157397111188
Belarus,2010,-1.9202763173917532
Belarus,2011,-3.3829367091111067
Belarus,2012,0.8600714810462051
Belarus,2013,0.21185757183272358
Belgium,1930,87.85524492112334
Belgium,1931,-10.462133698138246
Belgium,1932,-16.573219628863498
Belgium,1933,5.243332711887845
Belgium,1934,2.388573577467511
Belgium,1935,-4.300702212666948
Belgium,1936,2.738207641259322
Belgium,1937,14.260549201096708
Belgium,1938,-11.703704991642809
Belgium,1939,-6.241501482256481
Belgium,1940,-11.361906750252238
Belgium,1941,3.6880158540157453
Belgium,1942,-3.6397119792042645
Belgium,1943,-3.0248628417827845
Belgium,1944,-24.613216476033042
Belgium,1945,5.651560180345669
Belgium,1946,17.351763916479207
Belgium,1947,24.47974427570781
Belgium,1948,0.9178030907006303
Belgium,1949,-5.9328987315076205
Belgium,1950,-5.3680543262465505
Belgium,1951,12.649941591247696
Belgium,1952,-6.993986078113423
Belgium,1953,-1.8350618535908012
Belgium,1954,2.980474577624747
Belgium,1955,5.631871665780324
Belgium,1956,3.647756902720843
Belgium,1957,-1.2444808887434675
Belgium,1958,-9.822032671230659
Belgium,1959,0.18906128249577137
Belgium,1960,2.4397178096217402
Belgium,1961,1.099327069098564
Belgium,1962,4.520386811360254
Belgium,1963,6.402876774547366
Belgium,1964,-3.3670616207049164
Belgium,1965,0.1725277218660608
Belgium,1966,-1.6360339428841826
Belgium,1967,1.3210067311252516
Belgium,1968,9.92821041442646
Belgium,1969,2.8912711453940148
Belgium,1970,-1.1869372933873734
Belgium,1971,-7.42124739846318
Belgium,1972,6.358344779206817
Belgium,1973,5.162852485121164
Belgium,1974,-6.956419152753483
Belgium,1975,-14.85638289016417
Belgium,1976,8.510790850075963
Belgium,1977,-3.982587717831663
Belgium,1978,7.787801571300804
Belgium,1979,-0.09302750901701984
Belgium,1980,-7.6269953828388
Belgium,1981,-12.73054051404246
Belgium,1982,-3.9924128806711536
Belgium,1983,-12.275696237961967
Belgium,1984,6.400111171184534
Belgium,1985,0.08299104743538521
Belgium,1986,-3.4188678202597913
Belgium,1987,6.32769976540547
Belgium,1988,-3.739261066652176
Belgium,1989,7.349252957510629
Belgium,1990,11.175935099643397
Belgium,1991,6.197683720398743
Belgium,1992,-2.855792449631977
Belgium,1993,4.969847104406284
Belgium,1994,-0.7434565546701322
Belgium,1995,-0.14539232772418131
Belgium,1996,0.05253469987377457
Belgium,1997,-7.975358231605483
Belgium,1998,5.2062480212086655
Belgium,1999,-4.05904371156393
Belgium,2000,-1.4380082393536213
Belgium,2001,-1.8893463129258379
Belgium,2002,-0.7221352173636717
Belgium,2003,1.5024332620739926
Brazil,1930,1467.3198040482137
Brazil,1931,-63.27340823839239
Brazil,1932,-68.92076734433755
Brazil,1933,-37.38851864096057
Brazil,1934,-15.084174210623075
Brazil,1935,-5.984132800983758
Brazil,1936,-8.007526888819285
Brazil,1937,-73.34863807189492
Brazil,1938,-69.5903689577708
Brazil,1939,0.6759805371967218
Brazil,1940,153.17311835921794
Brazil,1941,82.43378621893686
Brazil,1942,91.15437399514207
Brazil,1943,55.39877307393584
Brazil,1944,-35.50058274434849
Brazil,1945,-38.303750901636874
Brazil,1946,29.879376914547265
Brazil,1947,33.633424705010896
Brazil,1948,30.69120257127628
Brazil,1949,35.877721574085115
Brazil,1950,130.46811793088114
Brazil,1951,0.34365048410427335
Brazil,1952,78.6136041679365
Brazil,1953,67.86624227631751
Brazil,1954,-4.628118115475559
Brazil,1955,-15.111155952158128
Brazil,1956,45.631767666504174
Brazil,1957,-30.008588381023742
Brazil,1958,-13.86709293892568
Brazil,1959,71.58630257767697
Brazil,1960,30.841381434714776
Brazil,1961,16.18476453471635
Brazil,1962,3.162105115082113
Brazil,1963,-9.76709389375901
Brazil,1964,-38.29913205454932
Brazil,1965,-35.83733498116135
Brazil,1966,-16.596437047044674
Brazil,1967,-40.6643813008161
Brazil,1968,-32.87446600758744
Brazil,1969,-43.77888806516421
Brazil,1970,-25.822147363398926
Brazil,1971,-20.362800827249202
Brazil,1972,-36.00500243534793
Brazil,1973,-41.68486218891894
Brazil,1974,-37.167650393319946
Brazil,1975,-37.951373993023935
Brazil,1976,1.736431314403717
Brazil,1977,-19.02430315888705
Brazil,1978,88.5749112138742
Brazil,1979,50.08598147910311
Brazil,1980,35.221034843061716
Brazil,1981,64.94238048314082
Brazil,1982,46.843545313619416
Brazil,1983,17.60702988017033
Brazil,1984,-65.57121078788532
Brazil,1985,-513.8291712444384
Brazil,1986,237.55031278219553
Brazil,1987,-48.101658821882666
Brazil,1988,-9.595625014672805
Brazil,1989,-81.62117215776038
Brazil,1990,42.4912416071445
Brazil,1991,53.362670382412944
Brazil,1992,188.47065174348086
Brazil,1993,-199.6026961655623
Brazil,1994,193.0356033680032
Brazil,1995,-56.44141020562574
Brazil,1996,-55.90666332179262
Brazil,1997,25.63576431917363
Brazil,1998,117.66926906886647
Brazil,1999,-23.95187502631643
Brazil,2000,-263.7904363742987
Brazil,2001,-285.5732073130562
Brazil,2002,-228.72578593461685
Brazil,2003,642.4277872229163
Canada,1930,922.6978839761159
Canada,1931,-11.575971293795021
Canada,1932,-4.136550559275122
Canada,1933,4.468897505731263
Canada,1934,16.27601692081288
Canada,1935,4.764843340789298
Canada,1936,5.184244424205815
Canada,1937,-4.888583872283448
Canada,1938,-7.869503294694368
Canada,1939,12.772990233119742
Canada,1940,-9.38745294747855
Canada,1941,2.2951499245821765
Canada,1942,7.126983977728628
Canada,1943,-3.3361451241340205
Canada,1944,-1.662131466687697
Canada,1945,-14.212001343321674
Canada,1946,10.548788379239681
Canada,1947,0.29188658272545354
Canada,1948,3.8937656659482514
Canada,1949,-18.112376220080762
Canada,1950,61.2497019586346
Canada,1951,17.577197568036468
Canada,1952,7.75561448785686
Canada,1953,6.973537467171923
Canada,1954,9.010566560255029
Canada,1955,14.975007000581058
Canada,1956,22.664518092632647
Canada,1957,-2.740659726621857
Canada,1958,4.69400217327609
Canada,1959,5.5623863857748574
Canada,1960,-50.726365677440185
Canada,1961,-17.335201042649146
Canada,1962,-7.017276247936934
Canada,1963,-0.11550857865699982
Canada,1964,17.896437577448523
Canada,1965,-8.600994989092897
Canada,1966,-28.73356618374453
Canada,1967,3.6983035420576016
Canada,1968,2.227466950296048
Canada,1969,-10.902098475574803
Canada,1970,23.686552932596896
Canada,1971,9.550948495491184
Canada,1972,16.415094198996826
Canada,1973,-8.874286586429434
Canada,1974,-1.8465094196933478
Canada,1975,-3.587609025740562
Canada,1976,8.648714438669003
Canada,1977,13.828730372751238
Canada,1978,7.941672720791189
Canada,1979,16.92314223990013
Canada,1980,-2.0611644172072374
Canada,1981,-20.649332041237585
Canada,1982,-28.87393389566057
Canada,1983,-16.463130391384766
Canada,1984,28.627891028264457
Canada,1985,-9.130996220438192
Canada,1986,-28.243586109293005
Canada,1987,17.628203845505595
Canada,1988,20.821817970059556
Canada,1989,-4.485009250743246
Canada,1990,-17.5300059326089
Canada,1991,-27.196166084860693
Canada,1992,12.831069531325284
Canada,1993,-2.167414024273853
Canada,1994,12.835187246916234
Canada,1995,6.879835460114805
Canada,1996,8.233605376449873
Canada,1997,15.986817368652396
Canada,1998,-3.589948136632188
Canada,1999,5.077396332749231
Canada,2000,14.629488258179208
Canada,2001,19.23643535765416
Canada,2002,-39.75995576902653
Canada,2003,-1.732110964809749
Chile,1930,412.752691259957
Chile,1931,-0.38495144794914893
Chile,1932,0.6673476863332368
Chile,1933,1.7351590466536635
Chile,1934,0.5434947517102557
Chile,1935,-0.6482866427771725
Chile,1936,-0.9372495422819966
Chile,1937,-0.44697299738859897
Chile,1938,-0.5996525300753106
Chile,1939,-1.4594081954910365
Chile,1940,-0.6652901748684883
Chile,1941,-0.45408883348611084
Chile,1942,-0.6596583416522606
Chile,1943,-0.6378633317348275
Chile,1944,-1.0045046532717308
Chile,1945,-1.5450464090333753
Chile,1946,-1.334299565472449
Chile,1947,-1.0922490945847443
Chile,1948,-0.5815144454328873
Chile,1949,-0.9973693067569727
Chile,1950,0.27691166280509094
Chile,1951,0.9574664813709504
Chile,1952,-0.5822770447780812
Chile,1953,-0.37363555181261177
Chile,1954,0.7603596922144362
Chile,1955,1.1011975242160474
Chile,1956,0.6122038995600292
Chile,1957,0.11904332851298705
Chile,1958,0.6883936228642753
Chile,1959,0.07523022622789455
Chile,1960,-0.25287029779473613
Chile,1961,-8.320912832723835
Chile,1962,-2.7005268704911742
Chile,1963,-3.7120759359043802
Chile,1964,-3.0434277166588046
Chile,1965,-1.647268819634867
Chile,1966,0.972825841444994
Chile,1967,-0.7821475972337666
Chile,1968,-0.5474254092201747
Chile,1969,9.792969567180968
Chile,1970,-0.611369711556236
Chile,1971,2.897986139150376
Chile,1972,5.990242819974725
Chile,1973,-0.537070153969907
Chile,1974,-8.9426131285895
Chile,1975,8.993665942000234
Chile,1976,-17.127788169818245
Chile,1977,-7.975785100643499
Chile,1978,-5.471093972167068
Chile,1979,-1.3990190486656502
Chile,1980,-4.766262709649261
Chile,1981,-6.20228654852356
Chile,1982,-6.705159843902145
Chile,1983,0.0718083806025902
Chile,1984,2.377035269940258
Chile,1985,-2.956254764161077
Chile,1986,-5.757577852418709
Chile,1987,-0.11023885203309192
Chile,1988,5.241135454766955
Chile,1989,-2.3901211520245056
Chile,1990,-2.125133566623731
Chile,1991,-7.1977548485997715
Chile,1992,-1.058984239386401
Chile,1993,6.806067260522468
Chile,1994,-2.435594989103677
Chile,1995,2.385220211898897
Chile,1996,5.575346400739001
Chile,1997,12.635019228694901
Chile,1998,-6.105281426370226
Chile,1999,4.668658714488615
Chile,2000,5.527839225813821
Chile,2001,-2.1927652210297737
Chile,2002,-4.203428888292109
Chile,2003,10.510737529663942
China,1952,-1437.632508230845
China,1953,-11.87904072200115
China,1954,-5.282174208138599
China,1955,6.259083774804026
China,1956,6.878835721803171
China,1957,5.589011087486142
China,1958,254.47410950249093
China,1959,191.87860446031095
China,1960,-462.2024481560261
China,1961,-202.3866208561708
China,1962,27.00365197228598
China,1963,91.59092131566365
China,1964,-30.079330835832593
China,1965,-60.701436473082936
China,1966,-41.53947642384628
China,1967,-166.14252049275194
China,1968,64.48916203360488
China,1969,73.06812596801649
China,1970,95.76991611109884
China,1971,-81.98106152460105
China,1972,-7.337588765916735
China,1973,128.64027683129007
China,1974,-237.74399024646436
China,1975,269.83287685406526
China,1976,-46.197140786854334
China,1977,61.417699598725676
China,1978,107.42600345121514
China,1979,-112.16812979726228
China,1980,38.23077162018626
China,1981,554.5250283421692
China,1982,215.20628828501594
China,1983,174.47001176460526
China,1984,119.73574523387742
China,1985,-638.8131539216042
China,1986,-157.58194112805313
China,1987,9.8803116554177
China,1988,119.03470490952486
China,1989,-156.74913088440235
China,1990,-130.5741501706907
China,1991,-246.90829446209136
China,1992,141.3123222250283
China,1993,53.6275849181452
China,1994,88.16768305753703
China,1995,-1.0279213014828201
China,1996,45.99824755095324
China,1997,-134.04963193648928
China,1998,-215.4737258653131
China,1999,88.53617484180813
China,2000,-206.6833697219754
China,2001,-50.82485302216628
China,2002,213.26952887904827
China,2003,437.94970837949586
China,2004,-167.20001941821465
China,2005,48.430007154049235
China,2006,292.3555845777846
China,2007,-176.80437381891534
Colombia,1923,-306.940351094985
