country,year,residual
Argentina,1930,3.896008646247309e-05
Argentina,1931,-2.089930050319082e-06
Argentina,1932,-2.2595924517682337e-06
Argentina,1933,-7.039399641792693e-08
Argentina,1934,-2.0916287825479583e-07
Argentina,1935,-4.0844121622661497e-07
Argentina,1936,-2.702379803320273e-07
Argentina,1937,-2.19051903726262e-07
Argentina,1938,-4.336064360524157e-07
Argentina,1939,9.758721157953487e-08
Argentina,1940,-1.7382525750720041e-06
Argentina,1941,-8.905611293274438e-07
Argentina,1942,1.6461180949399897e-07
Argentina,1943,8.478590841141506e-08
Argentina,1944,-4.236613301602226e-07
Argentina,1945,-4.970913493818034e-07
Argentina,1946,-4.04501389069398e-07
Argentina,1947,-5.032025452734909e-07
Argentina,1948,-1.842137871393816e-07
Argentina,1949,-6.896680356895057e-07
Argentina,1950,1.9376063600521193e-06
Argentina,1951,9.104298775099203e-07
Argentina,1952,-8.069787635279118e-09
Argentina,1953,-1.2916930040601718e-07
Argentina,1954,1.4061524220803722e-07
Argentina,1955,8.432430433791474e-08
Argentina,1956,1.7657139360145864e-07
Argentina,1957,1.4796196796117476e-07
Argentina,1958,-1.3601834861059568e-07
Argentina,1959,2.3411363055534075e-07
Argentina,1960,-1.057925034360219e-06
Argentina,1961,1.8348556179717097e-06
Argentina,1962,3.21220985604938e-07
Argentina,1963,-1.5039313707870912e-07
Argentina,1964,3.4406672016792703e-07
Argentina,1965,2.239593989550539e-06
Argentina,1966,-2.9487979320317885e-07
Argentina,1967,2.241321677546612e-06
Argentina,1968,2.7591792002864662e-06
Argentina,1969,-4.730528605549744e-06
Argentina,1970,-1.9108737623992144e-06
Argentina,1971,1.51187152288731e-07
Argentina,1972,1.8790395031865852e-07
Argentina,1973,1.6042535090730615e-07
Argentina,1974,-2.264052668438298e-07
Argentina,1975,-3.7112741451557906e-07
Argentina,1976,-6.772996381563064e-08
Argentina,1977,-8.876604777277026e-08
Argentina,1978,-9.948148080689397e-08
Argentina,1979,-2.8629446992343475e-08
Argentina,1980,-2.6603983978507065e-07
Argentina,1981,2.3296791041434996e-06
Argentina,1982,-1.9240845599956605e-06
Argentina,1983,-1.22554475878248e-06
Argentina,1984,-2.2543063009329807e-07
Argentina,1985,-4.300280188558852e-07
Argentina,1986,-6.686223084925817e-07
Argentina,1987,-1.8910683598895664e-07
Argentina,1988,1.0250391635652592e-06
Argentina,1989,3.9249271363827764e-07
Argentina,1990,-5.578622660486861e-07
Argentina,1991,5.483587444668269e-07
Argentina,1992,-1.0757089093111937e-06
Argentina,1993,-1.0262364417864972e-07
Argentina,1994,-1.8833302026035875e-07
Argentina,1995,-9.500241271937217e-08
Argentina,1996,3.778014783339695e-07
Argentina,1997,3.7693549088576134e-07
Argentina,1998,5.647020887278857e-07
Argentina,1999,3.7326495368976827e-07
Argentina,2000,-1.0852960632005387e-07
Argentina,2001,-3.802273644943309e-07
Argentina,2002,4.0753307927914833e-07
Argentina,2003,2.1468827124912746e-06
Australia,1930,-5.1082030182665927e-05
Australia,1931,-1.860707054913698e-06
Australia,1932,-1.479673611449254e-06
Australia,1933,4.4440752693814735e-07
Australia,1934,-3.358962696723582e-07
Australia,1935,-9.8661662702884e-07
Australia,1936,-1.0201374652537038e-06
Australia,1937,-9.657374344404292e-07
Australia,1938,-1.0247685349686757e-06
Australia,1939,4.589287613502858e-07
Australia,1940,5.434938157408829e-07
Australia,1941,-5.479640712445345e-07
Australia,1942,-3.3527218914733694e-07
Australia,1943,-5.118886757003444e-07
Australia,1944,-1.4793111835822496e-07
Australia,1945,1.1940364553724215e-07
Australia,1946,2.173789059752143e-07
Australia,1947,2.870901053819858e-07
Australia,1948,5.222451067449136e-07
Australia,1949,-6.494434388475923e-07
Australia,1950,1.4358825569906227e-05
Australia,1951,8.84521074169209e-06
Australia,1952,4.3748607890705996e-06
Australia,1953,3.924225718040591e-06
Australia,1954,2.6156405352002803e-06
Australia,1955,1.0459234246219389e-06
Australia,1956,6.063019407718921e-07
Australia,1957,1.3103738882014993e-06
Australia,1958,-2.3185610425635904e-07
Australia,1959,2.7669163708217605e-07
Australia,1960,-3.2632175476547757e-06
Australia,1961,-2.6689559874235773e-06
Australia,1962,-1.039577381616898e-05
Australia,1963,8.574079855580457e-07
Australia,1964,2.3793326439942237e-06
Australia,1965,2.414043373593807e-06
Australia,1966,-6.465242181700394e-06
Australia,1967,1.517448833758066e-05
Australia,1968,-1.468093725576285e-05
Australia,1969,-1.183252465749782e-05
Australia,1970,-5.718101070696763e-06
Australia,1971,-1.2896277413088723e-06
Australia,1972,-4.853863480142279e-06
Australia,1973,2.9613110893078184e-07
Australia,1974,-2.261429066716653e-06
Australia,1975,5.109299699133298e-06
Australia,1976,3.994575725308474e-07
Australia,1977,9.465557601479589e-06
