country,year,residual
Argentina,1930,4.664685587970955e-06
Argentina,1931,-1.3825135349027e-06
Argentina,1932,-2.0299269680970033e-06
Argentina,1933,-2.709781179916873e-07
Argentina,1934,-4.997921298244413e-07
Argentina,1935,-3.3658058274682255e-07
Argentina,1936,-3.178160840756494e-07
Argentina,1937,1.1282104217910755e-08
Argentina,1938,-3.3571415918452383e-07
Argentina,1939,-1.6791713084499478e-07
Argentina,1940,-1.6442648713273238e-06
Argentina,1941,-8.668904339437595e-07
Argentina,1942,1.351000368902489e-07
Argentina,1943,3.714937953586403e-07
Argentina,1944,-2.780196704303534e-07
Argentina,1945,-5.570587616011437e-07
Argentina,1946,-2.4456891876488183e-07
Argentina,1947,-3.352285504205128e-07
Argentina,1948,-1.9577899925226276e-07
Argentina,1949,-4.485162483909202e-07
Argentina,1950,1.4690805989437706e-06
Argentina,1951,9.735719070361676e-07
Argentina,1952,-4.1282228941919656e-07
Argentina,1953,-3.0195210872192295e-07
Argentina,1954,2.3018330824546586e-07
Argentina,1955,2.97048367859628e-07
Argentina,1956,3.0044964543224865e-08
Argentina,1957,1.4012898734209708e-07
Argentina,1958,-2.511551650263369e-07
Argentina,1959,3.7822817135223934e-07
Argentina,1960,-1.04675269389038e-06
Argentina,1961,1.6512001584574091e-06
Argentina,1962,6.668725163217219e-08
Argentina,1963,2.869526666491415e-07
Argentina,1964,5.91103469627648e-07
Argentina,1965,2.222152136860039e-06
Argentina,1966,-7.339232456698203e-07
Argentina,1967,1.7624224906927953e-06
Argentina,1968,1.7643595666313763e-06
Argentina,1969,-4.902256195242316e-06
Argentina,1970,-3.3748516621521194e-07
Argentina,1971,-4.2363890080992754e-07
Argentina,1972,-1.4124872321400737e-08
Argentina,1973,3.273922409765149e-07
Argentina,1974,-2.980091966088992e-07
Argentina,1975,-3.8959569416225963e-07
Argentina,1976,-4.308295024147351e-07
Argentina,1977,-8.355012919484359e-07
Argentina,1978,-2.1591992090998122e-07
Argentina,1979,-7.535286591684515e-09
Argentina,1980,-4.1501710326203657e-07
Argentina,1981,2.478462740555452e-06
Argentina,1982,-1.3076172636528392e-06
Argentina,1983,-3.0974839046583865e-07
Argentina,1984,-4.937211284702791e-07
Argentina,1985,-9.540054657775173e-07
Argentina,1986,-5.638713935184533e-07
Argentina,1987,6.842041335054921e-07
Argentina,1988,1.4945821930582667e-06
Argentina,1989,1.9079915397388263e-07
Argentina,1990,-6.674236370726304e-07
Argentina,1991,8.252965732214675e-07
Argentina,1992,-1.24166599746049e-06
Argentina,1993,4.901272792728887e-07
Argentina,1994,-3.5561182551088416e-07
Argentina,1995,5.595391832764849e-07
Argentina,1996,3.989176039102031e-07
Argentina,1997,3.715502155888178e-07
Argentina,1998,3.1851431457925326e-07
Argentina,1999,8.510352991835142e-07
Argentina,2000,-1.3898568819881264e-07
Argentina,2001,-1.6080784130492696e-07
Argentina,2002,4.6217125616470674e-07
Argentina,2003,1.8238581212769743e-06
Australia,1930,6.309336624659697e-06
Australia,1931,-1.674353179050053e-06
Australia,1932,-1.5906846939611284e-06
Australia,1933,1.6438853421533028e-06
Australia,1934,4.3895924305287605e-07
Australia,1935,-1.3086533042245475e-06
Australia,1936,-1.7029553868999193e-06
Australia,1937,-9.073460329062785e-07
Australia,1938,-1.6052194290094846e-06
Australia,1939,3.1601304628492846e-07
Australia,1940,5.334802165025703e-07
Australia,1941,6.583943709881758e-07
Australia,1942,-4.520923348395783e-06
Australia,1943,1.0495398618685988e-06
Australia,1944,7.422107353110753e-07
Australia,1945,1.0235506444666761e-06
Australia,1946,9.599986068577635e-07
Australia,1947,-3.557331087538543e-07
Australia,1948,-1.3203934594804212e-07
Australia,1949,9.994081570256278e-07
Australia,1950,1.4337644071374271e-05
Australia,1951,4.597729669816071e-06
Australia,1952,3.7934462887711864e-06
Australia,1953,1.4954553365641943e-06
Australia,1954,1.2573856920251164e-06
Australia,1955,1.2799230379343814e-06
Australia,1956,1.2789958227112555e-06
Australia,1957,1.0783021509925048e-06
Australia,1958,-2.4437489122084967e-06
Australia,1959,9.031021661938887e-07
Australia,1960,-4.230293561640503e-06
Australia,1961,-1.9201730346189973e-06
Australia,1962,-8.825724312116396e-06
Australia,1963,1.902330876246042e-06
Australia,1964,4.074626098606688e-06
Australia,1965,1.762361562027972e-06
Australia,1966,-6.190086717603835e-06
Australia,1967,1.0795827365702853e-05
Australia,1968,-1.2269902837328045e-05
Australia,1969,-1.3780018319018547e-05
Australia,1970,-9.297901360368508e-07
Australia,1971,1.4100373974648772e-06
Australia,1972,-3.9769767717435026e-06
Australia,1973,-6.224697338373715e-07
Australia,1974,1.331269276996332e-06
Australia,1975,-1.8992196344578478e-07
Australia,1976,1.8128972832190212e-06
Australia,1977,7.779954834920282e-06
Australia,1978,1.7924482081011666e-06
Australia,1979,-7.509017970925684e-07
Australia,1980,-1.143716636617994e-06
Australia,1981,4.845828925589934e-06
Australia,1982,-2.3161695267547857e-06
Australia,1983,7.712511227026746e-06
Australia,1984,-6.379661106240574e-06
Australia,1985,3.3720316420439325e-07
Australia,1986,-6.257327074081358e-06
Australia,1987,3.99310081513242e-07
Australia,1988,-8.012540282894464e-07
Australia,1989,2.925213189111506e-07
Australia,1990,1.0296129142335146e-06
Australia,1991,1.3681360932510598e-06
Australia,1992,7.184700531902856e-07
Australia,1993,4.279410827850989e-06
Australia,1994,6.238252193548492e-07
Australia,1995,7.721665262741087e-06
Australia,1996,-2.7103976349823405e-07
Australia,1997,-6.3735476455788166e-06
Australia,1998,2.362671472916849e-06
Australia,1999,-1.8437262117100289e-06
Australia,2000,4.1372940803306553e-07
Australia,2001,-4.954119746719654e-06
Australia,2002,-3.8951154018725325e-06
Australia,2003,9.370505140905304e-06
Belarus,1982,1.6057163194141254e-05
Belarus,1983,-6.940831272160503e-07
Belarus,1984,-6.211970154462643e-07
Belarus,1985,6.751606287717053e-07
Belarus,1986,9.699409775874602e-07
Belarus,1987,-1.2414767598117311e-06
Belarus,1988,-9.781789362513376e-08
Belarus,1989,-4.4374277459815776e-08
Belarus,1990,-1.5293631382442454e-07
Belarus,1991,1.3715222464796713e-07
Belarus,1992,-1.4679480036688364e-07
Belarus,1993,-4.112088125054777e-07
Belarus,1994,-1.3956501625597722e-07
Belarus,1995,-2.6667727738976896e-07
Belarus,1996,2.0300101721983405e-07
Belarus,1997,-1.751888867316435e-08
Belarus,1998,3.5824907677106675e-07
Belarus,1999,-4.1989127931454e-07
Belarus,2000,-8.505226722873939e-07
Belarus,2001,-5.318781823117121e-07
Belarus,2002,2.764126373502028e-07
Belarus,2003,3.98254738634531e-08
Belarus,2004,1.7650401439368003e-07
Belarus,2005,1.2692213420562618e-07
Belarus,2006,-2.4942870644858383e-07
Belarus,2007,2.0420435482450018e-07
Belarus,2008,1.8812129749102798e-07
Belarus,2009,-2.578450869447337e-07
Belarus,2010,9.540300615855702e-08
Belarus,2011,-1.0134514594830077e-07
Belarus,2012,1.8724235301524182e-07
Belarus,2013,-5.102806834355049e-07
Belgium,1930,7.63061389753655e-05
Belgium,1931,-2.986071064192611e-07
Belgium,1932,-1.7979598032499175e-06
Belgium,1933,4.229022256514214e-07
Belgium,1934,2.9069874264539794e-07
Belgium,1935,-2.7607566973223323e-07
Belgium,1936,7.887420097359437e-07
Belgium,1937,1.1607507659486015e-06
Belgium,1938,-1.3431867207831093e-06
Belgium,1939,-1.0556749016001375e-08
Belgium,1940,-5.314341594668732e-07
Belgium,1941,9.574182442564664e-07
Belgium,1942,-3.565586547540781e-07
Belgium,1943,2.7506815080004125e-07
Belgium,1944,-2.2533920261461314e-06
Belgium,1945,7.000388252509206e-07
Belgium,1946,8.530793712061841e-07
Belgium,1947,2.449794983298214e-06
Belgium,1948,2.606849264581411e-07
Belgium,1949,-1.279881412526542e-08
Belgium,1950,-1.9914653269209723e-07
Belgium,1951,8.286572999822834e-07
Belgium,1952,-1.5074793854186914e-06
Belgium,1953,2.8906759805158336e-07
Belgium,1954,7.033989587460342e-08
Belgium,1955,9.868502130398304e-07
Belgium,1956,3.524761242982003e-07
Belgium,1957,9.765114433667246e-08
Belgium,1958,-9.470541989646145e-07
Belgium,1959,3.1416512529880264e-07
Belgium,1960,1.1093143260810587e-07
Belgium,1961,5.470106779780686e-07
Belgium,1962,2.0356874371521922e-07
Belgium,1963,6.619997092376989e-07
Belgium,1964,-4.264899440518452e-07
Belgium,1965,-5.117842734965052e-07
Belgium,1966,-9.805022163584192e-07
Belgium,1967,1.0710594644564645e-07
Belgium,1968,1.0171495377540791e-06
Belgium,1969,2.4626846167698888e-08
Belgium,1970,-3.754338291096794e-08
Belgium,1971,-1.3579977822031034e-06
Belgium,1972,2.696926738172912e-07
Belgium,1973,3.641798815276016e-07
Belgium,1974,-2.6007718569298475e-07
Belgium,1975,-9.467676423691998e-07
Belgium,1976,4.187442015111967e-07
Belgium,1977,-4.124523935062507e-07
Belgium,1978,-1.5435445942159946e-07
Belgium,1979,1.343210754535396e-08
Belgium,1980,-3.9174154408936783e-07
Belgium,1981,-3.1681358113132664e-07
Belgium,1982,-9.006028368638339e-07
Belgium,1983,-9.967596507392737e-07
Belgium,1984,9.310251239573224e-07
Belgium,1985,6.981641383138474e-08
Belgium,1986,-5.892381223401297e-07
Belgium,1987,-4.351134627140371e-07
Belgium,1988,-2.695994345927022e-07
Belgium,1989,5.105110365998986e-09
Belgium,1990,7.841832675469796e-07
Belgium,1991,4.888039344865979e-07
Belgium,1992,1.1906230055652721e-07
Belgium,1993,-1.034650913539154e-07
Belgium,1994,-3.6317533509497713e-07
Belgium,1995,5.371243896427428e-07
Belgium,1996,3.0849214971366834e-07
Belgium,1997,-6.121117944041226e-07
Belgium,1998,7.019085486762924e-07
Belgium,1999,-1.081105237475542e-06
Belgium,2000,8.688050204376831e-07
Belgium,2001,-7.80265266475343e-07
Belgium,2002,-1.6941314615244778e-07
Belgium,2003,3.5159701782307783e-07
Brazil,1930,1.1881352758288377e-05
Brazil,1931,-1.3251703768612484e-06
Brazil,1932,-2.4326439990985475e-06
Brazil,1933,-1.0887807489475238e-06
Brazil,1934,-2.696605564104584e-07
Brazil,1935,-2.4446388164379724e-07
Brazil,1936,-3.1972189675160654e-07
