year,country_index,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,total_ghg_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,total_ghg_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2
1961,Arabia Saudyjska,0,0.0001941918873995265,0.0027445494513913273,0.0,0.0,8.74531457625307e-05,0.0,0.0,0.0,0.05168484792456318,0.0007197302338588514,0,0.00021444169472436018,0.002734218052238846,0.0,0.0,9.359969537553688e-05,0.0,0.0,0.0,0.03813108443287059,0.0010421630408820241,0.014037821869693655
1962,Arabia Saudyjska,0,0.00026101181807069085,0.003039709211358255,0.0,0.0002674157614249436,0.00010688717815420418,0.0,0.0,0.0,0.051398724230378105,0.0010421630408820241,0,0.00028355100694591796,0.0030839710204782675,0.0,0.00037705429270199777,0.0001084905560034632,0.0,0.0,0.0,0.03821990013548681,0.0013931157030718658,0.014426356408831918
1963,Arabia Saudyjska,0,0.00033054213198856295,0.003425506469673418,0.0,0.0006780014058577756,0.00012389195649691848,0.0,0.0,0.0,0.051518443191272995,0.0013931157030718658,0,0.0003554135661977336,0.003477434016533524,0.0,0.0013219672118572907,0.00019358118816304218,0.0,0.0,1.8719389543689353e-05,0.03828539742969414,0.002430921543858982,0.014563080536596894
1964,Arabia Saudyjska,0,0.00040284246523022136,0.003859518354949758,0.0,0.001706945214093137,0.00022106211845528592,0.0,0.0,1.8719389543689353e-05,0.05160673014699085,0.002430921543858982,0,0.0004302163166612714,0.003798809033334588,0.0,0.0015918738447768394,0.00020847204879096852,0.0,0.0,2.467555894395415e-05,0.03839581695186566,0.002697899076946966,0.014572006147311523
1965,Arabia Saudyjska,0,0.00047810090080799045,0.004214013131640162,0.0,0.002000854581945247,0.00023806689679800025,0.0,0.0,2.467555894395415e-05,0.05175556993621152,0.002697899076946966,0,0.0005082016778238765,0.004152382986325691,0.0,0.001633582329792826,0.0002701627571066633,0.0,0.0,0.0010533911025039735,0.03838312899434906,0.002248315248972394,0.014197806679927058
1966,Arabia Saudyjska,0,0.0005565613349858194,0.0046040251517304245,0.0,0.002046272192963246,0.00030851526421781666,0.0,0.0,0.0010533911025039735,0.05173846722751225,0.002248315248972394,0,0.0005893711695569433,0.004680895915673419,0.0,0.0007200706263679603,0.00026378095969469483,0.0,0.0,0.001680490652217567,0.03840336114282148,0.0008389590728195086,0.01449383943529554
1967,Arabia Saudyjska,0,0.00063822529689389,0.005187004733441625,0.0,0.0010515221033678725,0.00030122750207093907,0.0,0.0,0.001680490652217567,0.05176573911435703,0.0008389590728195086,0,0.0006738083847871417,0.0053929706707586365,0.0,0.0014518867456427215,0.00026378095969469483,0.0,0.0,0.0018515178021394562,0.03840267530728004,0.0016268200717987358,0.01714650389237769
1968,Arabia Saudyjska,0,0.0007231768886921841,0.005972463366173691,0.0,0.0018484184622066745,0.00030122750207093907,0.0,0.0,0.0018515178021394562,0.05176481464361653,0.0016268200717987358,0,0.0007629913984451523,0.005886633438860105,0.0,0.0038471283348510588,0.00034036252863831593,0.0,0.24849371550176233,0.0018549213275110361,0.038586822150156144,0.0017678349112339317,0.017683122427463182
1969,Arabia Saudyjska,0,0.0008129031894822108,0.006517001253656168,0.0,0.004456668336329417,0.0003886806478334698,0.0,0.24849371550176233,0.0018549213275110361,0.05201303503744106,0.0017678349112339317,0,0.0008583336909274086,0.006430538670264408,0.0,0.004689807524929809,0.0005339437168013581,0.0,0.26930903770698944,0.0026777235860904725,0.038714730478634336,0.002152060737784887,0.01852956784356704
1970,Arabia Saudyjska,0,0.0009088262903327639,0.0071169594130259875,0.0,0.0053742867934200855,0.0006097427662887557,0.0,0.26930903770698944,0.0026777235860904725,0.05218544883054451,0.002152060737784887,0,0.0009604819675120633,0.006939894652955293,0.0,0.005975819146256075,0.000619034348960937,0.0,0.3137859945467846,0.0028496016173552565,0.03873804888704323,0.003184321051178484,0.01990275952835991
