year,country_index,country_t-3,population_t-3,gdp_t-3,temperature_change_from_co2_t-3,cement_co2_t-3,coal_co2_t-3,flaring_co2_t-3,gas_co2_t-3,land_use_change_co2_t-3,oil_co2_t-3,country_t-2,population_t-2,gdp_t-2,temperature_change_from_co2_t-2,cement_co2_t-2,coal_co2_t-2,flaring_co2_t-2,gas_co2_t-2,land_use_change_co2_t-2,oil_co2_t-2,country_t-1,population_t-1,gdp_t-1,temperature_change_from_co2_t-1,cement_co2_t-1,coal_co2_t-1,flaring_co2_t-1,gas_co2_t-1,land_use_change_co2_t-1,oil_co2_t-1,co2_t+1,co2_t+2
1931-1932,Argentina,0,0.006986121192291343,0.18521409901664357,0.5073307146929878,0.016796557430357854,0.04840970504999848,0.0,0.003932908696094882,0.3116061959130489,0.022519687318356494,0,0.0071311032607273145,0.18048608031438995,0.4938509258384566,0.02383647176672525,0.0473339322250228,0.0,0.005903745249636899,0.30601503159458815,0.02265910214474152,0,0.007259498758922317,0.16632741154208078,0.4819037696359515,0.024072065789422746,0.04506756100043166,0.0,0.00571060912860162,0.25251616333721355,0.02120045557590321,0.19976785387705875,0.17935461176709724
1932-1933,Argentina,0,0.007220955253412926,0.18874769364234092,0.4938509258384566,0.0245254087648747,0.0473339322250228,0.0,0.005903745249636899,0.30601503159458815,0.02265910214474152,0,0.007348871376864297,0.16807481831385207,0.4819037696359515,0.0252649812017148,0.04506756100043166,0.0,0.00571060912860162,0.25251616333721355,0.02120045557590321,0,0.007459529876738719,0.15033844004533653,0.4713639288143781,0.03301364317316671,0.037718536557783476,0.0,0.00693907701827233,0.21771109687757056,0.026235515311664865,0.17935461176709724,0.16531810978441536
1933-1934,Argentina,0,0.00744007089134753,0.17576831554452993,0.4819037696359515,0.02599520589594617,0.04506756100043166,0.0,0.00571060912860162,0.25251616333721355,0.02120045557590321,0,0.007550152631811439,0.15191786947165387,0.4713639288143781,0.0346496674388733,0.037718536557783476,0.0,0.00693907701827233,0.21771109687757056,0.026235515311664865,0,0.007642283235808806,0.14193250495690266,0.46212960028139416,0.030168378904495308,0.03370057342804413,0.0,0.009275906993126911,0.19803087338825387,0.029198800701015812,0.16531810978441536,0.15581163661994762
1934-1935,Argentina,0,0.00764259764946247,0.15887179463305515,0.4713639288143781,0.03565113435502729,0.037718536557783476,0.0,0.00693907701827233,0.21771109687757056,0.026235515311664865,0,0.007734048146974213,0.1434236230954989,0.46212960028139416,0.03166340323991617,0.03370057342804413,0.0,0.009275906993126911,0.19803087338825387,0.029198800701015812,0,0.007806831975040398,0.14628849677085173,0.4541193121359573,0.0304856122811076,0.031170555861115643,0.0,0.01225622623604454,0.18459127933545266,0.029854958766797175,0.15581163661994762,0.14700942291440222
1935-1936,Argentina,0,0.007827631087015181,0.14998873057661202,0.46212960028139416,0.032578559232497036,0.03370057342804413,0.0,0.009275906993126911,0.19803087338825387,0.029198800701015812,0,0.007899625268644376,0.147825378199593,0.4541193121359573,0.03199635743532169,0.031170555861115643,0.0,0.01225622623604454,0.18459127933545266,0.029854958766797175,0,0.007974283353330214,0.15591677341590665,0.44624786343886397,0.03302367602992811,0.0338274476714767,0.0,0.014548052077007533,0.17470906588034643,0.030048235471733586,0.14700942291440222,0.14101079146609932
1936-1937,Argentina,0,0.007994232779153218,0.15459197267943212,0.4541193121359573,0.032921136683649,0.031170555861115643,0.0,0.01225622623604454,0.18459127933545266,0.029854958766797175,0,0.008068123170034594,0.15755480783953954,0.44624786343886397,0.034660197483934396,0.0338274476714767,0.0,0.014548052077007533,0.17470906588034643,0.030048235471733586,0,0.008144688481536837,0.1602717479369273,0.4385128520407584,0.041259461763664296,0.0320086401266375,0.0,0.012086832490604429,0.16667205394976173,0.03010060332959907,0.14101079146609932,0.13653513581992238
1937-1938,Argentina,0,0.008163773324429992,0.16476675957599773,0.44624786343886397,0.03566196874620579,0.0338274476714767,0.0,0.014548052077007533,0.17470906588034643,0.030048235471733586,0,0.00823959328143166,0.1619555349632032,0.4385128520407584,0.04330411585655801,0.0320086401266375,0.0,0.012086832490604429,0.16667205394976173,0.03010060332959907,0,0.008318099996216119,0.1584505808758321,0.4309118901136865,0.04680815611222011,0.03468010560282907,0.0,0.010257690114722903,0.16012720200582203,0.0321206764380576,0.13653513581992238,0.1317055391670108
1938-1939,Argentina,0,0.008336304471376461,0.16936892664336342,0.4385128520407584,0.04455571919272707,0.0320086401266375,0.0,0.012086832490604429,0.16667205394976173,0.03010060332959907,0,0.008414088568354804,0.1601152350386456,0.4309118901136865,0.04912778132991851,0.03468010560282907,0.0,0.010257690114722903,0.16012720200582203,0.0321206764380576,0,0.008494569771075274,0.16765639443519512,0.4234427039320056,0.057300161913485685,0.03979051365662117,0.0,0.009560421073929636,0.1546277975565254,0.03337793263968159,0.1317055391670108,0.12793387891355057
1939-1940,Argentina,0,0.008511879513255851,0.1674443883866438,0.4309118901136865,0.05054770398149248,0.03468010560282907,0.0,0.010257690114722903,0.16012720200582203,0.0321206764380576,0,0.008591661228707042,0.1694177632694158,0.4234427039320056,0.060139729022988274,0.03979051365662117,0.0,0.009560421073929636,0.1546277975565254,0.03337793263968159,0,0.008674151968367426,0.16531211352979439,0.5201287487117079,0.06752435601653706,0.035448587818024735,0.0,0.009112322160491043,0.1505390626012601,0.0342711463511742,0.12793387891355057,0.10208536514698241
1940-1941,Argentina,0,0.008690550970965254,0.17717273278606863,0.4234427039320056,0.061877926050975314,0.03979051365662117,0.0,0.009560421073929636,0.1546277975565254,0.03337793263968159,0,0.008772365763240048,0.16704885375775555,0.5201287487117079,0.07087059333999172,0.035448587818024735,0.0,0.009112322160491043,0.1505390626012601,0.0342711463511742,0,0.00886042129679871,0.1687858191264129,0.510942586327181,0.0600659174014601,0.03655516983865722,0.0,0.009463503948703371,0.1462787817232122,0.03668762929297081,0.10208536514698241,0.08551101463492487
