country,population,gdp,primary_energy_consumption,cement_co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,oil_co2,other_industry_co2,trade_co2,co2,co2_including_luc
Andorra,16.483516483516482,100.0,100.0,0.0,87.91208791208791,100.0,87.91208791208791,87.91208791208791,36.63003663003663,87.91208791208791,100.0,100.0,0.0,36.63003663003663
Antigua and Barbuda,0.0,100.0,75.72254335260115,61.849710982658955,61.849710982658955,100.0,61.849710982658955,61.849710982658955,0.0,61.849710982658955,100.0,100.0,61.849710982658955,61.849710982658955
Aruba,52.32558139534884,100.0,79.06976744186046,43.604651162790695,43.604651162790695,100.0,43.604651162790695,43.604651162790695,100.0,43.604651162790695,100.0,100.0,43.604651162790695,100.0
Australia,16.483516483516482,27.106227106227106,78.75457875457876,65.2014652014652,20.146520146520146,88.27838827838828,0.0,0.0,36.63003663003663,0.0,87.91208791208791,88.27838827838828,0.0,36.63003663003663
Austria,0.0,24.878048780487806,71.70731707317073,53.65853658536586,0.0,84.39024390243902,0.0,0.0,15.609756097560975,0.0,83.90243902439025,84.39024390243902,0.0,15.609756097560975
Bahamas,0.0,100.0,75.72254335260115,57.80346820809249,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Bahrain,0.0,60.115606936416185,75.72254335260115,47.97687861271676,47.97687861271676,81.5028901734104,47.97687861271676,47.97687861271676,0.0,47.97687861271676,100.0,81.5028901734104,47.97687861271676,47.97687861271676
Barbados,0.0,60.115606936416185,75.72254335260115,51.445086705202314,51.445086705202314,100.0,51.445086705202314,51.445086705202314,0.0,51.445086705202314,100.0,100.0,51.445086705202314,51.445086705202314
Belgium,0.0,10.824742268041238,70.10309278350515,51.03092783505154,0.0,83.50515463917526,0.0,0.0,10.824742268041238,0.0,82.9896907216495,83.50515463917526,0.0,10.824742268041238
Bermuda,51.74418604651163,100.0,75.5813953488372,57.55813953488372,57.55813953488372,100.0,57.55813953488372,57.55813953488372,100.0,57.55813953488372,100.0,100.0,57.55813953488372,100.0
British Virgin Islands,53.48837209302325,100.0,75.5813953488372,64.53488372093024,64.53488372093024,100.0,64.53488372093024,64.53488372093024,100.0,64.53488372093024,100.0,100.0,64.53488372093024,100.0
Brunei,16.483516483516482,100.0,84.61538461538461,0.0,67.03296703296702,88.27838827838828,67.03296703296702,67.03296703296702,36.63003663003663,67.03296703296702,100.0,88.27838827838828,0.0,36.63003663003663
Canada,5.88235294117647,35.294117647058826,75.63025210084034,60.08403361344538,0.0,86.5546218487395,0.0,0.0,27.310924369747898,0.0,86.1344537815126,86.5546218487395,0.0,27.310924369747898
Chile,0.0,2.312138728323699,66.47398843930635,45.08670520231214,26.011560693641616,81.5028901734104,26.011560693641616,26.011560693641616,0.0,26.011560693641616,100.0,81.5028901734104,26.011560693641616,26.011560693641616
Croatia,0.0,61.27167630057804,80.92485549132948,46.24277456647399,26.589595375722542,81.5028901734104,26.589595375722542,26.589595375722542,0.0,26.589595375722542,80.92485549132948,81.5028901734104,26.589595375722542,26.589595375722542
Curacao,57.55813953488372,100.0,100.0,43.604651162790695,43.604651162790695,100.0,43.604651162790695,43.604651162790695,100.0,43.604651162790695,100.0,100.0,43.604651162790695,100.0
Cyprus,0.0,60.115606936416185,66.47398843930635,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,80.92485549132948,81.5028901734104,57.80346820809249,57.80346820809249
Czechia,0.0,71.67630057803468,66.47398843930635,5.780346820809249,5.780346820809249,81.5028901734104,5.780346820809249,5.780346820809249,0.0,5.780346820809249,80.92485549132948,81.5028901734104,5.780346820809249,5.780346820809249
Denmark,0.0,2.2222222222222223,67.77777777777779,47.22222222222222,0.0,82.22222222222221,0.0,0.0,3.888888888888889,0.0,81.66666666666667,82.22222222222221,0.0,3.888888888888889
Estonia,0.0,77.40112994350282,78.53107344632768,48.0225988700565,3.389830508474576,81.92090395480226,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,81.35593220338984,81.92090395480226,3.389830508474576,5.649717514124294
Faroe Islands,52.32558139534884,100.0,75.5813953488372,100.0,57.55813953488372,100.0,57.55813953488372,57.55813953488372,100.0,57.55813953488372,100.0,100.0,57.55813953488372,100.0
Finland,0.0,7.514450867052023,66.47398843930635,45.08670520231214,5.780346820809249,81.5028901734104,5.780346820809249,5.780346820809249,0.0,5.780346820809249,80.92485549132948,81.5028901734104,5.780346820809249,5.780346820809249
France,0.0,7.441860465116279,73.0232558139535,55.81395348837209,0.0,85.11627906976744,0.0,0.0,19.53488372093023,0.0,84.65116279069768,85.11627906976744,0.0,19.53488372093023
French Polynesia,54.65116279069767,100.0,75.5813953488372,60.46511627906976,60.46511627906976,100.0,60.46511627906976,60.46511627906976,100.0,60.46511627906976,100.0,100.0,60.46511627906976,100.0
Germany,3.463203463203463,26.406926406926406,74.89177489177489,58.87445887445888,0.0,86.14718614718615,0.0,0.0,25.108225108225106,0.0,85.71428571428571,86.14718614718615,0.0,25.108225108225106
Greece,0.0,2.312138728323699,66.47398843930635,45.08670520231214,17.91907514450867,81.5028901734104,17.91907514450867,17.91907514450867,0.0,17.91907514450867,80.92485549132948,81.5028901734104,17.91907514450867,17.91907514450867
Greenland,65.93406593406593,100.0,84.61538461538461,0.0,73.26007326007326,100.0,73.26007326007326,73.26007326007326,100.0,73.26007326007326,100.0,100.0,0.0,100.0
Guyana,0.0,100.0,75.72254335260115,69.36416184971098,57.80346820809249,100.0,57.80346820809249,57.80346820809249,0.0,57.80346820809249,100.0,100.0,57.80346820809249,57.80346820809249
Hong Kong,0.0,58.720930232558146,66.27906976744185,54.06976744186046,54.06976744186046,81.3953488372093,54.06976744186046,54.06976744186046,100.0,54.06976744186046,100.0,81.3953488372093,54.06976744186046,100.0
Hungary,0.0,48.69109947643979,69.63350785340315,50.26178010471204,0.5235602094240838,83.24607329842932,0.5235602094240838,0.5235602094240838,9.424083769633508,0.5235602094240838,82.72251308900523,83.24607329842932,0.5235602094240838,9.947643979057592
Iceland,0.0,60.115606936416185,66.47398843930635,52.02312138728323,50.86705202312138,100.0,51.445086705202314,51.445086705202314,0.0,50.86705202312138,80.92485549132948,100.0,50.86705202312138,50.86705202312138
Ireland,0.0,42.19653179190752,66.47398843930635,35.26011560693642,35.26011560693642,81.5028901734104,35.26011560693642,35.26011560693642,0.0,35.26011560693642,80.92485549132948,81.5028901734104,35.26011560693642,35.26011560693642
Israel,0.0,60.115606936416185,66.47398843930635,46.24277456647399,46.24277456647399,81.5028901734104,46.24277456647399,46.24277456647399,0.0,46.24277456647399,100.0,81.5028901734104,46.24277456647399,46.24277456647399
Italy,0.0,2.312138728323699,66.47398843930635,45.08670520231214,5.780346820809249,81.5028901734104,5.780346820809249,5.780346820809249,0.0,5.780346820809249,80.92485549132948,81.5028901734104,5.780346820809249,5.780346820809249
Japan,0.0,20.809248554913296,66.47398843930635,45.08670520231214,10.404624277456648,81.5028901734104,10.404624277456648,10.404624277456648,0.0,10.404624277456648,80.92485549132948,81.5028901734104,10.404624277456648,10.404624277456648
Kuwait,0.0,60.115606936416185,66.47398843930635,55.49132947976878,55.49132947976878,81.5028901734104,55.49132947976878,55.49132947976878,0.0,55.49132947976878,100.0,81.5028901734104,55.49132947976878,55.49132947976878
Latvia,0.0,77.40112994350282,78.53107344632768,48.0225988700565,3.389830508474576,81.92090395480226,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,81.35593220338984,81.92090395480226,3.389830508474576,5.649717514124294
Liechtenstein,0.0,100.0,100.0,80.92485549132948,80.92485549132948,100.0,80.92485549132948,63.005780346820806,0.0,63.005780346820806,80.92485549132948,100.0,63.005780346820806,63.005780346820806
Lithuania,0.0,77.40112994350282,78.53107344632768,48.0225988700565,3.389830508474576,81.92090395480226,3.389830508474576,3.389830508474576,2.2598870056497176,3.389830508474576,81.35593220338984,81.92090395480226,3.389830508474576,5.649717514124294
Luxembourg,0.0,60.115606936416185,66.47398843930635,54.91329479768786,54.91329479768786,81.5028901734104,54.91329479768786,54.91329479768786,0.0,54.91329479768786,80.92485549132948,81.5028901734104,54.91329479768786,54.91329479768786
Macao,69.59706959706959,100.0,84.61538461538461,0.0,74.72527472527473,100.0,74.72527472527473,74.72527472527473,100.0,74.72527472527473,100.0,100.0,0.0,100.0
Malta,0.0,60.115606936416185,75.72254335260115,57.80346820809249,57.80346820809249,81.5028901734104,57.80346820809249,57.80346820809249,0.0,57.80346820809249,80.92485549132948,81.5028901734104,57.80346820809249,57.80346820809249
Nauru,0.0,100.0,75.72254335260115,65.89595375722543,65.89595375722543,100.0,65.89595375722543,65.89595375722543,0.0,65.89595375722543,100.0,100.0,65.89595375722543,65.89595375722543
Netherlands,0.0,2.2598870056497176,67.2316384180791,0.0,0.0,81.92090395480226,0.0,0.0,2.2598870056497176,0.0,81.35593220338984,81.92090395480226,0.0,2.2598870056497176
